ID_cell_morphology,cell_len,cell_len_unit,cell_width,cell_shape,motility,flagellum_arrangement,gram_stain,ID_strains
2,1.1-2.3,µm,NULL,rod-shaped,NULL,NULL,NULL,131
3,1.4,µm,0.6,NULL,NULL,NULL,NULL,132
39,0.8-1.2,µm,1.3-1.6,NULL,0,NULL,NULL,11
5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374
6,1.4,µm,0.8,rod-shaped,NULL,monotrichous,NULL,374
8,5.5-6,µm,NULL,NULL,NULL,NULL,NULL,654
9,1-1.2,µm,0.5-0.7,NULL,NULL,NULL,NULL,1264
10,3-10,µm,NULL,NULL,NULL,NULL,NULL,1265
11,NULL,NULL,NULL,NULL,NULL,NULL,positive,1265
12,NULL,NULL,NULL,rod-shaped,NULL,NULL,positive,1290
13,1.5,µm,0.5,NULL,NULL,NULL,variable,1757
14,NULL,NULL,NULL,rod-shaped,NULL,"monotrichous, polar",NULL,2085
15,1-1.5,µm,NULL,NULL,NULL,NULL,NULL,2421
16,2,µm,0.5-1.5,NULL,NULL,NULL,NULL,5117
17,NULL,NULL,NULL,NULL,NULL,NULL,negative,5762
18,2.5-5,µm,0.5-1,rod-shaped,NULL,polar,negative,6102
19,NULL,NULL,NULL,NULL,NULL,NULL,positive,6596
20,NULL,NULL,NULL,NULL,NULL,NULL,positive,6655
21,NULL,NULL,NULL,rod-shaped,NULL,NULL,NULL,6875
22,NULL,NULL,NULL,NULL,NULL,NULL,positive,11256
23,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,11874
24,NULL,NULL,NULL,rod-shaped,NULL,NULL,NULL,11874
25,NULL,NULL,NULL,NULL,NULL,NULL,positive,12583
26,0.2-0.6,µm,NULL,rod-shaped,NULL,"monotrichous, polar",negative,12800
27,NULL,NULL,NULL,rod-shaped,NULL,NULL,NULL,12800
28,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,12851
29,1-2,µm,0.3-0.6,NULL,NULL,NULL,NULL,12851
30,NULL,NULL,NULL,rod-shaped,NULL,polar,negative,12871
31,NULL,NULL,NULL,NULL,NULL,NULL,positive,16741
32,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,17569
33,1.5,µm,0.5,rod-shaped,NULL,polar,negative,17532
34,2.2,µm,0.4,NULL,NULL,NULL,NULL,18100
35,4.7,µm,0.8,rod-shaped,1,NULL,NULL,18157
36,10,µm,0.85,other,1,NULL,negative,23454
37,2.75,µm,0.9,rod-shaped,NULL,NULL,negative,24776
38,2.75,µm,0.65,rod-shaped,0,NULL,negative,24777
40,2.0-4.0,µm,1,rod-shaped,0,NULL,negative,12
41,0.9,µm,1.1-1.3,ellipsoidal,0,NULL,negative,13
42,3.6-5.1,µm,0.8-0.9,rod-shaped,1,peritrichous,negative,19
43,1.5-2.0,µm,0.1-0.2,rod-shaped,1,polar,negative,20
44,1.2-2.0,µm,0.8,coccus-shaped,1,NULL,negative,21
45,1.5-2.5,µm,0.8,rod-shaped,NULL,NULL,negative,22
46,1.2-3.0,µm,0.8,rod-shaped,1,NULL,negative,23
47,0.6-0.8,µm,0.3-0.4,rod-shaped,1,"monotrichous, polar",negative,26
48,0.6-0.8,µm,0.3-0.4,rod-shaped,1,lophotrichous,negative,26
49,1.0-4.5,µm,0.6-1.0,rod-shaped,1,peritrichous,negative,34
50,NULL,NULL,NULL,coccus-shaped,0,NULL,negative,38
51,1.8,µm,1.8,coccus-shaped,0,NULL,negative,39
52,1.3-2.2,µm,0.7-0.9,rod-shaped,1,peritrichous,negative,42
53,1.6-2.0,µm,0.5-0.6,rod-shaped,1,peritrichous,negative,43
54,1.5-1.9,µm,0.5-0.6,rod-shaped,1,peritrichous,negative,44
55,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,48
56,NULL,NULL,NULL,rod-shaped,NULL,NULL,negative,53
57,2.0-3.0,µm,0.6-0.8,rod-shaped,0,NULL,negative,58
58,0.9-1.3,µm,1.3-1.6,coccus-shaped,1,"monotrichous, polar",negative,60
59,2.5-4.0,µm,0.8-1.0,rod-shaped,0,NULL,negative,63
60,0.7-3.0,µm,NULL,star-shaped,0,NULL,negative,64
61,1.9-2.5,µm,NULL,star-shaped,0,NULL,negative,65
62,0.8-1.2,µm,0.7-1.0,coccus-shaped,0,NULL,negative,67
63,0.8-1.5,µm,0.5-0.8,coccus-shaped,0,NULL,negative,71
64,1.2-2.0,µm,1.0,NULL,0,NULL,negative,72
65,0.9-2.2,µm,0.9-1.0,rod-shaped,0,NULL,negative,73
66,1.2-1.5,µm,NULL,coccus-shaped,0,NULL,negative,76
67,NULL,NULL,NULL,coccus-shaped,0,NULL,negative,77
68,NULL,NULL,NULL,coccus-shaped,0,NULL,negative,80
69,1.9-4.1,µm,0.8-1.5,coccus-shaped,0,NULL,negative,81
70,1.4-3.1,µm,0.7-1.2,coccus-shaped,0,NULL,negative,82
71,0.5-0.6,µm,NULL,coccus-shaped,0,NULL,negative,99
72,<1.8,µm,0.3-0.5,rod-shaped,0,NULL,negative,103
73,2.0-10.0,µm,0.5,vibrio-shaped,1,NULL,negative,105
74,1.0-1.5,µm,0.35-0.4,rod-shaped,1,NULL,positive,106
75,1.0-3.0,µm,0.5,rod-shaped,1,NULL,negative,107
76,1.0-3.0,mm,NULL,filament-shaped,0,NULL,negative,109
77,1.5-2.1,µm,0.7-0.9,rod-shaped,0,NULL,negative,133
78,1.5-3.0,µm,0.5-0.7,rod-shaped,0,NULL,negative,135
79,1.5-9.0,µm,0.5-1.0,rod-shaped,0,NULL,negative,136
80,1.5-15.0,µm,0.8-1.0,rod-shaped,0,NULL,negative,137
81,1.5-10.0,µm,0.8-1.5,rod-shaped,0,NULL,negative,138
82,1.5-3.5,µm,0.4-0.6,rod-shaped,0,NULL,negative,139
83,2.0-10.0,µm,0.4-0.6,rod-shaped,1,NULL,negative,140
84,1.7-4.0,µm,0.7-1.0,rod-shaped,0,NULL,negative,141
85,1.0-3.0,µm,0.6-0.9,rod-shaped,0,NULL,negative,142
86,1.0-2.0,µm,0.5-0.8,rod-shaped,0,NULL,negative,143
87,1.0-3.0,µm,0.5,rod-shaped,0,NULL,positive,144
