ID_culture_pH,pH,test_type,ability,ID_strains
1,6,maximum,positive,131
2,3,minimum,positive,131
3,7,maximum,positive,132
4,4.5,minimum,positive,132
5,5.5,optimum,positive,132
6,7,maximum,positive,133
7,4.5,minimum,positive,133
8,5.5,optimum,positive,133
9,9,maximum,positive,550
10,5.5,minimum,positive,550
11,7,optimum,positive,550
12,7,optimum,positive,1265
13,9,growth,positive,1419
14,5,growth,no,1419
15,4.5,minimum,positive,1757
16,"6 - 6.5",optimum,positive,1757
17,7.8,maximum,positive,2626
18,4.7,minimum,positive,2626
19,7,optimum,positive,2626
20,6,growth,no,7673
21,10,maximum,positive,7748
22,6,growth,no,7748
23,3.5,minimum,positive,7974
24,3.5,minimum,positive,7976
25,3.5,minimum,positive,7977
26,8,maximum,positive,10669
27,5,minimum,positive,10669
28,7,maximum,positive,10679
29,5,minimum,positive,10679
30,8,maximum,positive,10717
31,5,minimum,positive,10717
32,9,maximum,positive,12800
33,5,minimum,positive,12800
34,"4 - 5",growth,no,15146
35,7.6,maximum,positive,18100
36,6.3,minimum,positive,18100
37,7.2,optimum,positive,18157
38,10,maximum,positive,23454
39,4,minimum,positive,23454
40,6.25,optimum,positive,23454
41,9.5,maximum,positive,24776
42,4,minimum,positive,24776
43,7.4,optimum,positive,24776
44,10,maximum,positive,24777
45,3.5,minimum,positive,24777
46,6.75,optimum,positive,24777
47,2.5,growth,no,11
48,1.9-5.9,growth,positive,26
49,6.1,growth,no,26
50,3,growth,positive,34
51,3.5,growth,positive,34
52,6-8,growth,positive,38
53,7,optimum,positive,38
54,5,minimum,positive,39
55,8,maximum,positive,39
56,7.0-7.5,optimum,positive,39
57,4-7,growth,positive,43
58,4-7,growth,positive,44
59,3,growth,positive,58
60,5.0-7.0,optimum,positive,63
61,4.0-8.0,growth,positive,63
62,4,minimum,positive,63
63,8,maximum,positive,63
64,7,growth,positive,64
65,7,growth,positive,65
66,4.5-5.0,optimum,positive,67
67,6.0-9.0,growth,positive,71
68,7,optimum,positive,71
69,5.0-9.0,growth,positive,72
70,7.0,optimum,positive,72
71,6.5-8.0,growth,positive,73
72,7.0-7.5,optimum,positive,73
73,5.0-9.0,growth,positive,76
74,6.0-7.0,optimum,positive,76
75,7.0,optimum,positive,77
76,5.0-6.5,optimum,positive,80
77,3.0-7.5,growth,positive,81
78,4.5-5.7,optimum,positive,81
79,3.7-7.6,growth,positive,82
80,5.0-6.5,optimum,positive,82
81,6.7-8.5,growth,positive,105
82,7.4-7.7,optimum,positive,105
83,2.0,optimum,positive,106
84,2.0,optimum,positive,107
85,1.4,minimum,positive,107
86,1.8,optimum,positive,109
87,1.6,minimum,positive,109
88,4.5-7.5,growth,positive,135
89,6.0,optimum,positive,135
90,3.0-7.5,growth,positive,136
91,4.5,optimum,positive,136
92,3.0-7.5,growth,positive,137
93,3.8-4.5,optimum,positive,137
94,3.0-7.5,growth,positive,138
95,4.5,optimum,positive,138
96,3.0-7.5,growth,positive,139
97,4.2,optimum,positive,139
98,3.0,minimum,positive,140
99,7.5,maximum,positive,140
100,4.5-5.0,optimum,positive,140
101,3.2,minimum,positive,141
102,6.6,maximum,positive,141
103,4.7-5.2,optimum,positive,141
104,3.5,minimum,positive,142
105,7.3,maximum,positive,142
106,5.0-5.5,optimum,positive,142
107,3.5,minimum,positive,143
108,6.4,maximum,positive,143
109,4.0-4.5,optimum,positive,143
110,<5.0,growth,no,144
111,7.0-8.0,optimum,positive,144
112,7.0-8.0,optimum,positive,144
113,<5.0,growth,no,144
114,4.5-7.8,growth,positive,162
115,7.2,optimum,positive,194
116,8.5-9.0,optimum,positive,222
117,6.5-7.0,minimum,positive,222
118,9.6,growth,positive,227
119,9.0,growth,positive,258
120,9,growth,positive,262
121,4.5,growth,no,262
122,5.7-8.0,growth,positive,271
123,9.0,growth,positive,280
124,4.5,growth,no,280
125,9,growth,positive,283
126,4.5,growth,no,283
127,8.5-9.5,optimum,positive,285
128,4.5,growth,no,285
129,9.0,growth,positive,286
130,4.5,growth,no,286
131,8.7-9.0,optimum,positive,288
132,5.5-8.5,growth,positive,295
133,7.5,optimum,positive,295
134,5.0-8.5,growth,positive,349
135,6.0-7.0,optimum,positive,349
136,5.0-9.0,growth,positive,350
137,6.5-7.0,optimum,positive,350
138,5.0-9.0,growth,positive,351
139,7.0-8.0,optimum,positive,360
140,5.0-9.0,growth,positive,360
141,4.5,growth,no,360
142,9.5,growth,no,360
143,5.0-10.0,growth,positive,361
144,7.0,optimum,positive,361
145,5.0-9.0,growth,positive,363
146,6.5-7.0,optimum,positive,363
147,5.5-9.0,growth,positive,364
148,7.0,optimum,positive,364
149,5.0-9.0,growth,positive,365
150,6.0-7.5,optimum,positive,365
151,2.5-5.5,growth,positive,414
152,3.0,optimum,positive,414
153,6-11,growth,positive,437
154,7-8,optimum,positive,437
155,7-8,optimum,positive,438
156,6-11,growth,positive,438
157,6-9,growth,positive,447
158,7.0-8.5,growth,positive,447
159,6.0-10.0,growth,positive,449
160,7.5-8.0,optimum,positive,449
161,6.0-8.5,growth,positive,450
162,7.0-8.0,optimum,positive,450
163,7.5,optimum,positive,459
164,5.5-9.5,growth,positive,459
165,5.3-9.3,growth,positive,460
166,7.5,optimum,positive,465
167,6.5-8.5,growth,positive,465
168,7.5,optimum,positive,470
169,4.5-10,growth,positive,470
170,6-9.5,growth,positive,473
171,7-7.5,optimum,positive,473
172,5.0-10.0,growth,positive,478
173,7.5,optimum,positive,478
174,7.0-8.0,optimum,positive,481
175,5.5,growth,positive,481
176,5.0,growth,no,481
177,7.0-8.0,optimum,positive,483
178,5.5,growth,positive,483
179,5.0,growth,no,483
180,5.5,minimum,positive,491
181,9.0,maximum,positive,491
182,7.0-8.0,optimum,positive,491
183,5.5,minimum,positive,492
184,9.0,maximum,positive,492
185,6.5-7.0,optimum,positive,492
186,>5.5,minimum,positive,493
187,<10.5,maximum,positive,493
188,7.0-9.0,optimum,positive,493
189,6.0,minimum,positive,501
190,8.0,maximum,positive,501
191,7.0,optimum,positive,501
192,6.0,minimum,positive,502
193,7.5,maximum,positive,502
194,7.0,optimum,positive,502
195,6.0,minimum,positive,503
196,7.2,maximum,positive,503
197,7.0,optimum,positive,503
198,6.0,minimum,positive,504
199,7.2,maximum,positive,504
200,7.0,optimum,positive,504
201,4.7-7.5,growth,positive,515
202,6.0,optimum,positive,515
203,4.8,minimum,positive,525
204,7.8,maximum,positive,525
205,4.8-7.8,growth,positive,525
206,5.9,optimum,positive,525
207,5.5,minimum,positive,528
208,10.0,maximum,positive,528
209,7.0-8.0,optimum,positive,528
210,5.0,minimum,positive,531
211,8.5,maximum,positive,531
212,7.0,optimum,positive,531
213,4.0,minimum,positive,533
214,9.0,maximum,positive,533
215,7-8,optimum,positive,533
216,5.0,minimum,positive,534
217,11.0,maximum,positive,534
218,7.0,optimum,positive,534
219,5-7,growth,positive,569
220,5.0,growth,no,570
221,7-9,growth,positive,570
222,5.0,growth,no,571
223,7-9,growth,positive,571
224,5.6-5.7,growth,positive,1077
225,5.7,growth,positive,1093
226,5.7,growth,positive,1150
227,5.7,growth,positive,1151
228,7,growth,positive,1154
229,8-10,optimum,positive,1154
230,5.7,growth,positive,1201
231,6.0,growth,inconsistent,1208
232,6.5,growth,positive,1208
233,7.0,growth,positive,1208
234,7.5,growth,positive,1208
235,8.0,growth,positive,1208
236,9.0,growth,positive,1208
237,6-10,growth,positive,1209
238,7,optimum,positive,1209
239,6-10.5,growth,positive,1212
240,<5,growth,no,1212
241,5.5-6.0,minimum,positive,1213
242,7.0-8.0,optimum,positive,1213
243,9.5-10.0,maximum,positive,1213
244,4.0-6.0,minimum,positive,1214
245,7.0-8.0,optimum,positive,1214
246,9.5-10.0,maximum,positive,1214
247,4.0-5.0,minimum,positive,1215
248,7.0-7.5,optimum,positive,1215
249,7.0-7.5,maximum,positive,1215
250,4.0-5.0,minimum,positive,1216
251,7.0-9.0,optimum,positive,1216
252,9.5-10.0,maximum,positive,1216
253,4.0-5.0,minimum,positive,1217
254,7.0-8.0,optimum,positive,1217
255,9.0-9.5,maximum,positive,1217
256,9,growth,no,1219
257,5,growth,no,1219
258,9.0,growth,inconsistent,1220
259,5.0,growth,no,1220
260,9.0,growth,positive,1221
261,5.0,growth,inconsistent,1221
262,6.0-8.0,optimum,positive,1224
263,4.5,growth,positive,1224
264,4.0,growth,no,1224
265,6.0-7.0,optimum,positive,1225
266,9.0,growth,no,1225
