temp,test_type,ability,temperature_range,ID_strains
28,growth,positive,mesophilic,130828
80,growth,positive,hyperthermophilic,24652
80,growth,positive,hyperthermophilic,24653
28,growth,positive,mesophilic,130822
37,growth,positive,mesophilic,130324
37,growth,positive,mesophilic,130522
37,growth,positive,mesophilic,130521
28,growth,positive,mesophilic,140081
28,growth,positive,mesophilic,132189
28,growth,positive,mesophilic,132188
28,growth,positive,mesophilic,140080
28,growth,positive,mesophilic,132187
28,growth,positive,mesophilic,132186
28,growth,positive,mesophilic,130310
30,growth,positive,mesophilic,140079
28,growth,positive,mesophilic,24615
28,growth,positive,mesophilic,130497
30,growth,positive,mesophilic,130540
28,growth,positive,mesophilic,130681
28,growth,positive,mesophilic,24451
30,growth,positive,mesophilic,158173
37,growth,positive,mesophilic,158172
28,growth,positive,mesophilic,130492
28,growth,positive,mesophilic,132185
28,growth,positive,mesophilic,23132
28,growth,positive,mesophilic,24211
30,growth,positive,mesophilic,23758
25,growth,positive,mesophilic,130648
28,growth,positive,mesophilic,130330
37,growth,positive,mesophilic,130840
30,growth,positive,mesophilic,130839
30,growth,positive,mesophilic,140078
28,growth,positive,mesophilic,130525
50,growth,positive,thermophilic,130150
28,growth,positive,mesophilic,132933
28,growth,positive,mesophilic,130279
30,growth,positive,mesophilic,24168
30,growth,positive,mesophilic,130830
25,growth,positive,mesophilic,130328
28,growth,positive,mesophilic,130275
28,growth,positive,mesophilic,132184
25,growth,positive,mesophilic,132183
25,growth,positive,mesophilic,131300
28,growth,positive,mesophilic,130838
28,growth,positive,mesophilic,130837
25,growth,positive,mesophilic,132182
30,growth,positive,mesophilic,130746
37,growth,positive,mesophilic,130836
55,growth,positive,thermophilic,130834
55,growth,positive,thermophilic,130833
60,growth,positive,thermophilic,130832
30,growth,positive,mesophilic,130195
30,growth,positive,mesophilic,130546
37,growth,positive,mesophilic,130590
28,growth,positive,mesophilic,130411
28,growth,positive,mesophilic,132181
20,growth,positive,psychrophilic,158170
28,growth,positive,mesophilic,16018
28,growth,positive,mesophilic,130433
28,growth,positive,mesophilic,130421
28,growth,positive,mesophilic,130588
28,growth,positive,mesophilic,131298
28,growth,positive,mesophilic,130518
30,growth,positive,mesophilic,130194
37,growth,positive,mesophilic,130835
37,growth,positive,mesophilic,130264
37,growth,positive,mesophilic,130514
30,growth,positive,mesophilic,130434
28,growth,positive,mesophilic,130538
28,growth,positive,mesophilic,130537
30,growth,positive,mesophilic,130207
28,growth,positive,mesophilic,24240
37,growth,positive,mesophilic,130216
30,growth,positive,mesophilic,130545
30,growth,positive,mesophilic,130544
37,growth,positive,mesophilic,130808
28,growth,positive,mesophilic,131297
30,growth,positive,mesophilic,130282
28,growth,positive,mesophilic,140077
28,growth,positive,mesophilic,130806
25,growth,positive,mesophilic,130158
25,growth,positive,mesophilic,130157
35,growth,positive,mesophilic,130381
30,growth,positive,mesophilic,130380
30,growth,positive,mesophilic,130379
35,growth,positive,mesophilic,130378
30,growth,positive,mesophilic,130377
30,growth,positive,mesophilic,130376
37,growth,positive,mesophilic,130375
30,growth,positive,mesophilic,130374
35,growth,positive,mesophilic,130373
30,growth,positive,mesophilic,130372
30,growth,positive,mesophilic,130371
35,growth,positive,mesophilic,130370
35,growth,positive,mesophilic,130369
35,growth,positive,mesophilic,130368
28,growth,positive,mesophilic,24715
37,growth,positive,mesophilic,130722
28,growth,positive,mesophilic,130721
37,growth,positive,mesophilic,130826
28,growth,positive,mesophilic,130238
28,growth,positive,mesophilic,130237
28,growth,positive,mesophilic,130236
32,growth,positive,mesophilic,107
28,growth,positive,mesophilic,130235
28,growth,positive,mesophilic,130234
28,growth,positive,mesophilic,158169
28,growth,positive,mesophilic,132932
37,growth,positive,mesophilic,130306
37,growth,positive,mesophilic,130305
35,growth,positive,mesophilic,132180
32,growth,positive,mesophilic,130821
28,growth,positive,mesophilic,132931
28,growth,positive,mesophilic,130273
37,growth,positive,mesophilic,140076
37,growth,positive,mesophilic,130541
37,growth,positive,mesophilic,131580
37,growth,positive,mesophilic,133154
37,growth,positive,mesophilic,140074
28,growth,positive,mesophilic,130212
30,growth,positive,mesophilic,130211
20,growth,positive,psychrophilic,131295
28,growth,positive,mesophilic,24629
37,growth,positive,mesophilic,130709
37,growth,positive,mesophilic,130708
65,growth,positive,thermophilic,24815
30,growth,positive,mesophilic,130509
28,growth,positive,mesophilic,24033
30,maximum,positive,mesophilic,132
15,minimum,positive,psychrophilic,132
30,optimum,positive,mesophilic,132
37,maximum,positive,mesophilic,133
15,minimum,positive,psychrophilic,133
30,optimum,positive,mesophilic,133
37,growth,positive,mesophilic,24164
25,growth,positive,mesophilic,130536
25,growth,positive,mesophilic,130535
28,growth,positive,mesophilic,132179
28,growth,positive,mesophilic,130720
28,growth,positive,mesophilic,24637
28,growth,positive,mesophilic,130348
30,growth,positive,mesophilic,131294
30,growth,positive,mesophilic,130193
30,growth,positive,mesophilic,24535
28,growth,positive,mesophilic,130336
30,growth,positive,mesophilic,131293
37,growth,positive,mesophilic,140073
37,growth,positive,mesophilic,24239
30,growth,positive,mesophilic,24791
28,growth,positive,mesophilic,130848
28,growth,positive,mesophilic,130803
28,growth,positive,mesophilic,130812
30,growth,positive,mesophilic,132178
37,growth,positive,mesophilic,4362
28,growth,positive,mesophilic,130666
22-28,growth,positive,NULL,130831
28,growth,positive,mesophilic,130686
25,growth,positive,mesophilic,130645
30,growth,positive,mesophilic,131292
30,growth,positive,mesophilic,24144
30,growth,positive,mesophilic,24143
30,growth,positive,mesophilic,24293
30,growth,positive,mesophilic,23718
30,growth,positive,mesophilic,23518
65,growth,positive,thermophilic,131291
15,growth,positive,psychrophilic,130687
25,growth,positive,mesophilic,24778
35,growth,positive,mesophilic,23860
45,growth,positive,thermophilic,23553
28,growth,positive,mesophilic,140071
37,growth,positive,mesophilic,24121
37,growth,positive,mesophilic,24116
37,growth,positive,mesophilic,24115
37,growth,positive,mesophilic,24142
30,growth,positive,mesophilic,24005
28,growth,positive,mesophilic,24063
28,growth,positive,mesophilic,24459
37,growth,positive,mesophilic,23791
37,growth,positive,mesophilic,23790
25,growth,positive,mesophilic,140070
28,growth,positive,mesophilic,24218
28,growth,positive,mesophilic,24347
28,growth,positive,mesophilic,24215
28,growth,positive,mesophilic,24456
30,growth,positive,mesophilic,132930
30,growth,positive,mesophilic,132929
28,growth,positive,mesophilic,158168
28,growth,positive,mesophilic,132177
30,growth,positive,mesophilic,131290
28,growth,positive,mesophilic,130576
30,growth,positive,mesophilic,23772
37,growth,positive,mesophilic,130520
28,growth,positive,mesophilic,130825
28,growth,positive,mesophilic,24110
28,growth,positive,mesophilic,130665
28,growth,positive,mesophilic,24634
28,growth,positive,mesophilic,24254
28,growth,positive,mesophilic,24253
28,growth,positive,mesophilic,140069
28,growth,positive,mesophilic,140068
37,growth,positive,mesophilic,130745
37,growth,positive,mesophilic,130744
28,growth,positive,mesophilic,130358
37,growth,positive,mesophilic,24792
37,growth,positive,mesophilic,132176
37,growth,positive,mesophilic,132175
30,growth,positive,mesophilic,24719
28,growth,positive,mesophilic,130346
28,growth,positive,mesophilic,132926
28,growth,positive,mesophilic,23833
28,growth,positive,mesophilic,2364
28,growth,positive,mesophilic,2363
37,growth,positive,mesophilic,130289
55,growth,positive,thermophilic,158167
30,growth,positive,mesophilic,130146
40,growth,positive,thermophilic,132174
28,growth,positive,mesophilic,23989
28,growth,positive,mesophilic,130225
28,growth,positive,mesophilic,24628
30,growth,positive,mesophilic,131289
28,growth,positive,mesophilic,131288
28,growth,positive,mesophilic,130534
30,growth,positive,mesophilic,23762
28,growth,positive,mesophilic,5818
30,growth,positive,mesophilic,24053
37,growth,positive,mesophilic,130519
37,growth,positive,mesophilic,130149
20-25,growth,positive,NULL,24046
28,growth,positive,mesophilic,158166
28,growth,positive,mesophilic,23549
30,growth,positive,mesophilic,130390
30,growth,positive,mesophilic,130389
30,growth,positive,mesophilic,130388
30,growth,positive,mesophilic,130387
30,growth,positive,mesophilic,130386
30,growth,positive,mesophilic,130231
28,growth,positive,mesophilic,132173
37,growth,positive,mesophilic,24599
60,growth,positive,thermophilic,131287
25,growth,positive,mesophilic,24162
25,growth,positive,mesophilic,131286
30,growth,positive,mesophilic,23717
28,growth,positive,mesophilic,130326
28,growth,positive,mesophilic,130470
30,growth,positive,mesophilic,131285
28,growth,positive,mesophilic,140067
28,growth,positive,mesophilic,132171
25,growth,positive,mesophilic,132170
28,growth,positive,mesophilic,130222
28,growth,positive,mesophilic,132291
28,growth,positive,mesophilic,132290
30,growth,positive,mesophilic,23585
28,growth,positive,mesophilic,130646
35,growth,positive,mesophilic,24163
70,growth,positive,thermophilic,24656
60,growth,positive,thermophilic,24655
37,growth,positive,mesophilic,24795
25,growth,positive,mesophilic,24102
25,growth,positive,mesophilic,2402
30,growth,positive,mesophilic,132169
25,growth,positive,mesophilic,140066
28,growth,positive,mesophilic,24777
28,growth,positive,mesophilic,24776
37,growth,positive,mesophilic,24303
37,growth,positive,mesophilic,24190
37,growth,positive,mesophilic,23776
28,growth,positive,mesophilic,23891
25,growth,positive,mesophilic,24612
37,growth,positive,mesophilic,24818
37,growth,positive,mesophilic,24141
