ID_enzymes,enzyme,activity,ec_number,exoenzyme,production,ID_strains
2,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,12
3,catalase,+,1.11.1.6,NULL,NULL,4
4,gelatinase,-,NULL,NULL,NULL,550
5,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,598
6,alpha-chymotrypsin,+,3.4.21.1,NULL,NULL,1290
7,beta-glucuronidase,-,3.2.1.31,NULL,NULL,1290
8,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,1290
9,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,1290
10,gelatinase,+,NULL,NULL,NULL,1290
11,"lysine decarboxylase",+,4.1.1.18,NULL,NULL,1290
12,"ornithine decarboxylase",+,4.1.1.17,NULL,NULL,1290
13,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,1290
14,"tryptophan deaminase",+,4.1.99.1,NULL,NULL,1290
15,"lipase (Tween 80)",-,NULL,NULL,NULL,1290
16,urease,+,3.5.1.5,NULL,NULL,1290
17,caseinase,+,3.4.21.50,NULL,NULL,1290
18,"arginine decarboxylase",-,4.1.1.19,NULL,NULL,1290
19,beta-galactosidase,+,3.2.1.23,NULL,NULL,654
20,gelatinase,-,NULL,NULL,NULL,654
21,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,654
22,gelatinase,-,NULL,NULL,NULL,654
23,"lysine decarboxylase",-,4.1.1.18,NULL,NULL,654
24,"ornithine decarboxylase",-,4.1.1.17,NULL,NULL,654
25,"tryptophan deaminase",-,4.1.99.1,NULL,NULL,654
26,urease,-,3.5.1.5,NULL,NULL,654
27,beta-galactosidase,+/-,3.2.1.23,NULL,NULL,1265
28,gelatinase,+/-,NULL,NULL,NULL,1265
29,"cytochrome oxidase",+/-,1.9.3.1,NULL,NULL,1265
30,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,1265
31,beta-galactosidase,-,3.2.1.23,NULL,NULL,1265
32,gelatinase,+,NULL,NULL,NULL,1265
33,catalase,+,1.11.1.6,NULL,NULL,1265
34,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,1265
35,"acid phosphatase",-,3.1.3.2,NULL,NULL,1265
36,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,1265
37,alpha-chymotrypsin,+/-,3.4.21.1,NULL,NULL,1265
38,alpha-glucosidase,+,3.2.1.20,NULL,NULL,1265
39,beta-galactosidase,+,3.2.1.23,NULL,NULL,1265
40,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,1265
41,"leucine arylamidase",-,3.4.11.1,NULL,NULL,1265
42,trypsin,+,3.4.21.4,NULL,NULL,1265
43,alpha-glucosidase,-,3.2.1.20,NULL,NULL,756
44,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,756
45,"lipase (Tween 80)",-,NULL,NULL,NULL,1264
46,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,1264
47,alpha-fucosidase,-,3.2.1.51,NULL,NULL,1264
48,alpha-galactosidase,-,3.2.1.22,NULL,NULL,1264
49,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,1264
50,beta-galactosidase,+,3.2.1.23,NULL,NULL,1264
51,beta-glucosidase,+,3.2.1.21,NULL,NULL,1264
52,catalase,+,1.11.1.6,NULL,NULL,1264
53,"cystine arylamidase",-,3.4.11.3,NULL,NULL,1264
54,gelatinase,+,NULL,NULL,NULL,1264
55,"leucine arylamidase",-,3.4.11.1,NULL,NULL,1264
56,"lysine decarboxylase",-,4.1.1.18,NULL,NULL,1264
57,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,1264
58,"ornithine decarboxylase",-,4.1.1.17,NULL,NULL,1264
59,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,1264
60,trypsin,-,3.4.21.4,NULL,NULL,1264
61,"tryptophan deaminase",-,4.1.99.1,NULL,NULL,1264
62,"valine arylamidase",-,NULL,NULL,NULL,1264
63,"lipase (Tween 80)",-,NULL,NULL,NULL,1264
64,amylase,-,NULL,NULL,NULL,1264
65,esterase,+,NULL,NULL,NULL,1264
66,agarase,-,3.2.1.81,NULL,NULL,1264
67,lecithinase,-,NULL,NULL,NULL,1264
68,DNase,-,NULL,NULL,NULL,1264
69,urease,-,3.5.1.5,NULL,NULL,1264
70,"phenylalanine deaminase",-,4.3.1.5,NULL,NULL,1264
71,"acid phosphatase",+,3.1.3.2,NULL,NULL,790
72,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,790
73,alpha-chymotrypsin,+,3.4.21.1,NULL,NULL,790
74,alpha-glucosidase,+,3.2.1.20,NULL,NULL,790
75,beta-galactosidase,-,3.2.1.23,NULL,NULL,790
76,beta-glucosidase,-,3.2.1.21,NULL,NULL,790
77,"cystine arylamidase",-,3.4.11.3,NULL,NULL,790
78,gelatinase,-,NULL,NULL,NULL,790
79,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,790
80,trypsin,-,3.4.21.4,NULL,NULL,790
81,"valine arylamidase",-,NULL,NULL,NULL,790
82,gelatinase,+,NULL,NULL,NULL,790
83,"lysine decarboxylase",-,4.1.1.18,NULL,NULL,374
84,urease,-,3.5.1.5,NULL,NULL,374
85,"acid phosphatase",-,3.1.3.2,NULL,NULL,374
86,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,374
87,alpha-galactosidase,-,3.2.1.22,NULL,NULL,374
88,"arginine dihydrolase",+,3.5.3.6,NULL,NULL,374
89,"cystine arylamidase",-,3.4.11.3,NULL,NULL,374
90,"esterase Lipase (C 8)",+/-,NULL,NULL,NULL,374
91,"leucine arylamidase",+/-,3.4.11.1,NULL,NULL,374
92,naphthol-AS-BI-phosphohydrolase,+/-,NULL,NULL,NULL,374
93,"acid phosphatase",-,3.1.3.2,NULL,NULL,2626
94,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,2626
95,alpha-galactosidase,-,3.2.1.22,NULL,NULL,2626
96,beta-galactosidase,-,3.2.1.23,NULL,NULL,2626
97,beta-glucosidase,-,3.2.1.21,NULL,NULL,2626
98,"glutamate decarboxylase",-,4.1.1.15,NULL,NULL,2626
99,"acid phosphatase",-,3.1.3.2,NULL,NULL,3166
100,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,3166
101,"cystine arylamidase",-,3.4.11.3,NULL,NULL,3166
102,"esterase (C 4)",+/-,NULL,NULL,NULL,3166
103,"esterase Lipase (C 8)",+,NULL,NULL,NULL,3166
104,"leucine arylamidase",+,3.4.11.1,NULL,NULL,3166
105,"lipase (C 14)",+,NULL,NULL,NULL,3166
106,pyrazinamidase,-,3.5.1.B15,NULL,NULL,3166
107,"pyrrolidonyl arylamidase",+,3.4.19.3,NULL,NULL,3166
108,trypsin,+/-,3.4.21.4,NULL,NULL,3166
109,"valine arylamidase",-,NULL,NULL,NULL,3166
110,urease,-,3.5.1.5,NULL,NULL,3166
111,urease,+,3.5.1.5,NULL,NULL,3092
112,catalase,-,1.11.1.6,NULL,NULL,1757
113,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,1757
114,urease,-,3.5.1.5,NULL,NULL,1757
115,beta-galactosidase,-,3.2.1.23,NULL,NULL,1419
116,catalase,+,1.11.1.6,NULL,NULL,1419
117,gelatinase,+,NULL,NULL,NULL,1419
118,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,1419
119,catalase,+,1.11.1.6,NULL,NULL,40
120,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,40
121,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,6102
122,catalase,+,1.11.1.6,NULL,NULL,6102
123,"leucine arylamidase",+/-,3.4.11.1,NULL,NULL,6102
124,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,6102
125,urease,+,3.5.1.5,NULL,NULL,6102
126,alpha-glucosidase,+,3.2.1.20,NULL,NULL,12583
127,"arginine Dihydrolase",-,3.5.3.6,NULL,NULL,12583
128,beta-galactosidase,+,3.2.1.23,NULL,NULL,12583
129,beta-glucosidase,+,3.2.1.21,NULL,NULL,12583
130,catalase,+,1.11.1.6,NULL,NULL,12583
131,"lipase (C 14)",+,NULL,NULL,NULL,12583
132,"lysine decarboxylase",+,4.1.1.18,NULL,NULL,12583
133,"ornithine decarboxylase",-,4.1.1.17,NULL,NULL,12583
134,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,12583
135,urease,-,3.5.1.5,NULL,NULL,12583
136,"L-aspartate arylamidase
",+,3.4.11.21,NULL,NULL,12583
137,urease,+,3.5.1.5,NULL,NULL,16741
138,gelatinase,-,NULL,NULL,NULL,16741
139,gelatinase,-,NULL,NULL,NULL,16741
140,catalase,-,1.11.1.6,NULL,NULL,6655
141,catalase,-,1.11.1.6,NULL,NULL,6596
142,alpha-galactosidase,+,3.2.1.22,NULL,NULL,6596
143,alpha-glucosidase,+,3.2.1.20,NULL,NULL,6596
144,beta-glucosidase,+,3.2.1.21,NULL,NULL,6596
145,alpha-mannosidase,+,3.2.1.24,NULL,NULL,6875
146,urease,+,3.5.1.5,NULL,NULL,7673
147,urease,-,3.5.1.5,NULL,NULL,7748
148,beta-galactosidase,-,3.2.1.23,NULL,NULL,11874
149,gelatinase,-,NULL,NULL,NULL,11874
150,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,11874
151,DNase,-,NULL,NULL,NULL,11874
152,urease,+,3.5.1.5,NULL,NULL,11874
153,"arginine dihydrolase",+,3.5.3.6,NULL,NULL,12800
154,catalase,+,1.11.1.6,NULL,NULL,12800
155,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,12800
156,gelatinase,+,NULL,NULL,NULL,12800
157,urease,-,3.5.1.5,NULL,NULL,12800
158,catalase,+,1.11.1.6,NULL,NULL,12800
159,gelatinase,+,NULL,NULL,NULL,12800
160,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,12800
161,urease,+/-,3.5.1.5,NULL,NULL,12800
162,"arginine dihydrolase",+,3.5.3.6,NULL,NULL,12851
163,gelatinase,+,NULL,NULL,NULL,12851
164,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,12851
165,"lysine decarboxylase",-,4.1.1.18,NULL,NULL,12851
166,catalase,+,1.11.1.6,NULL,NULL,12851
167,"phenylalanine deaminase",-,4.3.1.5,NULL,NULL,12851
168,"arginine dihydrolase",+,3.5.3.6,NULL,NULL,12871
169,gelatinase,-,NULL,NULL,NULL,12871
170,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,12871
171,catalase,-,1.11.1.6,NULL,NULL,2085
172,"cystine arylamidase",-,3.4.11.3,NULL,NULL,2085
173,"esterase (C 4)",+/-,NULL,NULL,NULL,2085
174,"lipase (C 14)",+,NULL,NULL,NULL,2085
175,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,2085
176,urease,+/-,3.5.1.5,NULL,NULL,2085
177,phosphoamidase,+/-,3.9.1.1,NULL,NULL,2085
178,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,2085
179,catalase,+,1.11.1.6,NULL,NULL,2085
180,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,2085
181,"pyrrolidonyl arylamidase",+,3.4.19.3,NULL,NULL,2085
182,urease,+,3.5.1.5,NULL,NULL,2085
183,"phenylalanine deaminase",+,4.3.1.5,NULL,NULL,2085
184,beta-galactosidase,-,3.2.1.23,NULL,NULL,5117
185,beta-glucuronidase,-,3.2.1.31,NULL,NULL,5117
186,catalase,+,1.11.1.6,NULL,NULL,5117
187,gelatinase,-,NULL,NULL,NULL,5117
188,"lysine decarboxylase",+,4.1.1.18,NULL,NULL,5117
189,"ornithine decarboxylase",+,4.1.1.17,NULL,NULL,5117
190,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,5117
191,urease,-,3.5.1.5,NULL,NULL,5117
192,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,17532
193,alpha-galactosidase,-,3.2.1.22,NULL,NULL,17532
194,alpha-glucosidase,+,3.2.1.20,NULL,NULL,17532
195,beta-glucosidase,+,3.2.1.21,NULL,NULL,17532
196,"esterase (C 4)",+,NULL,NULL,NULL,17532
197,gelatinase,+,NULL,NULL,NULL,17532
198,"lysine decarboxylase",+,4.1.1.18,NULL,NULL,17532
199,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,17532
200,"valine arylamidase",-,NULL,NULL,NULL,17532
201,DNase,+,NULL,NULL,NULL,17532
202,"acid phosphatase",-,3.1.3.2,NULL,NULL,17569
203,"alkaline phosphatase",-,3.1.3.1,NULL,NULL,17569
204,"arginine dihydrolase",+,3.5.3.6,NULL,NULL,17569
205,beta-glucosidase,+,3.2.1.21,NULL,NULL,17569
206,catalase,+,1.11.1.6,NULL,NULL,17569
207,"esterase (C 4)",+/-,NULL,NULL,NULL,17569
208,gelatinase,+,NULL,NULL,NULL,17569
209,"leucine arylamidase",+/-,3.4.11.1,NULL,NULL,17569
210,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,17569
211,naphthol-AS-BI-phosphohydrolase,+/-,NULL,NULL,NULL,17569
212,trypsin,-,3.4.21.4,NULL,NULL,17569
213,urease,+,3.5.1.5,NULL,NULL,17569
214,"arginine dihydrolase",+,3.5.3.6,NULL,NULL,17561
