halophily,salt,salt_concentration,salt_concentration_unit,ability,test_type
NULL,NaCl,2.5,%(w/v),positive,maximum
NULL,NaCl,11.6,%(w/v),positive,resistant
NULL,NaCl,1,%(w/v),positive,growth
NULL,NaCl,5,%(w/v),no,growth
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,0,%,positive,growth
NULL,NaCl,0,%,positive,growth
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,0,%,positive,growth
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,10,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,15,%(w/v),no,growth
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,7.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,0,%,positive,growth
NULL,NaCl,5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,0,%,positive,growth
NULL,NaCl,0,%,positive,growth
NULL,NaCl,2.5,%,positive,maximum
NULL,NaCl,0,%,positive,growth
NULL,NaCl,2.5,%,positive,maximum
