ID_met_antibiotica,metabolite_antib,is_antibiotic,ab_sensitive,ab_sensitivity_conc,ab_sensitivity_unit,ab_intermediate_unit,ab_resistant,ab_intermediate_conc,ab_resistance_unit,chebi_ID
8630,Amoxicillin,1,1,15,"µg (disc)",NULL,NULL,NULL,NULL,2676
8631,Streptomycin,1,1,25,"µg (disc)",NULL,NULL,NULL,NULL,17076
8632,Tetracycline,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,27902
8633,Kanamycin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,6104
8634,Chloramphenicol,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,17698
8635,Spectinomycin,1,1,100,"µg (disc)",NULL,NULL,NULL,NULL,9215
8750,Colistin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",37943
8751,Norfloxacin,1,1,10,"µg (disc)",NULL,NULL,NULL,NULL,100246
8752,Tobramycin,1,1,15,"µg (disc)",NULL,NULL,NULL,NULL,28864
8753,Lomefloxacin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,116278
8754,Amikacin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,2637
8755,Roxithromycin,1,1,15,"µg (disc)",NULL,NULL,NULL,NULL,48844
8756,Ciprofloxacin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,100241
8757,Nitrofurantoin,1,1,300,"µg (disc)",NULL,NULL,NULL,NULL,71415
8758,Cefoperazone,1,1,75,"µg (disc)",NULL,NULL,NULL,NULL,3493
8759,Vancomycin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,28001
8760,Lincomycin,1,1,15,"µg (disc)",NULL,NULL,NULL,NULL,6472
8761,Cephotaxime,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,204928
8762,Kanamycin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,6104
8763,Novobiocin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,28368
8764,Chloramphenicol,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,17698
8765,Ampicillin,1,1,25,"µg (disc)",NULL,NULL,NULL,NULL,28971
8766,Tetracycline,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,27902
8767,Bacitracin,1,1,10,"µg (disc)",NULL,NULL,NULL,NULL,28669
8768,Gentamicin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,17833
8769,"Polymyxin B",1,1,50,"µg (disc)",NULL,NULL,NULL,NULL,8309
8770,Oleandomycin,1,1,15,"µg (disc)",NULL,NULL,NULL,NULL,16869
8771,Spectinomycin,1,1,100,"µg (disc)",NULL,NULL,NULL,NULL,9215
8772,Rifampicin,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,28077
8773,Erythromycin,1,1,15,"µg (disc)",NULL,NULL,NULL,NULL,48923
8774,Carbenicillin,1,1,100,"µg (disc)",NULL,NULL,NULL,NULL,3393
8775,Penicillin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",17334
8776,Cefuroxime,1,1,30,"µg (disc)",NULL,NULL,NULL,NULL,3515
8777,Amoxicillin,1,1,15,"µg (disc)",NULL,NULL,NULL,NULL,2676
8778,Doxycycline,1,1,10,"µg (disc)",NULL,NULL,NULL,NULL,50845
9653,"Penicillin G",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18208
9956,"Polymyxin B",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8309
9957,Oxytetracycline,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27701
9958,Neomycin,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7507
9991,Vibriostat,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73908
9992,Penicillin,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17334
9993,Dihydrostreptomycin,1,NULL,NULL,NULL,NULL,1,NULL,"µg (disc)",38291
