ID_met_production,metabolite_prod,production,excreted,chebi_ID,ID_strains
8607,Acetoin,1,NULL,15688,598
8628,"Hydrogen sulfide",0,NULL,16136,1290
8629,Acetoin,1,NULL,15688,1290
8747,Indole,0,NULL,35581,1290
8748,Acetoin,1,NULL,15688,1290
8802,"Lactic acid",1,NULL,78320,654
8803,Acetoin,1,NULL,15688,654
8844,"Hydrogen sulfide",0,NULL,16136,654
8845,Indole,0,NULL,35581,654
8846,Acetoin,1,NULL,15688,654
8904,Acetoin,1,NULL,15688,1265
9153,"Hydrogen sulfide",0,NULL,16136,1264
9154,Indole,0,NULL,35581,1264
9155,Acetoin,1,NULL,15688,1264
9240,"Hydrogen sulfide",0,NULL,16136,374
9390,Acetoin,1,NULL,15688,5292
9472,Indole,0,NULL,35581,1757
9473,"Acetic acid",1,NULL,15366,1757
9505,Acetoin,1,NULL,15688,1419
9546,"Hydrogen sulfide",0,NULL,16136,6102
9567,"Hydrogen sulfide",0,NULL,16136,12583
9568,Indole,0,NULL,35581,12583
9569,Acetoin,0,NULL,15688,12583
9570,Melanin,0,NULL,89634,12583
9622,Melanin,1,NULL,89634,16741
9638,"Hydrogen sulfide",1,NULL,16136,16741
9787,"Hydrogen sulfide",0,NULL,16136,6875
9948,Indole,0,NULL,35581,11874
9985,"Hydrogen sulfide",0,NULL,16136,12800
9986,Indole,0,NULL,35581,12800
9987,Acetoin,0,NULL,15688,12800
9988,Pyocyanine,1,NULL,8653,12800
10064,Fluorescein,1,NULL,31624,12800
10065,Pyocyanine,1,NULL,8653,12800
10263,Indole,0,NULL,35581,5117
10264,"Hydrogen sulfide",1,NULL,16136,5117
10331,Indole,0,NULL,35581,17569
10372,Indole,0,NULL,35581,17561
10373,2-Dehydro-D-gluconate,0,0,16808,11
10374,Cellulose,0,NULL,62968,11
10375,Dihydroxyacetone,1,NULL,16016,11
10376,5-Dehydro-D-gluconate,0,NULL,17426,12
10377,2-Dehydro-D-gluconate,1,NULL,16808,12
10378,5-Dehydro-D-gluconate,0,NULL,17426,13
10379,2-Dehydro-D-gluconate,1,NULL,16808,13
10380,2-Dehydro-D-gluconate,0,NULL,16808,19
10381,5-Dehydro-D-gluconate,1,NULL,17426,19
10382,Dihydroxyacetone,1,NULL,16016,20
10383,4H-pyran-4-one,1,NULL,37966,20
10384,5-Dehydro-D-gluconate,0,NULL,17426,21
10385,2-Dehydro-D-gluconate,1,NULL,16808,21
10386,5-Dehydro-D-gluconate,0,NULL,17426,22
10387,2-Dehydro-D-gluconate,0,NULL,16808,22
10388,"D-Gluconic acid",1,NULL,33198,22
10389,5-Dehydro-D-gluconate,0,NULL,17426,23
10390,2-Dehydro-D-gluconate,0,NULL,16808,23
10391,"D-Gluconic acid",1,NULL,33198,23
10392,"2,5-didehydro-D-gluconic acid",0,NULL,18281,34
10394,Dihydroxyacetone,1,NULL,16016,34
10395,5-Dehydro-D-gluconate,1,NULL,17426,34
10396,2-Dehydro-D-gluconate,1,NULL,16808,34
10397,Acetoin,0,NULL,15688,38
10398,"Hydrogen sulfide",0,NULL,16136,39
10399,Acetoin,0,NULL,15688,39
10400,"Hydrogen sulfide",0,NULL,16136,42
10401,5-Dehydro-D-gluconate,1,NULL,17426,42
10402,2-Dehydro-D-gluconate,1,NULL,16808,42
10403,"Hydrogen sulfide",1,NULL,16136,48
10404,"Hydrogen sulfide",1,NULL,16136,53
10405,2-Dehydro-D-gluconate,1,NULL,16808,53
10406,Indole,0,NULL,35581,58
10407,"Hydrogen sulfide",0,NULL,16136,58
10408,Ammonium,0,NULL,28938,58
10409,"2,5-didehydro-D-gluconic acid",0,NULL,18281,58
10410,Dihydroxyacetone,1,NULL,16016,58
10411,"D-Gluconic acid",1,NULL,33198,58
10412,"Acetic acid",1,NULL,15366,58
