ID_oxygen_tolerance,oxygen_tol,ID_strains
2,anaerobe,59
3,anaerobe,98
4,anaerobe,99
5,anaerobe,100
6,anaerobe,101
7,anaerobe,102
8,anaerobe,103
9,anaerobe,104
10,anaerobe,105
11,anaerobe,140
12,anaerobe,144
14,microaerophile,145
15,anaerobe,146
17,anaerobe,147
18,anaerobe,148
19,anaerobe,149
20,anaerobe,150
21,anaerobe,151
22,anaerobe,152
23,microaerophile,153
24,anaerobe,154
25,anaerobe,155
26,microaerophile,155
27,anaerobe,156
28,microaerophile,156
29,anaerobe,157
30,microaerophile,157
31,anaerobe,158
32,microaerophile,159
33,microaerophile,160
34,anaerobe,161
35,anaerobe,162
36,anaerobe,163
37,anaerobe,164
38,microaerophile,164
39,anaerobe,165
40,microaerophile,165
41,anaerobe,170
43,microaerophile,174
45,microaerophile,175
47,microaerophile,176
49,microaerophile,177
51,microaerophile,178
53,microaerophile,179
55,microaerophile,180
57,microaerophile,181
59,microaerophile,182
60,anaerobe,183
62,anaerobe,184
63,anaerobe,185
64,microaerophile,185
66,anaerobe,187
67,anaerobe,188
68,anaerobe,189
69,anaerobe,190
70,anaerobe,192
71,anaerobe,193
72,microaerophile,194
73,anaerobe,195
74,anaerobe,196
75,microaerophile,196
76,anaerobe,197
77,anaerobe,198
78,microaerophile,198
80,microaerophile,203
82,anaerobe,204
83,anaerobe,205
84,anaerobe,206
85,anaerobe,207
87,anaerobe,208
88,anaerobe,209
90,anaerobe,210
91,anaerobe,211
92,anaerobe,212
93,microaerophile,216
94,aerobe,216
95,microaerophile,217
96,aerobe,217
97,anaerobe,218
98,anaerobe,219
100,microaerophile,225
102,microaerophile,226
103,microaerophile,227
104,aerobe,227
106,microaerophile,229
108,microaerophile,230
110,microaerophile,234
112,microaerophile,235
113,microaerophile,236
114,aerobe,270
115,anaerobe,294
116,aerobe,347
117,anaerobe,347
118,anaerobe,348
119,microaerophile,356
120,microaerophile,366
121,aerobe,383
122,aerobe,470
123,anaerobe,501
124,anaerobe,502
125,anaerobe,503
126,anaerobe,504
127,anaerobe,505
128,anaerobe,506
129,anaerobe,507
130,microaerophile,520
131,microaerophile,521
132,microaerophile,524
133,microaerophile,525
134,anaerobe,552
135,"facultative anaerobe",1068
136,anaerobe,1147
137,anaerobe,1148
138,anaerobe,1211
139,anaerobe,1229
140,aerobe,1244
141,anaerobe,1295
142,microaerophile,1357
143,microaerophile,1358
144,aerobe,1391
145,anaerobe,1402
146,anaerobe,1404
147,aerobe,1405
148,anaerobe,1405
149,"facultative anaerobe",1408
150,anaerobe,1557
151,anaerobe,1558
152,anaerobe,1559
153,microaerophile,1569
154,anaerobe,1579
155,anaerobe,1580
156,anaerobe,1581
157,anaerobe,1582
160,anaerobe,1583
162,anaerobe,1584
165,anaerobe,1585
166,anaerobe,1586
168,anaerobe,1587
169,anaerobe,1588
171,anaerobe,1589
172,anaerobe,1590
174,anaerobe,1591
176,anaerobe,1592
178,anaerobe,1593
180,anaerobe,1594
182,anaerobe,1595
183,anaerobe,1596
184,anaerobe,1597
186,anaerobe,1598
188,anaerobe,1599
189,anaerobe,1600
192,anaerobe,1601
193,anaerobe,1602
195,anaerobe,1603
197,anaerobe,1604
198,anaerobe,1605
200,anaerobe,1606
202,anaerobe,1607
204,anaerobe,1608
205,anaerobe,1609
207,anaerobe,1610
208,anaerobe,1611
209,anaerobe,1612
210,anaerobe,1613
211,anaerobe,1614
213,anaerobe,1615
214,anaerobe,1616
216,anaerobe,1617
218,anaerobe,1618
220,anaerobe,1619
221,anaerobe,1620
223,anaerobe,1621
225,anaerobe,1622
227,anaerobe,1623
229,anaerobe,1624
230,anaerobe,1625
232,anaerobe,1626
234,anaerobe,1627
236,anaerobe,1628
237,anaerobe,1629
239,anaerobe,1630
240,anaerobe,1631
241,microaerophile,1632
242,microaerophile,1633
243,microaerophile,1634
244,microaerophile,1635
245,microaerophile,1636
246,microaerophile,1637
247,microaerophile,1638
248,microaerophile,1639
249,microaerophile,1640
250,microaerophile,1641
251,microaerophile,1642
252,microaerophile,1643
253,microaerophile,1644
254,microaerophile,1645
255,aerobe,1656
256,anaerobe,1682
257,anaerobe,1683
258,anaerobe,1684
259,anaerobe,1685
260,anaerobe,1686
261,anaerobe,1687
262,anaerobe,1688
263,anaerobe,1689
264,anaerobe,1690
265,anaerobe,1691
266,anaerobe,1692
267,anaerobe,1693
268,anaerobe,1694
269,anaerobe,1695
270,anaerobe,1696
271,anaerobe,1697
272,anaerobe,1698
273,anaerobe,1699
274,anaerobe,1700
275,anaerobe,1701
276,anaerobe,1702
277,anaerobe,1703
278,anaerobe,1704
279,anaerobe,1705
280,anaerobe,1706
281,anaerobe,1707
282,anaerobe,1708
283,anaerobe,1709
284,anaerobe,1710
285,anaerobe,1711
286,anaerobe,1712
287,anaerobe,1713
288,anaerobe,1714
289,anaerobe,1715
290,anaerobe,1716
291,anaerobe,1717
292,anaerobe,1718
293,anaerobe,1719
294,anaerobe,1720
295,anaerobe,1721
296,anaerobe,1722
297,anaerobe,1723
298,anaerobe,1724
299,anaerobe,1725
300,anaerobe,1726
301,anaerobe,1727
302,anaerobe,1728
303,anaerobe,1729
304,anaerobe,1730
305,anaerobe,1731
306,anaerobe,1732
307,anaerobe,1733
308,anaerobe,1734
309,anaerobe,1735
310,anaerobe,1736
311,anaerobe,1737
312,anaerobe,1738
314,anaerobe,1739
315,anaerobe,1740
316,anaerobe,1741
317,anaerobe,1742
318,anaerobe,1743
319,anaerobe,1744
320,anaerobe,1745
321,anaerobe,1746
322,anaerobe,1747
323,anaerobe,1748
324,anaerobe,1749
325,anaerobe,1750
326,anaerobe,1751
327,anaerobe,1752
328,anaerobe,1753
329,anaerobe,1754
330,anaerobe,1755
331,anaerobe,1756
332,anaerobe,1757
333,microaerophile,1757
334,anaerobe,1758
335,anaerobe,1759
336,anaerobe,1760
337,anaerobe,1761
338,anaerobe,1762
339,anaerobe,1763
340,anaerobe,1764
342,"obligate anaerobe",1765
343,anaerobe,1766
344,anaerobe,1767
345,anaerobe,1768
346,anaerobe,1769
347,microaerophile,1789
348,anaerobe,1798
349,anaerobe,1799
350,anaerobe,1800
351,anaerobe,1801
352,microaerophile,1801
353,anaerobe,1819
354,anaerobe,1820
355,anaerobe,1821
356,anaerobe,1822
357,anaerobe,1823
358,anaerobe,1824
359,anaerobe,1825
360,anaerobe,1826
361,anaerobe,1827
362,anaerobe,1828
363,anaerobe,2090
364,microaerophile,2091
365,microaerophile,2092
366,microaerophile,2093
368,microaerophile,2094
369,microaerophile,2095
370,microaerophile,2096
371,microaerophile,2098
372,microaerophile,2099
373,microaerophile,2101
374,anaerobe,2102
375,microaerophile,2103
377,anaerobe,2119
378,microaerophile,2120
379,microaerophile,2121
381,"facultative anaerobe",2124
382,microaerophile,2125
383,microaerophile,2126
384,anaerobe,2127
386,anaerobe,2128
387,microaerophile,2129
388,microaerophile,2130
389,microaerophile,2131
391,anaerobe,2133
392,microaerophile,2134
394,anaerobe,2135
396,anaerobe,2136
397,anaerobe,2137
399,anaerobe,2138
400,microaerophile,2140
401,microaerophile,2141
402,microaerophile,2145
403,microaerophile,2146
404,microaerophile,2149
405,microaerophile,2150
406,microaerophile,2152
407,microaerophile,2153
408,microaerophile,2155
409,microaerophile,2156
410,microaerophile,2167
411,microaerophile,2170
412,microaerophile,2173
413,microaerophile,2176
414,microaerophile,2179
415,microaerophile,2183
416,microaerophile,2198
417,microaerophile,2203
418,anaerobe,2223
419,anaerobe,2224
420,anaerobe,2225
421,anaerobe,2226
422,anaerobe,2227
423,anaerobe,2228
424,anaerobe,2229
425,anaerobe,2230
426,anaerobe,2231
427,anaerobe,2232
428,microaerophile,2233
429,microaerophile,2234
430,anaerobe,2235
432,anaerobe,2236
433,microaerophile,2238
434,microaerophile,2243
435,microaerophile,2244
436,microaerophile,2245
437,microaerophile,2246
439,anaerobe,2248
441,anaerobe,2251
442,microaerophile,2268
443,anaerobe,2270
444,microaerophile,2271
445,anaerobe,2274
446,anaerobe,2275
447,anaerobe,2276
448,microaerophile,2276
449,"facultative anaerobe",2278
450,microaerophile,2279
451,anaerobe,2280
452,microaerophile,2282
453,aerobe,2284
454,anaerobe,2284
455,anaerobe,2285
456,anaerobe,2286
457,anaerobe,2287
458,microaerophile,2359
459,aerobe,2359
460,anaerobe,2395
461,anaerobe,2396
462,anaerobe,2397
463,anaerobe,2398
464,anaerobe,2399
465,anaerobe,2400
466,anaerobe,2401
467,anaerobe,2402
468,anaerobe,2403
469,anaerobe,2404
470,anaerobe,2405
471,anaerobe,2406
472,anaerobe,2407
473,anaerobe,2408
474,anaerobe,2409
475,anaerobe,2410
476,anaerobe,2411
477,anaerobe,2412
478,anaerobe,2416
479,anaerobe,2417
480,anaerobe,2418
481,anaerobe,2419
482,anaerobe,2420
483,anaerobe,2421
484,anaerobe,2422
485,anaerobe,2423
486,anaerobe,2424
487,anaerobe,2425
488,anaerobe,2426
489,anaerobe,2427
490,anaerobe,2428
491,anaerobe,2429
