"Dataset","Number of the triple","Time"
"culture_temperature_triples_triples","10000","1.7540736198425293"
"culture_temperature_triples_triples","20000","1.8750615119934082"
"culture_temperature_triples_triples","30000","1.9549355506896973"
"culture_temperature_triples_triples","40000","2.044708251953125"
"culture_temperature_triples_triples","50000","2.175628662109375"
"culture_temperature_triples_triples","60000","2.299203872680664"
"culture_temperature_triples_triples","70000","2.455146551132202"
"culture_temperature_triples_triples","80000","2.6431050300598145"
"culture_temperature_triples_triples","90000","2.824653387069702"
"culture_temperature_triples_triples","100000","3.0029728412628174"
"culture_temperature_triples_triples","110000","3.1879894733428955"
"culture_temperature_triples_triples","120000","3.3519928455352783"
"culture_temperature_triples_triples","130000","3.4611523151397705"
"culture_temperature_triples_triples","140000","3.5381550788879395"
"culture_temperature_triples_triples","150000","3.6131553649902344"
"culture_temperature_triples_triples","160000","3.6891591548919678"
"culture_temperature_triples_triples","170000","3.7681634426116943"
"culture_temperature_triples_triples","180000","3.8761298656463623"
"culture_temperature_triples_triples","190000","3.985166549682617"
"culture_temperature_triples_triples","200000","4.062132120132446"
"culture_temperature_triples_triples","210000","4.141174554824829"
"culture_temperature_triples_triples","220000","4.2471911907196045"
"culture_temperature_triples_triples","230000","4.353186368942261"
"culture_temperature_triples_triples","240000","4.501187324523926"
"culture_temperature_triples_triples","250000","4.5791871547698975"
