"Dataset","Number of the triple","Time"
"enzyme_triples","10000","3.0668697357177734"
"enzyme_triples","20000","3.274472951889038"
"enzyme_triples","30000","3.4586548805236816"
"enzyme_triples","40000","3.6414928436279297"
"enzyme_triples","50000","3.879770278930664"
"enzyme_triples","60000","4.143044948577881"
"enzyme_triples","70000","4.450851917266846"
"enzyme_triples","80000","4.874852180480957"
"enzyme_triples","90000","5.093734979629517"
"enzyme_triples","100000","5.589304685592651"
"enzyme_triples","110000","5.97974967956543"
"enzyme_triples","120000","6.22596549987793"
"enzyme_triples","130000","6.668376684188843"
"enzyme_triples","140000","6.911024570465088"
"enzyme_triples","150000","7.1070191860198975"
"enzyme_triples","160000","7.316213607788086"
"enzyme_triples","170000","7.564650058746338"
"enzyme_triples","180000","7.7616705894470215"
"enzyme_triples","190000","7.928950071334839"
"enzyme_triples","200000","8.209954977035522"
"enzyme_triples","210000","8.529911279678345"
"enzyme_triples","220000","8.705345153808594"
"enzyme_triples","230000","8.879627227783203"
"enzyme_triples","240000","9.099705219268799"
"enzyme_triples","250000","9.276403427124023"
"enzyme_triples","260000","9.540944337844849"
