"Dataset","Number of the triple","Time"
"cell_morphology","10000","0.42499828338623047"
"strains","20000","31.434568643569946"
"strains","30000","31.606547594070435"
"strains","40000","31.80557942390442"
"strains","50000","31.964153289794922"
"strains","60000","32.134188413619995"
"strains","70000","32.32115364074707"
"strains","80000","32.50615906715393"
"strains","90000","32.71215486526489"
"strains","100000","32.90715670585632"
"strains","110000","33.0971896648407"
"strains","120000","33.27115511894226"
"strains","130000","33.44815540313721"
"strains","140000","33.6281533241272"
"strains","150000","33.823153257369995"
"strains","160000","33.99115824699402"
"strains","170000","34.18015480041504"
"strains","180000","34.36621427536011"
"strains","190000","34.55124640464783"
"strains","200000","34.76621150970459"
"strains","210000","34.94921255111694"
"strains","220000","35.1242516040802"
"strains","230000","35.300212383270264"
"strains","240000","35.48424673080444"
"strains","250000","35.66424751281738"
"strains","260000","35.854212045669556"
"strains","270000","36.034247398376465"
"strains","280000","36.205212116241455"
"strains","290000","36.38224792480469"
"strains","300000","36.575215101242065"
"strains","310000","36.749213457107544"
"strains","320000","36.9358549118042"
"strains","330000","37.11285614967346"
"strains","340000","37.275856494903564"
"strains","350000","37.47682189941406"
"strains","360000","37.6708242893219"
"strains","370000","37.8908212184906"
"strains","380000","38.10082221031189"
"strains","390000","38.29485464096069"
"strains","400000","38.499857664108276"
"strains","410000","38.698856830596924"
"strains","420000","38.92382287979126"
"strains","430000","39.191853284835815"
"strains","440000","39.470823764801025"
"strains","450000","39.746856689453125"
"strains","460000","40.03982138633728"
"strains","470000","40.31085681915283"
"strains","480000","40.57382154464722"
"strains","490000","40.83282423019409"
"strains","500000","41.12385702133179"
"strains","510000","41.38882493972778"
"strains","520000","41.65082263946533"
"strains","530000","41.918822288513184"
"strains","540000","42.20640230178833"
"strains","550000","42.47140574455261"
"strains","560000","42.74540376663208"
"strains","570000","43.02140235900879"
"strains","580000","43.300403118133545"
"strains","590000","43.57043814659119"
"strains","600000","43.84540247917175"
"strains","610000","44.123406171798706"
"strains","620000","44.39840340614319"
"strains","630000","44.662402629852295"
"strains","640000","44.93440294265747"
"strains","650000","45.21440553665161"
"strains","660000","45.49343776702881"
"strains","670000","45.76240420341492"
"strains","680000","45.994439363479614"
"strains","690000","46.18743705749512"
"strains","700000","46.37440276145935"
"strains","710000","46.56844210624695"
"strains","720000","46.765403509140015"
"strains","730000","46.94804525375366"
"strains","740000","47.12604117393494"
"strains","750000","47.296011447906494"
"strains","760000","47.45904350280762"
"strains","770000","47.62700963020325"
"strains","780000","47.86201024055481"
"strains","790000","48.10100960731506"
"strains","800000","48.35204458236694"
"strains","810000","48.60005259513855"
"strains","820000","48.85100960731506"
"strains","830000","49.09400916099548"
"strains","840000","49.3030104637146"
"strains","850000","49.47600960731506"
"strains","860000","49.64601230621338"
"strains","870000","49.925044775009155"
"strains","880000","50.202009439468384"
"strains","890000","50.46804404258728"
"strains","900000","50.73404550552368"
"strains","910000","50.995047092437744"
"strains","920000","51.24800944328308"
"strains","930000","51.514049768447876"
"strains","940000","51.76600933074951"
"strains","950000","52.02565670013428"
"strains","960000","52.28465270996094"
"strains","970000","52.53865599632263"
"strains","980000","52.77765512466431"
"strains","990000","53.020689249038696"
"strains","1000000","53.2556893825531"
"strains","1010000","53.50468993186951"
"strains","1020000","53.73769021034241"
"strains","1030000","53.942688941955566"
"strains","1040000","54.130656242370605"
"strains","1050000","54.48465538024902"
"strains","1060000","55.114686489105225"
"strains","1070000","56.01372170448303"
"strains","1080000","56.183759450912476"
"strains","1090000","56.48672080039978"
"strains","1100000","56.7507221698761"
"strains","1110000","57.52426505088806"
"strains","1120000","60.33084845542908"
"strains","1130000","62.91288614273071"
"strains","1140000","63.11184811592102"
"strains","1150000","63.48188638687134"
"strains","1160000","63.67285108566284"
"strains","1170000","64.78184938430786"
"strains","1180000","64.97084832191467"
"strains","1190000","65.3868510723114"
"strains","1200000","65.66988444328308"
"strains","1210000","66.09688425064087"
"strains","1220000","66.45284867286682"
"strains","1230000","70.87746953964233"
"strains","1240000","74.41108751296997"
"strains","1250000","76.68964910507202"
"strains","1260000","78.30633521080017"
"strains","1270000","78.68232250213623"
"strains","1280000","79.13335824012756"
"strains","1290000","79.40435886383057"
"strains","1300000","79.60032296180725"
"strains","1310000","80.04932403564453"
"strains","1320000","80.32936501502991"
"strains","1330000","80.60745191574097"
"colony_morphology","1340000","81.58487153053284"
"colony_morphology","1350000","81.94151759147644"
"colony_morphology","1360000","82.22347903251648"
"culture_ph","1370000","82.62957096099854"
"culture_ph","1380000","82.74453544616699"
"culture_ph","1390000","82.88653898239136"
"culture_ph","1400000","83.05253744125366"
"culture_ph","1410000","83.21453523635864"
"culture_temp","1420000","84.19457244873047"
"culture_temp","1430000","84.30953931808472"
"culture_temp","1440000","84.43254017829895"
"culture_temp","1450000","84.55457091331482"
"culture_temp","1460000","84.66253566741943"
"culture_temp","1470000","84.78053545951843"
"culture_temp","1480000","84.89457154273987"
"culture_temp","1490000","84.9995710849762"
"culture_temp","1500000","85.12457060813904"
"culture_temp","1510000","85.24253964424133"
"culture_temp","1520000","85.3705358505249"
"culture_temp","1530000","85.50054454803467"
"culture_temp","1540000","85.61653566360474"
"culture_temp","1550000","85.75253558158875"
"culture_temp","1560000","85.86657071113586"
"culture_temp","1570000","85.9825747013092"
"culture_temp","1580000","86.11454772949219"
"culture_temp","1590000","86.25057005882263"
"culture_temp","1600000","86.4035713672638"
"culture_temp","1610000","86.61457204818726"
"culture_temp","1620000","86.85553574562073"
"culture_temp","1630000","87.02369213104248"
"culture_temp","1640000","87.17069244384766"
"culture_temp","1650000","87.34369587898254"
"culture_temp","1660000","87.54069209098816"
"culture_temp","1670000","87.73569083213806"
"culture_temp","1680000","87.89969420433044"
"culture_temp","1690000","88.05769109725952"
"culture_temp","1700000","88.23372721672058"
"culture_temp","1710000","88.398690700531"
"culture_temp","1720000","88.54769110679626"
"culture_temp","1730000","88.68970394134521"
"culture_temp","1740000","88.8467173576355"
"culture_temp","1750000","88.98575234413147"
"culture_temp","1760000","89.13075184822083"
"halophily","1770000","89.56486654281616"
"halophily","1780000","89.70189833641052"
"halophily","1790000","89.81689858436584"
"halophily","1800000","90.0108642578125"
"halophily","1810000","90.16086387634277"
"enzymes","1820000","90.93490052223206"
"enzymes","1830000","91.18798780441284"
"enzymes","1840000","91.47198820114136"
"enzymes","1850000","91.70598816871643"
"enzymes","1860000","91.92498779296875"
"enzymes","1870000","92.1845498085022"
"enzymes","1880000","92.45813798904419"
"enzymes","1890000","92.72113680839539"
"enzymes","1900000","93.00717210769653"
"met_antibiotica","1910000","93.75517177581787"
"met_antibiotica","1920000","94.10417151451111"
"met_production","1930000","94.70716953277588"
"met_production","1940000","94.85416913032532"
"met_util","1950000","96.79269075393677"
"met_util","1960000","96.98330783843994"
"met_util","1970000","97.16831088066101"
"met_util","1980000","97.39231014251709"
"met_util","1990000","97.6183090209961"
"met_util","2000000","97.83931159973145"
"met_util","2010000","98.06734108924866"
"met_util","2020000","98.34130764007568"
"met_util","2030000","98.58634305000305"
"met_util","2040000","98.8353431224823"
"met_util","2050000","99.07834362983704"
"met_util","2060000","99.31934070587158"
"met_util","2070000","99.55331182479858"
"met_util","2080000","99.78134274482727"
"met_util","2090000","100.01830792427063"
"met_util","2100000","100.22531151771545"
"met_util","2110000","100.43630957603455"
"met_util","2120000","100.64434099197388"
"met_util","2130000","100.8453106880188"
"met_util","2140000","101.0563108921051"
"met_util","2150000","101.25334334373474"
"met_util","2160000","101.4503083229065"
"met_util","2170000","101.66534781455994"
"met_util","2180000","101.88531160354614"
"met_util","2190000","102.08890080451965"
"met_util","2200000","102.297935962677"
"met_util","2210000","102.5008978843689"
"met_util","2220000","102.70090103149414"
"met_util","2230000","102.89793276786804"
"met_util","2240000","103.12990021705627"
"met_util","2250000","103.3728973865509"
"met_util","2260000","103.60590100288391"
"met_util","2270000","103.84493517875671"
"met_util","2280000","104.08993291854858"
"met_util","2290000","104.32089757919312"
"met_util","2300000","104.55493235588074"
"met_util","2310000","104.79493689537048"
"met_util","2320000","105.04990100860596"
"met_util","2330000","105.28493428230286"
"met_util","2340000","105.53593230247498"
"met_util","2350000","105.78193283081055"
"met_util","2360000","106.03789687156677"
"met_util","2370000","106.27190017700195"
"met_util","2380000","106.51193261146545"
"met_util","2390000","106.84893226623535"
"met_util","2400000","107.1812584400177"
"met_util","2410000","107.50021624565125"
"origin","2420000","108.98121356964111"
"origin","2430000","109.20721554756165"
"origin","2440000","109.42525839805603"
"origin","2450000","109.68624925613403"
"origin","2460000","109.90521359443665"
"origin","2470000","110.10421347618103"
"origin","2480000","110.28924989700317"
"origin","2490000","110.4752128124237"
"origin","2500000","110.6482162475586"
"origin","2510000","110.84524846076965"
"origin","2520000","111.04124999046326"
"origin","2530000","111.20624828338623"
"origin","2540000","111.45725107192993"
"origin","2550000","111.66225051879883"
"origin","2560000","111.83424997329712"
"origin","2570000","112.0308108329773"
"origin","2580000","112.22981762886047"
"origin","2590000","112.41078186035156"
"origin","2600000","112.6247820854187"
"origin","2610000","112.81281352043152"
"origin","2620000","113.03677988052368"
"origin","2630000","113.22678208351135"
"origin","2640000","113.41577816009521"
"origin","2650000","113.59377884864807"
"origin","2660000","113.78481364250183"
"oxygen_tolerance","2670000","114.23978185653687"
"oxygen_tolerance","2680000","114.38981342315674"
"oxygen_tolerance","2690000","114.54778409004211"
"oxygen_tolerance","2700000","116.61281371116638"
"oxygen_tolerance","2710000","116.7674949169159"
"oxygen_tolerance","2720000","116.93535375595093"
"oxygen_tolerance","2730000","117.10334944725037"
"oxygen_tolerance","2740000","117.27535271644592"
"oxygen_tolerance","2750000","117.45238471031189"
"oxygen_tolerance","2760000","117.61835074424744"
"oxygen_tolerance","2770000","117.79335117340088"
"risk_assessment","2780000","118.36535286903381"
"risk_assessment","2790000","118.52435374259949"
"risk_assessment","2800000","118.6903874874115"
"risk_assessment","2810000","118.8633873462677"
"risk_assessment","2820000","119.01938915252686"
"risk_assessment","2830000","119.19538879394531"
"risk_assessment","2840000","119.35335397720337"
"spore_formation","2850000","119.69639182090759"
"culture_medium","2860000","120.37535095214844"
"culture_medium","2870000","122.1959400177002"
"culture_medium","2880000","122.35397529602051"
"culture_medium","2890000","122.51597595214844"
"culture_medium","2900000","122.66693949699402"
"culture_medium","2910000","122.81597661972046"
"culture_medium","2920000","122.97197556495667"
"culture_medium","2930000","123.14494228363037"
"culture_medium","2940000","123.29798221588135"
"culture_medium","2950000","123.45997714996338"
"culture_medium","2960000","123.62597632408142"
"culture_medium","2970000","123.95993947982788"
"culture_medium","2980000","124.19898056983948"
"culture_medium","2990000","124.40393996238708"
"culture_medium","3000000","124.63697648048401"
"culture_medium","3010000","124.91497492790222"
"culture_medium","3020000","125.19094252586365"
"culture_medium","3030000","125.36697626113892"
"culture_medium","3040000","125.52797484397888"
"culture_medium","3050000","125.70794248580933"
"culture_medium","3060000","125.8749406337738"
"culture_medium","3070000","126.071941614151"
"culture_medium","3080000","126.27597856521606"
"culture_medium","3090000","126.45197677612305"
"met_test","3100000","126.8329393863678"
"gc_content","3110000","127.43001699447632"
"gc_content","3120000","127.57203936576843"
"gc_content","3130000","127.76900339126587"
"gc_content","3140000","127.95601320266724"
"multicellular_morphology","3150000","128.4690043926239"
"multicellular_morphology","3160000","128.74203872680664"
"murein","3170000","129.17217373847961"
"strain_history","3180000","133.70517992973328"
"strain_history","3190000","133.84118127822876"
"strain_history","3200000","133.97518253326416"
"strain_history","3210000","134.11621522903442"
"strain_history","3220000","134.2632176876068"
"strain_history","3230000","134.44321632385254"
"strain_history","3240000","134.6402130126953"
"strain_history","3250000","134.83417797088623"
"strain_history","3260000","135.05618023872375"
"strain_history","3270000","135.28917860984802"
"strain_history","3280000","135.51621341705322"
"strain_history","3290000","135.73521280288696"
"strain_history","3300000","135.93117809295654"
"strain_history","3310000","136.1332128047943"
"strain_history","3320000","136.33721613883972"
"strain_history","3330000","136.53418016433716"
"strain_history","3340000","136.73821330070496"
"strain_history","3350000","136.92990064620972"
"strain_history","3360000","137.1298623085022"
"strain_history","3370000","137.33989834785461"
"strain_history","3380000","137.54886555671692"
"strain_history","3390000","137.75186276435852"
"strain_history","3400000","137.95386266708374"
"strain_history","3410000","138.15386295318604"
"strain_history","3420000","138.34589767456055"
"strain_history","3430000","138.55290055274963"
"strain_history","3440000","138.74789762496948"
"strain_history","3450000","138.94590163230896"
"strain_history","3460000","139.17190074920654"
"strain_history","3470000","139.36986255645752"
"strain_history","3480000","139.57186222076416"
"strain_history","3490000","139.76786613464355"
