FA_meta_ID,FA_type,FA_medium,FA_agar_liquid,FA_temp,FA_time,FA_pH,FA_oxygen,FA_cond,FA_soft,FA_lib,FA_system,FA_instrument,FA_method,FA_cutoff,last_change
73,whole cell analysis,R2A,agar,28,2,,,,Sherlock 2.11,TSBA 4.1,MIS MIDI,,Kämpfer & Kroppenstedt 1996,,2017-11-20 14:52:42
26,whole cell analysis,Tryptic soy agar (TSA),agar,28,3,,,,Sherlock 2.11,TSBA 40,MIS MIDI,,Kämpfer & Kroppenstedt 1996,0.0,2017-11-20 14:52:42
25,whole cell analysis,R2A,agar,30,3,,,,Sherlock 4.0,TSBA 40,MIS MIDI,"Hewlett Packard, 6890",Sasser 1990,1.0,2017-11-20 14:52:42
145,whole cell analysis,Tryptic soy agar (TSA),agar,30,1,,,,Sherlock 4.0,,MIS MIDI,,,,2017-11-20 14:52:42
43,whole cell analysis,BAP,,,,,,,Sherlock 4.5,ACTIN 6,MIS MIDI,Agilent 6890N,Miller 1982,1.0,2017-11-20 14:52:42
90,whole cell analysis,R2A,agar,25,8,,,agar surface was kept moist with liquid R2A medium,Sherlock 4.5,TSBA 40,MIS MIDI,,Kämpfer & Kroppenstedt 1996,,2017-11-20 14:52:42
93,whole cell analysis,Marine Agar (MA)) with 1 % NaCl (w/v),agar,37,2,,,,Sherlock 4.5,TSBA 40,MIS MIDI,,Sasser 1990,1.0,2017-11-20 14:52:42
68,whole cell analysis,Tryptic soy agar (TSA),agar,28,3,,,,Sherlock 4.5,TSBA 40,MIS MIDI,,Sasser 1990,,2017-11-20 14:52:42
17,whole cell analysis,PTYG,liquid,30,1,,,,Sherlock 4.5,TSBA 40,MIS MIDI,6890N; Agilent,,1.0,2017-11-20 14:52:42
157,whole cell analysis,ISP2,liquid,25,2,,,,Sherlock 4.5,TSBA 40,MIS MIDI,,,0.0,2017-11-20 14:52:42
15,whole cell analysis,marine broth (MB),liquid,28,2,,,,Sherlock 4.5,,MIS MIDI,,,,2017-11-20 14:52:42
96,whole cell analysis,tryptic soy,,20,3,,,,Sherlock 4.5,,MIS MIDI,,,1.0,2017-11-20 14:52:42
105,whole cell analysis,R2A,agar,28,,,,,Sherlock 4.5,,MIS MIDI,,,1.0,2017-11-20 14:52:42
141,whole cell analysis,marine broth (MB),,25,1,,,,Sherlock 4.5,,MIS MIDI,,,0.0,2017-11-20 14:52:42
