"Dataset","Number of the triple","Time"
"cell_morphology","10000","0.4316983222961426"
"cell_morphology","20000","0.5607304573059082"
"cell_morphology","30000","0.6876966953277588"
"cell_morphology","40000","0.8147296905517578"
"cell_morphology","50000","0.9397299289703369"
"cell_morphology","60000","1.0627331733703613"
"cell_morphology","70000","1.1907322406768799"
"cell_morphology","80000","1.3166985511779785"
"strains","90000","3.4626948833465576"
"strains","100000","3.5826964378356934"
"strains","110000","3.701694965362549"
"strains","120000","3.8157293796539307"
"strains","130000","3.9367294311523438"
"strains","140000","4.0473551750183105"
"strains","150000","4.171320676803589"
"strains","160000","4.293321132659912"
"strains","170000","4.413321018218994"
"strains","180000","4.5333571434021"
"strains","190000","4.650322198867798"
"strains","200000","4.772322416305542"
"strains","210000","4.900320053100586"
"strains","220000","5.023353815078735"
"strains","230000","5.141322374343872"
"strains","240000","5.263319730758667"
"strains","250000","5.383320093154907"
"strains","260000","5.50435733795166"
"strains","270000","5.620354175567627"
"strains","280000","5.738318920135498"
"strains","290000","5.86431884765625"
"strains","300000","5.990355014801025"
"strains","310000","6.119358539581299"
"strains","320000","6.248356819152832"
"strains","330000","6.385319948196411"
"strains","340000","6.516323089599609"
"strains","350000","6.658318996429443"
"strains","360000","6.796319484710693"
"strains","370000","6.950353622436523"
"strains","380000","7.083320617675781"
"strains","390000","7.210323095321655"
"strains","400000","7.334322452545166"
"strains","410000","7.4623191356658936"
"strains","420000","7.588322639465332"
"strains","430000","7.711320877075195"
"strains","440000","7.840356111526489"
"strains","450000","7.96432089805603"
"strains","460000","8.094321966171265"
"strains","470000","8.21835446357727"
"strains","480000","8.34335446357727"
"strains","490000","8.474355459213257"
"strains","500000","8.600322484970093"
"strains","510000","8.725322246551514"
"strains","520000","8.845322370529175"
"strains","530000","8.961366653442383"
"strains","540000","9.084010362625122"
"strains","550000","9.200010538101196"
"strains","560000","9.324009656906128"
"strains","570000","9.459010124206543"
"strains","580000","9.59798002243042"
"strains","590000","9.740010976791382"
"strains","600000","9.881011009216309"
"strains","610000","10.005010843276978"
"strains","620000","10.138010501861572"
"strains","630000","10.272976636886597"
"strains","640000","10.41201138496399"
"strains","650000","10.547010660171509"
"strains","660000","10.681010961532593"
"strains","670000","10.81101393699646"
"strains","680000","10.945976972579956"
"strains","690000","11.07897663116455"
"strains","700000","11.217010736465454"
"strains","710000","11.368985414505005"
"strains","720000","11.532977104187012"
"strains","730000","11.687016010284424"
"reference","740000","12.430265665054321"
"reference","750000","12.612266778945923"
"reference","760000","12.797265768051147"
"reference","770000","12.979266166687012"
"reference","780000","13.17026662826538"
"reference","790000","13.364266157150269"
"reference","800000","13.553265810012817"
"reference","810000","13.764266729354858"
"reference","820000","13.935266256332397"
"reference","830000","14.101868152618408"
"reference","840000","14.323869943618774"
"culture_ph","850000","16.12863779067993"
"culture_ph","860000","16.25663661956787"
"culture_ph","870000","16.390636205673218"
"culture_ph","880000","16.52763867378235"
"culture_ph","890000","16.663637161254883"
"culture_ph","900000","16.797635316848755"
"culture_ph","910000","16.925671577453613"
"culture_ph","920000","17.05067014694214"
"culture_ph","930000","17.173637628555298"
"culture_ph","940000","17.3026704788208"
"culture_ph","950000","17.426673412322998"
"culture_ph","960000","17.553668975830078"
"culture_ph","970000","17.676634550094604"
"culture_ph","980000","17.800668716430664"
"culture_ph","990000","17.918668746948242"
"culture_ph","1000000","18.04363465309143"
"culture_ph","1010000","18.178638458251953"
"culture_ph","1020000","18.307635068893433"
"culture_ph","1030000","18.43867063522339"
"culture_ph","1040000","18.566638946533203"
"culture_ph","1050000","18.692670583724976"
"culture_ph","1060000","18.8266384601593"
"culture_ph","1070000","18.955637454986572"
"culture_ph","1080000","19.084209442138672"
"culture_ph","1090000","19.218244075775146"
"culture_ph","1100000","19.361210584640503"
"culture_ph","1110000","19.50724458694458"
"culture_ph","1120000","19.65121626853943"
"culture_ph","1130000","19.799210786819458"
"culture_ph","1140000","19.93624472618103"
"culture_ph","1150000","20.07024645805359"
"culture_ph","1160000","20.196245670318604"
"culture_ph","1170000","20.324209451675415"
"culture_ph","1180000","20.453209400177002"
"culture_ph","1190000","20.590242862701416"
"culture_ph","1200000","20.714243412017822"
"culture_ph","1210000","20.84225296974182"
"culture_ph","1220000","20.97620940208435"
"culture_ph","1230000","21.10724401473999"
"culture_ph","1240000","21.235244035720825"
"culture_ph","1250000","21.375244140625"
"culture_ph","1260000","21.520211696624756"
"culture_ph","1270000","21.678213834762573"
"culture_ph","1280000","21.82821249961853"
"culture_ph","1290000","21.96025037765503"
"culture_ph","1300000","22.092243432998657"
"culture_ph","1310000","22.228209257125854"
"culture_ph","1320000","22.36420965194702"
"culture_ph","1330000","22.50225567817688"
"culture_ph","1340000","22.64224410057068"
"culture_ph","1350000","22.77420949935913"
"culture_ph","1360000","22.915209770202637"
"culture_ph","1370000","23.048248052597046"
"culture_ph","1380000","23.177212953567505"
"culture_temp","1390000","23.61120891571045"
"culture_temp","1400000","23.73724389076233"
"culture_temp","1410000","23.866212844848633"
"culture_temp","1420000","23.98678731918335"
"culture_temp","1430000","24.114787101745605"
"culture_temp","1440000","24.24082922935486"
"culture_temp","1450000","24.366788148880005"
"culture_temp","1460000","24.49478793144226"
"culture_temp","1470000","24.62479019165039"
"culture_temp","1480000","24.7527916431427"
"halophily","1490000","25.42167091369629"
"halophily","1500000","25.57566785812378"
"halophily","1510000","25.725667476654053"
"halophily","1520000","25.872702836990356"
"halophily","1530000","26.03267002105713"
"halophily","1540000","26.190667867660522"
"halophily","1550000","26.363670825958252"
"halophily","1560000","26.534668445587158"
"halophily","1570000","26.7106716632843"
"halophily","1580000","26.86966824531555"
"halophily","1590000","27.023700714111328"
"halophily","1600000","27.182669401168823"
"halophily","1610000","27.344669342041016"
"halophily","1620000","27.507667541503906"
"halophily","1630000","27.664672374725342"
"halophily","1640000","27.821667671203613"
"halophily","1650000","27.978668212890625"
"halophily","1660000","28.142670154571533"
"halophily","1670000","28.31566882133484"
"halophily","1680000","28.485705137252808"
"halophily","1690000","28.643668174743652"
"halophily","1700000","28.810667991638184"
"halophily","1710000","28.977420568466187"
"halophily","1720000","29.14242124557495"
"halophily","1730000","29.312421798706055"
"enzymes","1740000","30.013421058654785"
"enzymes","1750000","30.1894211769104"
"enzymes","1760000","30.357420921325684"
"enzymes","1770000","30.534422636032104"
"enzymes","1780000","30.712459802627563"
"enzymes","1790000","30.91245985031128"
"enzymes","1800000","31.107458353042603"
"enzymes","1810000","31.292458534240723"
"enzymes","1820000","31.498459815979004"
"enzymes","1830000","31.708458423614502"
"enzymes","1840000","31.9174587726593"
"enzymes","1850000","32.11045789718628"
"enzymes","1860000","32.316457986831665"
"met_antibiotica","1870000","32.6584587097168"
"met_antibiotica","1880000","32.807459592819214"
"met_production","1890000","34.75004839897156"
"met_production","1900000","34.90004849433899"
"met_production","1910000","35.04306125640869"
"met_production","1920000","35.188047647476196"
"met_production","1930000","35.338048219680786"
"met_production","1940000","35.488083600997925"
"met_production","1950000","35.63504767417908"
"met_production","1960000","35.77005124092102"
"met_production","1970000","35.91105389595032"
"met_production","1980000","36.05004811286926"
"met_production","1990000","36.18304753303528"
"met_production","2000000","36.32767415046692"
"met_production","2010000","36.48568081855774"
"met_production","2020000","36.64368391036987"
"met_production","2030000","36.80368232727051"
"met_production","2040000","36.95568084716797"
"met_production","2050000","37.097684144973755"
"met_production","2060000","37.23068046569824"
"met_production","2070000","37.363680601119995"
"met_production","2080000","37.50171613693237"
"met_production","2090000","37.63268041610718"
"met_production","2100000","37.76368188858032"
"met_production","2110000","37.8966805934906"
"met_production","2120000","38.03268051147461"
"met_production","2130000","38.168681144714355"
"met_production","2140000","38.31271576881409"
"met_production","2150000","38.44968128204346"
"met_production","2160000","38.582680463790894"
"met_production","2170000","38.72068214416504"
"met_production","2180000","38.866716146469116"
"met_production","2190000","39.00590491294861"
"met_production","2200000","39.139939308166504"
"met_production","2210000","39.28145956993103"
"met_production","2220000","39.43045902252197"
"met_production","2230000","39.58045840263367"
"met_production","2240000","39.71345853805542"
"met_production","2250000","39.86949276924133"
"met_production","2260000","40.008458375930786"
"met_production","2270000","40.148459911346436"
"met_production","2280000","40.29045820236206"
"met_production","2290000","40.42245841026306"
"met_production","2300000","40.557461738586426"
"met_production","2310000","40.7014946937561"
"met_production","2320000","40.837459087371826"
"met_production","2330000","40.972458600997925"
"met_production","2340000","41.109496116638184"
"met_production","2350000","41.24549341201782"
"met_production","2360000","41.38945984840393"
"met_production","2370000","41.54345989227295"
"met_production","2380000","41.69945979118347"
"met_production","2390000","41.85245943069458"
"met_production","2400000","41.99345874786377"
"met_production","2410000","42.133461713790894"
"met_production","2420000","42.27445888519287"
"met_production","2430000","42.41345930099487"
"met_production","2440000","42.548460721969604"
"met_production","2450000","42.69145941734314"
"met_production","2460000","42.82945895195007"
"met_production","2470000","42.96445870399475"
"met_production","2480000","43.105459451675415"
"met_production","2490000","43.24545931816101"
"met_production","2500000","43.37945818901062"
"met_production","2510000","43.52545928955078"
"met_production","2520000","43.66246032714844"
"met_production","2530000","43.80445861816406"
"met_production","2540000","43.948458194732666"
"met_production","2550000","44.088037729263306"
"met_production","2560000","44.22703981399536"
"met_production","2570000","44.36903619766235"
"met_production","2580000","44.52103614807129"
"met_production","2590000","44.66003704071045"
"met_production","2600000","44.804035902023315"
"met_production","2610000","44.94303750991821"
"met_production","2620000","45.08405375480652"
"met_production","2630000","45.22603678703308"
"met_production","2640000","45.35703635215759"
"met_production","2650000","45.50004267692566"
"met_production","2660000","45.633036613464355"
"met_production","2670000","45.77303624153137"
"met_production","2680000","45.92003607749939"
"met_production","2690000","46.06307077407837"
"met_production","2700000","46.20303750038147"
"met_production","2710000","46.34504222869873"
"met_production","2720000","46.498072147369385"
"met_production","2730000","46.658039569854736"
"met_production","2740000","46.81803631782532"
"met_production","2750000","46.96103763580322"
"met_production","2760000","47.11503624916077"
"met_production","2770000","47.26103591918945"
"met_production","2780000","47.399046659469604"
"met_production","2790000","47.5360369682312"
"met_production","2800000","47.673035860061646"
"met_production","2810000","47.811036825180054"
"met_production","2820000","47.95603609085083"
"met_production","2830000","48.10103726387024"
"met_production","2840000","48.248037338256836"
"met_production","2850000","48.38903784751892"
"met_production","2860000","48.531038999557495"
"met_production","2870000","48.66403818130493"
"met_production","2880000","48.80503726005554"
"met_production","2890000","48.95003652572632"
"met_production","2900000","49.08760118484497"
"met_production","2910000","49.23160362243652"
"met_production","2920000","49.37663674354553"
"met_production","2930000","49.51560306549072"
"met_production","2940000","49.66160273551941"
"met_production","2950000","49.80160140991211"
"met_production","2960000","49.966601610183716"
"met_production","2970000","50.1106014251709"
"met_production","2980000","50.25760197639465"
"met_production","2990000","50.39960193634033"
"met_production","3000000","50.53860282897949"
"met_production","3010000","50.68260145187378"
"met_production","3020000","50.82160258293152"
"met_production","3030000","50.97360134124756"
"met_production","3040000","51.115638256073"
"met_production","3050000","51.26160430908203"
"met_production","3060000","51.4236044883728"
"met_production","3070000","51.610602378845215"
"met_production","3080000","51.79260206222534"
"met_production","3090000","51.94663977622986"
"met_production","3100000","52.10660195350647"
"met_production","3110000","52.25464367866516"
"met_production","3120000","52.4056396484375"
"met_production","3130000","52.55860161781311"
"met_production","3140000","52.709601402282715"
"met_production","3150000","52.86163806915283"
"met_production","3160000","53.00460147857666"
"met_production","3170000","53.157602071762085"
"met_util","3180000","54.55704665184021"
"met_util","3190000","54.7710497379303"
"met_util","3200000","54.97108173370361"
"met_util","3210000","55.17308259010315"
"met_util","3220000","55.388081312179565"
"met_util","3230000","55.6110475063324"
"met_util","3240000","55.83004927635193"
"met_util","3250000","56.03508162498474"
"met_util","3260000","56.22808241844177"
"met_util","3270000","56.440048933029175"
"met_util","3280000","56.6470468044281"
"met_util","3290000","56.88404893875122"
"met_util","3300000","57.07705020904541"
"met_util","3310000","57.274091958999634"
"met_util","3320000","57.47613072395325"
"met_util","3330000","57.66809034347534"
"met_util","3340000","57.84712505340576"
