"Dataset","Number of the triple","Time"
"cell_morphology","10000","0.5380370616912842"
"cell_morphology","20000","0.6780378818511963"
"cell_morphology","30000","0.8250429630279541"
"cell_morphology","40000","0.9810068607330322"
"cell_morphology","50000","1.1260056495666504"
"cell_morphology","60000","1.2640049457550049"
"cell_morphology","70000","1.4020061492919922"
"cell_morphology","80000","1.5400059223175049"
"cell_morphology","90000","1.6880488395690918"
"strains","100000","4.0512237548828125"
"strains","110000","4.205226898193359"
"strains","120000","4.357224702835083"
"strains","130000","4.511228799819946"
"strains","140000","4.664226293563843"
"strains","150000","4.81822943687439"
"strains","160000","4.9752302169799805"
"strains","170000","5.136231422424316"
"strains","180000","5.288232088088989"
"strains","190000","5.448232173919678"
"strains","200000","5.605233669281006"
"strains","210000","5.760229587554932"
"strains","220000","5.9182305335998535"
"strains","230000","6.073233604431152"
"strains","240000","6.227232456207275"
"strains","250000","6.381234884262085"
"strains","260000","6.541270732879639"
"strains","270000","6.70823335647583"
"strains","280000","6.870234727859497"
"strains","290000","7.0272345542907715"
"strains","300000","7.182823657989502"
"strains","310000","7.337789535522461"
"strains","320000","7.496825456619263"
"strains","330000","7.6548237800598145"
"strains","340000","7.810855865478516"
"strains","350000","7.969824314117432"
"strains","360000","8.134826898574829"
"strains","370000","8.298822402954102"
"strains","380000","8.453825235366821"
"strains","390000","8.616827249526978"
"strains","400000","8.77682638168335"
"strains","410000","8.929828405380249"
"strains","420000","9.117828369140625"
"strains","430000","9.303829193115234"
"strains","440000","9.458830118179321"
"strains","450000","9.626829147338867"
"strains","460000","9.826829195022583"
"strains","470000","10.016830921173096"
"strains","480000","10.213830471038818"
"strains","490000","10.399830102920532"
"strains","500000","10.593833208084106"
"strains","510000","10.774832010269165"
"strains","520000","10.955836534500122"
"strains","530000","11.129835844039917"
"strains","540000","11.31183385848999"
"strains","550000","11.485837936401367"
"strains","560000","11.67283582687378"
"strains","570000","11.855836391448975"
"strains","580000","12.028517484664917"
"strains","590000","12.219295501708984"
"strains","600000","12.390299320220947"
"strains","610000","12.559300661087036"
"strains","620000","12.742302179336548"
"strains","630000","12.925298929214478"
"strains","640000","13.097302675247192"
"strains","650000","13.28335452079773"
"strains","660000","13.454354524612427"
"strains","670000","13.634356021881104"
"strains","680000","13.81435513496399"
"strains","690000","13.992371559143066"
"strains","700000","14.165369749069214"
"strains","710000","14.33840274810791"
"strains","720000","14.511372327804565"
"strains","730000","14.678370714187622"
"strains","740000","14.850407361984253"
"strains","750000","15.021371603012085"
"strains","760000","15.194409608840942"
"strains","770000","15.364376783370972"
"strains","780000","15.530377864837646"
"strains","790000","15.688377857208252"
"strains","800000","15.849379539489746"
"strains","810000","16.00437903404236"
"strains","820000","16.17137908935547"
"strains","830000","16.337377071380615"
"strains","840000","16.50938057899475"
"strains","850000","16.686382293701172"
"strains","860000","16.870382070541382"
"strains","870000","17.052382946014404"
"strains","880000","17.22907018661499"
"strains","890000","17.405035972595215"
"strains","900000","17.584036350250244"
"strains","910000","17.74607229232788"
"strains","920000","17.91603994369507"
"strains","930000","18.087046146392822"
"strains","940000","18.28204107284546"
"strains","950000","18.457042932510376"
"strains","960000","18.638043642044067"
"strains","970000","18.815041303634644"
"strains","980000","18.992079496383667"
"strains","990000","19.170042753219604"
"strains","1000000","19.343047618865967"
"strains","1010000","19.520046949386597"
"strains","1020000","19.693047285079956"
"strains","1030000","19.8710458278656"
"strains","1040000","20.04704761505127"
"strains","1050000","20.222046613693237"
"strains","1060000","20.41308307647705"
"strains","1070000","20.601050853729248"
"strains","1080000","20.781052112579346"
"strains","1090000","20.955049991607666"
"strains","1100000","21.139050245285034"
"strains","1110000","21.30608344078064"
"strains","1120000","21.479719877243042"
"reference","1130000","23.50541639328003"
"reference","1140000","23.71945023536682"
"reference","1150000","23.95741558074951"
"reference","1160000","24.180415153503418"
"reference","1170000","24.404417991638184"
"reference","1180000","24.625454425811768"
"reference","1190000","24.847421884536743"
"reference","1200000","25.080422401428223"
"reference","1210000","25.30945634841919"
"reference","1220000","25.533456087112427"
"reference","1230000","25.768458604812622"
"reference","1240000","25.988423109054565"
"reference","1250000","26.223426818847656"
"reference","1260000","26.464425325393677"
"reference","1270000","26.69442892074585"
"reference","1280000","26.95843005180359"
"reference","1290000","27.162031173706055"
"reference","1300000","27.386034727096558"
"reference","1310000","27.57203698158264"
"reference","1320000","27.782037496566772"
"reference","1330000","27.983038187026978"
"reference","1340000","28.168038606643677"
"reference","1350000","28.340036153793335"
"reference","1360000","28.515039682388306"
"reference","1370000","28.689037322998047"
"reference","1380000","28.88404083251953"
"reference","1390000","29.11705255508423"
"reference","1400000","29.335052728652954"
"reference","1410000","29.564054012298584"
"reference","1420000","29.811054944992065"
"reference","1430000","30.044052839279175"
"reference","1440000","30.271090030670166"
"reference","1450000","30.51012921333313"
"reference","1460000","30.675142765045166"
"reference","1470000","30.89311122894287"
"reference","1480000","31.10910940170288"
"reference","1490000","31.343125820159912"
"reference","1500000","31.575127124786377"
"reference","1510000","31.80816102027893"
"reference","1520000","32.03812789916992"
"reference","1530000","32.26677131652832"
"reference","1540000","32.490737199783325"
"reference","1550000","32.716737031936646"
"reference","1560000","32.94577217102051"
"reference","1570000","33.173919677734375"
"reference","1580000","33.40097737312317"
"reference","1590000","33.62298083305359"
"reference","1600000","33.856979846954346"
"reference","1610000","34.08998107910156"
"colony_morphology","1620000","34.845980644226074"
"colony_morphology","1630000","35.03598213195801"
"colony_morphology","1640000","35.21498203277588"
"colony_morphology","1650000","35.41098117828369"
"colony_morphology","1660000","35.5989875793457"
"colony_morphology","1670000","35.799986839294434"
"colony_morphology","1680000","35.997023582458496"
"colony_morphology","1690000","36.1819851398468"
"colony_morphology","1700000","36.36399793624878"
"colony_morphology","1710000","36.564000606536865"
"colony_morphology","1720000","36.735997915267944"
"colony_morphology","1730000","36.90200972557068"
"colony_morphology","1740000","37.11961507797241"
"culture_temp","1750000","39.23865103721619"
"culture_temp","1760000","39.3726544380188"
"culture_temp","1770000","39.51461863517761"
"culture_temp","1780000","39.65261912345886"
"culture_temp","1790000","39.78865575790405"
"culture_temp","1800000","39.93265461921692"
"culture_temp","1810000","40.0716552734375"
"culture_temp","1820000","40.20762372016907"
"culture_temp","1830000","40.350656032562256"
"culture_temp","1840000","40.48962378501892"
"culture_temp","1850000","40.623621463775635"
"culture_temp","1860000","40.75862503051758"
"culture_temp","1870000","40.90465545654297"
"culture_temp","1880000","41.04470205307007"
"culture_temp","1890000","41.18067121505737"
"culture_temp","1900000","41.32068228721619"
"culture_temp","1910000","41.463683128356934"
"culture_temp","1920000","41.593688011169434"
"culture_temp","1930000","41.72877240180969"
"culture_temp","1940000","41.87373447418213"
"culture_temp","1950000","42.01573395729065"
"culture_temp","1960000","42.155415058135986"
"culture_temp","1970000","42.291419982910156"
"culture_temp","1980000","42.423415660858154"
"culture_temp","1990000","42.56441593170166"
"culture_temp","2000000","42.701417207717896"
"culture_temp","2010000","42.83342099189758"
"culture_temp","2020000","42.98341727256775"
"culture_temp","2030000","43.12641787528992"
"culture_temp","2040000","43.27241826057434"
"culture_temp","2050000","43.425418853759766"
"culture_temp","2060000","43.574419260025024"
"culture_temp","2070000","43.712453842163086"
"culture_temp","2080000","43.852423667907715"
"culture_temp","2090000","43.992438316345215"
"culture_temp","2100000","44.13047170639038"
"culture_temp","2110000","44.27243494987488"
"culture_temp","2120000","44.41043448448181"
"culture_temp","2130000","44.54643654823303"
"culture_temp","2140000","44.68143677711487"
"culture_temp","2150000","44.82547378540039"
"culture_temp","2160000","44.958439111709595"
"culture_temp","2170000","45.092440605163574"
"culture_temp","2180000","45.23444151878357"
"culture_temp","2190000","45.373438596725464"
"culture_temp","2200000","45.51347374916077"
"culture_temp","2210000","45.65947341918945"
"culture_temp","2220000","45.801443099975586"
"culture_temp","2230000","45.95047736167908"
"culture_temp","2240000","46.087443351745605"
"culture_temp","2250000","46.2274444103241"
"culture_temp","2260000","46.3744580745697"
"culture_temp","2270000","46.51545858383179"
"culture_temp","2280000","46.64553737640381"
"culture_temp","2290000","46.789535999298096"
"culture_temp","2300000","46.93053865432739"
"culture_temp","2310000","47.0685019493103"
"culture_temp","2320000","47.21012043952942"
"culture_temp","2330000","47.3501181602478"
"culture_temp","2340000","47.48712110519409"
"culture_temp","2350000","47.62411975860596"
"culture_temp","2360000","47.76613712310791"
"culture_temp","2370000","47.90618419647217"
"halophily","2380000","48.40915298461914"
"halophily","2390000","48.56115221977234"
"halophily","2400000","48.71920084953308"
"halophily","2410000","48.86519646644592"
"halophily","2420000","49.01223015785217"
"halophily","2430000","49.158198595047"
"halophily","2440000","49.301202058792114"
"halophily","2450000","49.453203439712524"
"halophily","2460000","49.60320258140564"
"halophily","2470000","49.760199546813965"
"halophily","2480000","49.90023231506348"
"enzymes","2490000","50.75920128822327"
"enzymes","2500000","50.91320586204529"
"enzymes","2510000","51.06722068786621"
"enzymes","2520000","51.22822046279907"
"enzymes","2530000","51.3872504234314"
"enzymes","2540000","51.54821753501892"
"enzymes","2550000","51.69922089576721"
"enzymes","2560000","51.863218784332275"
"enzymes","2570000","52.031219720840454"
"enzymes","2580000","52.19387888908386"
"enzymes","2590000","52.3609139919281"
"enzymes","2600000","52.52188324928284"
"enzymes","2610000","52.678914308547974"
"enzymes","2620000","52.83988070487976"
"enzymes","2630000","53.00188207626343"
"enzymes","2640000","53.159881830215454"
"enzymes","2650000","53.32188391685486"
"enzymes","2660000","53.49088644981384"
"enzymes","2670000","53.66292428970337"
"enzymes","2680000","53.82488703727722"
"enzymes","2690000","53.98291993141174"
"enzymes","2700000","54.14488482475281"
"enzymes","2710000","54.30988836288452"
"enzymes","2720000","54.469895124435425"
"enzymes","2730000","54.63590049743652"
"enzymes","2740000","54.798943758010864"
"enzymes","2750000","54.95991373062134"
"enzymes","2760000","55.12194609642029"
"enzymes","2770000","55.27794671058655"
"enzymes","2780000","55.4399139881134"
"enzymes","2790000","55.6029634475708"
"enzymes","2800000","55.77096343040466"
"enzymes","2810000","55.93696069717407"
"enzymes","2820000","56.10496377944946"
"enzymes","2830000","56.272960901260376"
"met_antibiotica","2840000","56.99699807167053"
"met_antibiotica","2850000","57.179622650146484"
"met_antibiotica","2860000","57.35562014579773"
"met_antibiotica","2870000","57.52962303161621"
"met_antibiotica","2880000","57.70662450790405"
"met_antibiotica","2890000","57.905688762664795"
"met_antibiotica","2900000","58.10868859291077"
"met_antibiotica","2910000","58.29568600654602"
"met_antibiotica","2920000","58.47972345352173"
"met_antibiotica","2930000","58.66769051551819"
"met_antibiotica","2940000","58.857723236083984"
"met_antibiotica","2950000","59.05568981170654"
"met_antibiotica","2960000","59.2566921710968"
"met_antibiotica","2970000","59.46074032783508"
"met_production","2980000","59.8617730140686"
"met_production","2990000","60.023786544799805"
"met_production","3000000","60.176785945892334"
"met_util","3010000","62.32243466377258"
"met_util","3020000","62.46440052986145"
"met_util","3030000","62.613401651382446"
"met_util","3040000","62.764434576034546"
"met_util","3050000","62.912524700164795"
"met_util","3060000","63.062490940093994"
"met_util","3070000","63.21949076652527"
"met_util","3080000","63.36749005317688"
"met_util","3090000","63.522526264190674"
"met_util","3100000","63.66649127006531"
"met_util","3110000","63.80549144744873"
"met_util","3120000","63.94852805137634"
"met_util","3130000","64.08452796936035"
"met_util","3140000","64.22951221466064"
"met_util","3150000","64.36854386329651"
"met_util","3160000","64.50750970840454"
"met_util","3170000","64.6465482711792"
"met_util","3180000","64.78851342201233"
"met_util","3190000","64.93251371383667"
"met_util","3200000","65.07451462745667"
"met_util","3210000","65.22451210021973"
"met_util","3220000","65.37151527404785"
"met_util","3230000","65.51351308822632"
"met_util","3240000","65.6565191745758"
"met_util","3250000","65.80154800415039"
"met_util","3260000","65.94351363182068"
"met_util","3270000","66.08451700210571"
"met_util","3280000","66.22454905509949"
"met_util","3290000","66.36754703521729"
"met_util","3300000","66.50755071640015"
"met_util","3310000","66.65351819992065"
"met_util","3320000","66.7955470085144"
"met_util","3330000","66.93455410003662"
"met_util","3340000","67.0805549621582"
"met_util","3350000","67.23121047019958"
"met_util","3360000","67.38017725944519"
"met_util","3370000","67.5292112827301"
"met_util","3380000","67.67720699310303"
"met_util","3390000","67.82221484184265"
"met_util","3400000","67.97321653366089"
"met_util","3410000","68.12025356292725"
"met_util","3420000","68.26726055145264"
"met_util","3430000","68.4212715625763"
"met_util","3440000","68.60632920265198"
"met_util","3450000","68.75733232498169"
"met_util","3460000","68.90037679672241"
"met_util","3470000","69.0453794002533"
"met_util","3480000","69.19334483146667"
"met_util","3490000","69.34134578704834"
"met_util","3500000","69.4833459854126"
"met_util","3510000","69.64234685897827"
"met_util","3520000","69.79634428024292"
"met_util","3530000","69.9593436717987"
"met_util","3540000","70.11834573745728"
"met_util","3550000","70.28134846687317"
"met_util","3560000","70.42838048934937"
"met_util","3570000","70.57534694671631"
"met_util","3580000","70.72138381004333"
"met_util","3590000","70.86335015296936"
"met_util","3600000","71.00738310813904"
"met_util","3610000","71.15338492393494"
"met_util","3620000","71.30238151550293"
"met_util","3630000","71.44435238838196"
"met_util","3640000","71.59035181999207"
"met_util","3650000","71.73335194587708"
"met_util","3660000","71.87638282775879"
"met_util","3670000","72.01535177230835"
"met_util","3680000","72.15199589729309"
"met_util","3690000","72.30299615859985"
"met_util","3700000","72.45000886917114"
"met_util","3710000","72.59501910209656"
"met_util","3720000","72.73901867866516"
"met_util","3730000","72.88802194595337"
"met_util","3740000","73.0350239276886"
"met_util","3750000","73.18802070617676"
"met_util","3760000","73.32205414772034"
"met_util","3770000","73.46802496910095"
"met_util","3780000","73.62758564949036"
"met_util","3790000","73.78462362289429"
"met_util","3800000","73.93158745765686"
"met_util","3810000","74.07858514785767"
"met_util","3820000","74.22758555412292"
"met_util","3830000","74.37358808517456"
"met_util","3840000","74.52461910247803"
"met_util","3850000","74.66358923912048"
"met_util","3860000","74.81262731552124"
"met_util","3870000","74.95158743858337"
"met_util","3880000","75.1205894947052"
"met_util","3890000","75.26558995246887"
"met_util","3900000","75.40958738327026"
"met_util","3910000","75.5556092262268"
"met_util","3920000","75.70159387588501"
"met_util","3930000","75.846595287323"
"met_util","3940000","75.99559283256531"
