ID_annotation_event,approved,ID_approval_user,ID_annotation_user,Created,Last_Changed
1,0,,4,2013-06-13 15:54:46,2013-06-13 15:54:46
2,0,,4,2013-06-13 16:03:15,2013-06-13 16:03:15
3,0,,4,2013-06-13 16:03:23,2013-06-13 16:03:23
4,0,,4,2013-06-13 16:05:09,2013-06-13 16:05:09
5,0,,4,2013-06-13 16:09:46,2013-06-13 16:09:46
6,0,,4,2013-06-13 16:10:19,2013-06-13 16:10:19
7,0,,4,2013-06-13 16:10:20,2013-06-13 16:10:20
8,0,,4,2013-06-13 16:10:21,2013-06-13 16:10:21
9,0,,4,2013-06-13 16:11:43,2013-06-13 16:11:43
10,0,,4,2013-06-13 16:11:44,2013-06-13 16:11:44
11,0,,4,2013-06-13 16:11:44,2013-06-13 16:11:44
12,0,,4,2013-06-13 16:11:45,2013-06-13 16:11:45
13,0,,4,2013-06-13 16:26:57,2013-06-13 16:26:57
14,0,,4,2013-06-13 16:37:44,2013-06-13 16:37:44
15,0,,4,2013-06-13 16:38:47,2013-06-13 16:38:47
16,0,,4,2013-06-13 16:40:08,2013-06-13 16:40:08
17,0,,4,2013-06-13 16:43:52,2013-06-13 16:43:52
18,0,,4,2013-06-13 17:23:34,2013-06-13 17:23:34
19,0,,4,2013-06-13 17:33:28,2013-06-13 17:33:28
20,0,,4,2013-06-13 17:38:45,2013-06-13 17:38:45
21,0,,4,2013-06-13 17:43:53,2013-06-13 17:43:53
22,0,,4,2013-06-13 17:48:47,2013-06-13 17:48:47
23,0,,4,2013-06-13 17:53:25,2013-06-13 17:53:25
24,0,,4,2013-06-13 17:53:48,2013-06-13 17:53:48
25,0,,4,2013-06-13 17:56:58,2013-06-13 17:56:58
26,0,,4,2013-06-13 17:57:01,2013-06-13 17:57:01
27,0,,4,2013-06-13 17:57:02,2013-06-13 17:57:02
28,0,,4,2013-06-13 17:57:02,2013-06-13 17:57:02
29,0,,4,2013-06-13 17:57:02,2013-06-13 17:57:02
30,0,,4,2013-06-13 17:57:03,2013-06-13 17:57:03
31,0,,4,2013-06-13 17:59:23,2013-06-13 17:59:23
32,0,,4,2013-06-13 17:59:24,2013-06-13 17:59:24
33,0,,4,2013-06-13 17:59:24,2013-06-13 17:59:24
34,0,,4,2013-06-13 17:59:24,2013-06-13 17:59:24
35,0,,4,2013-06-13 18:01:34,2013-06-13 18:01:34
36,0,,4,2013-06-13 18:01:34,2013-06-13 18:01:34
37,0,,4,2013-06-13 18:01:34,2013-06-13 18:01:34
38,0,,4,2013-06-13 18:01:35,2013-06-13 18:01:35
39,0,,4,2013-06-13 18:01:35,2013-06-13 18:01:35
40,0,,4,2013-06-13 18:08:16,2013-06-13 18:08:16
41,0,,4,2013-06-13 18:08:17,2013-06-13 18:08:17
42,0,,4,2013-06-13 18:08:17,2013-06-13 18:08:17
43,0,,4,2013-06-13 18:12:11,2013-06-13 18:12:11
44,0,,4,2013-06-13 18:17:23,2013-06-13 18:17:23
45,0,,4,2013-06-13 18:24:52,2013-06-13 18:24:52
46,0,,4,2013-06-13 18:28:13,2013-06-13 18:28:13
47,0,,4,2013-06-13 18:34:14,2013-06-13 18:34:14
48,0,,5,2013-06-14 15:21:12,2013-06-14 15:21:12
49,0,,5,2013-06-14 15:21:22,2013-06-14 15:21:22
50,0,,5,2013-06-14 15:23:40,2013-06-14 15:23:40
51,0,,5,2013-06-14 15:23:49,2013-06-14 15:23:49
52,0,,5,2013-06-14 15:25:52,2013-06-14 15:25:52
53,0,,5,2013-06-14 15:28:54,2013-06-14 15:28:54
54,0,,5,2013-06-14 15:38:28,2013-06-14 15:38:28
55,0,,5,2013-06-14 16:15:07,2013-06-14 16:15:07
56,0,,5,2013-06-14 16:28:35,2013-06-14 16:28:35
57,0,,5,2013-06-14 17:12:19,2013-06-14 17:12:19
58,0,,5,2013-06-14 17:24:16,2013-06-14 17:24:16
59,0,,5,2013-06-14 17:31:45,2013-06-14 17:31:45
60,0,,5,2013-06-14 17:37:27,2013-06-14 17:37:27
61,0,,5,2013-06-14 17:45:37,2013-06-14 17:45:37
62,0,,5,2013-06-14 17:53:05,2013-06-14 17:53:05
63,0,,5,2013-06-14 17:59:28,2013-06-14 17:59:28
64,0,,5,2013-06-14 18:05:25,2013-06-14 18:05:25
65,0,,5,2013-06-14 18:13:17,2013-06-14 18:13:17
66,0,,5,2013-06-14 18:19:32,2013-06-14 18:19:32
67,0,,5,2013-06-17 10:20:09,2013-06-17 10:20:09
68,0,,5,2013-06-17 10:26:14,2013-06-17 10:26:14
69,0,,5,2013-06-17 10:32:19,2013-06-17 10:32:19
70,0,,5,2013-06-17 10:38:36,2013-06-17 10:38:36
71,0,,5,2013-06-17 10:45:45,2013-06-17 10:45:45
72,0,,5,2013-06-17 10:49:37,2013-06-17 10:49:37
73,0,,5,2013-06-17 11:07:35,2013-06-17 11:07:35
74,0,,5,2013-06-17 11:14:55,2013-06-17 11:14:55
75,0,,5,2013-06-17 11:20:12,2013-06-17 11:20:12
76,0,,5,2013-06-17 11:20:39,2013-06-17 11:20:39
77,0,,5,2013-06-17 11:27:36,2013-06-17 11:27:36
78,0,,5,2013-06-17 11:37:18,2013-06-17 11:37:18
79,0,,5,2013-06-17 11:44:06,2013-06-17 11:44:06
80,0,,5,2013-06-17 11:48:36,2013-06-17 11:48:36
81,0,,5,2013-06-17 11:52:31,2013-06-17 11:52:31
82,0,,5,2013-06-17 11:58:21,2013-06-17 11:58:21
83,0,,5,2013-06-17 12:07:00,2013-06-17 12:07:00
84,0,,5,2013-06-17 12:15:34,2013-06-17 12:15:34
85,0,,5,2013-06-17 12:20:22,2013-06-17 12:20:22
86,0,,5,2013-06-17 12:31:58,2013-06-17 12:31:58
87,0,,5,2013-06-17 13:02:28,2013-06-17 13:02:28
88,0,,5,2013-06-17 13:15:00,2013-06-17 13:15:00
89,0,,5,2013-06-17 13:22:13,2013-06-17 13:22:13
90,0,,5,2013-06-17 13:24:20,2013-06-17 13:24:20
91,0,,5,2013-06-17 13:35:48,2013-06-17 13:35:48
92,0,,5,2013-06-17 13:42:54,2013-06-17 13:42:54
93,0,,5,2013-06-17 13:47:17,2013-06-17 13:47:17
94,0,,5,2013-06-17 13:53:01,2013-06-17 13:53:01
95,0,,5,2013-06-17 14:02:33,2013-06-17 14:02:33
