ID_colony_morphology,medium_name,medium_composition,colony_len,rgStart_len,rgEnd_len,colony_len_unit,colony_width,rgStart_wid,rgEnd_wid,colony_width_unit,colony_shape,colony_color,incubation_period,rgStart,rgEnd,hemolysis_type,hemolysis_ability,ID_strains,ID_reference,manual_annotation,last_change
2,,,,,,,,,,,,,1-2 days,1.0,2.0,,,45,17491,1,2016-10-11 09:36:20
3,,,,,,,,,,,,,2-3 days,2.0,3.0,,,78,18067,1,2016-10-11 09:36:41
4,,,,,,,,,,,,,1-2 days,1.0,2.0,,,97,16683,1,2016-10-11 09:36:20
5,,,,,,,,,,,,,2-3 days,2.0,3.0,,,109,8142,1,2016-10-11 09:36:41
6,,,,,,,,,,,,,3-7 days,3.0,7.0,,,111,300,1,2016-10-11 09:37:12
7,,,,,,,,,,,,,3-7 days,3.0,7.0,,,112,301,1,2016-10-11 09:37:12
8,,,,,,,,,,,,,3-7 days,3.0,7.0,,,113,302,1,2016-10-11 09:37:12
9,,,,,,,,,,,,,3-7 days,3.0,7.0,,,114,671,1,2016-10-11 09:37:12
10,,,,,,,,,,,,,3-7 days,3.0,7.0,,,115,3582,1,2016-10-11 09:37:12
11,,,,,,,,,,,,,3-7 days,3.0,7.0,,,116,3583,1,2016-10-11 09:37:12
12,,,,,,,,,,,,,3-7 days,3.0,7.0,,,117,4380,1,2016-10-11 09:37:12
13,,,,,,,,,,,,,3-7 days,3.0,7.0,,,118,5597,1,2016-10-11 09:37:12
14,,,,,,,,,,,,,3-7 days,3.0,7.0,,,119,6950,1,2016-10-11 09:37:12
15,,,,,,,,,,,,,3-7 days,3.0,7.0,,,120,17673,1,2016-10-11 09:37:12
16,,,,,,,,,,,,,3-7 days,3.0,7.0,,,125,5601,1,2016-10-11 09:37:12
17,,,,,,,,,,,,,2-3 days,2.0,3.0,,,126,3313,1,2016-10-11 09:36:41
18,,,,,,,,,,,,,2-3 days,2.0,3.0,,,127,3584,1,2016-10-11 09:36:41
19,,,,,,,,,,,,,3-7 days,3.0,7.0,,,129,16496,1,2016-10-11 09:37:12
20,,,,,,,,,,,,,3-7 days,3.0,7.0,,,130,17672,1,2016-10-11 09:37:12
21,,,,,,,,,,,,,3-7 days,3.0,7.0,,,131,4255,1,2016-10-11 09:37:12
22,,,,,,,,,,,,,3-7 days,3.0,7.0,,,132,7394,1,2016-10-11 09:37:12
23,,,,,,mm,,,,mm,"circular, highly cohesive",beige,,,,,,132,21411,1,2016-06-24 08:59:10
