field_id,source_table,Structured_comment_name,Package_item,Title_advsearch,Help_Text,Requirement,Expected_value,Value_syntax,Occurrence,Position,Position_advsearch,Section,Visible,searchable,searchable_any,Exportable,API_reachable,filled,Comment,last_change
9,,phylogeny_reference,Phylogeny information or comparison reference ,Phylogeny information or comparison reference ,literature reference with a analysis of the phylogenetic position of the bacterium and/or phylogenetic tree.,X,"PMID,DOI,url or free text",{PMID|DOI|URL},m,,,taxonomy_name,1,0,0,0.0,0.0,0.0,,2017-10-18 13:36:21
25,,enzyme_is_active,Active enzyme,Active enzyme,"Enzymes that where confirmed to be aktive, e.g. oxidase.  ",X,enzyme name or EC number: true or false,{text}:{boolean},m,,,morphology_physiology,1,0,0,0.0,0.0,0.0,Maybe controlled vocabulary should be taken here like BRENDA etc.,2017-10-18 13:37:04
26,,catalase_test,Catalase test,Catalase test,Result of catalase test.,X,true or false,{boolean},1,,,morphology_physiology,1,0,0,0.0,0.0,0.0,,2017-10-18 13:37:04
29,,cell_wall_fa,Cell wall fatty acid,Cell wall fatty acid,Component of cell wall: fatty acidsChemotaxonomy marker,X,compound name,{text},m,,,morphology_physiology,1,0,0,0.0,0.0,0.0,Controlled vocabulary is feasible here (ChEBI etc.). Use GEBAtab Excel Tabele -> by B. Abt; M. Göker; J. Sikorsky,2017-10-18 13:37:04
38,,enzyme_activity,Enzyme activity,Enzyme activity,"Activity values for enzymes that where confirmed to be aktive,",X,enzyme name or EC number: measurement value unit,{text}:{float} {unit},m,,,morphology_physiology,1,0,0,0.0,0.0,0.0,Maybe controlled vocabulary should be taken here like BRENDA etc.,2017-10-18 13:37:04
39,,is_exoenzyme,Exoenzyme,Exoenzyme,If enzyme is an exoenzyme,X,enzyme name or EC number: true or false,{text}:{boolean},m,,,morphology_physiology,1,0,0,0.0,0.0,0.0,Maybe controlled vocabulary should be taken here like BRENDA etc.,2017-10-18 13:37:04
40,,fatty_acids,Fatty acid composition,Fatty acid composition,"chain type and values in percentage of total fatty acids, e.g. 'Hydroxy acid C16:0 3-OH:6.25%",X,name: measurement value percentage,{name}:{float},m,,,morphology_physiology,1,0,0,0.0,0.0,0.0,Maybe more bio-(chemical) ontologies needed to be included so that only controlled vocabulary is allowed.,2017-10-18 13:37:04
47,,oxidase_test,Oxidase test,Oxidase test,Result of oxidase test.,X,true or false,{boolean},1,,,morphology_physiology,1,0,0,0.0,0.0,0.0,,2017-10-18 13:37:04
48,pigmentation,pigment_color,Pigmentation color,Pigmentation color,Color of pigmentation.,X,color,{text},m,215.0,215.0,morphology_physiology,1,0,0,0.0,1.0,1.0,,2017-10-18 13:37:04
49,,quinone,Quinone,Quinone,Distinct quinones which are integral part of cell wall.Chemotaxonomy marker,X,compound name,{text},m,,,morphology_physiology,1,0,0,0.0,0.0,0.0,Controlled vocabulary is feasible here. Use GEBAtab Excel Tabele -> by B. Abt; M. Göker; J. Sikorsky,2017-10-18 13:37:04
50,spore_formation,description,Spore description,Spore description,Further description.,X,description,{text},m,217.0,217.0,morphology_physiology,1,0,1,0.0,1.0,1.0,Description is optional.,2017-10-18 13:37:04
903,culture_medium,medium_composition,Culture medium composition,Culture medium composition,Components of the culture medium and recipe,X,"PMID,DOI,url or free text",{PMID|DOI|URL|text},m,3.0,3.0,culture_growth_condition,1,1,1,1.0,1.0,1.0,,2017-10-18 13:37:51
904,culture_temp,ID_culture_temp,ID_culture_temp,ID_culture_temp,,1,identification number,{integer},1,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
902,culture_medium,medium_name,Culture medium,Culture medium,Name of the culture medium,X,medium name,{text},m,1.0,1.0,culture_growth_condition,1,1,1,1.0,1.0,1.0,,2017-10-18 13:37:51
255,spore_formation,ID_spore_formation,ID_spore_formation,ID_spore_formation,,1,identification number,{integer},,,,data administration,0,0,0,0.0,0.0,1.0,ID for internal use,2016-09-30 11:22:46
253,spore_formation,type,Type of spore,Type of spore,Type of spore,X,enumeration,[spore|arthrospore|endospore|myxospore|zoospore|exospore (microbial cyst)],m,218.0,218.0,morphology_physiology,1,0,0,0.0,1.0,1.0,,2017-10-18 13:37:04
