ID_kit_api_20E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,ID_strains,ID_reference,manual_annotation,created_20E,modify_in_pgsql_20E,ID_tbl_api_20E,last_change
1,,,,,,,,,,,,,,,,,-,+,-,,,,,,,,,6338,2090,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
2,+,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,2352,18304,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
3,-,,,-,-,-,+,,-,+,-,,,,,,,,,,,,,,,,,7339,18306,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
4,+,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,7325,18353,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
5,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,14039,18355,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
6,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,11056,18356,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
7,+,+,-,-,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,12625,18357,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
8,-,-,-,-,+,-,-,-,-,-,-,,,,,,,,,,,,,,,,,12612,18358,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
9,-,-,-,-,+,-,-,-,-,+,-,,,,,,,,,,,,,,,,,11108,18359,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
10,-,-,-,-,-,-,-,-,-,+,+,,,,,,,,,,,,,,,,,7582,18370,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
11,-,-,-,-,-,-,-,-,-,+,-,,,,,,,,,,,,,,,,,7673,18415,1,2016-03-30 09:10:06,2016-03-30 09:10:06,,2016-03-22 14:45:37
