ID_kit_api_CAM,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_CAM,modify_in_pgsql_CAM,ID_tbl_api_CAM,last_change
2051,-,+,+,+,-,+,-,-,-,+,-,-,+/-,-,-,-,-,-,-,-,+,132840,24628,1,2018-02-01 00:00:00,2018-02-02 10:35:03,271.0,2019-11-20 07:22:48
2050,-,+,+,+,-,+,-,-,-,+,-,+,+,-,+,-,-,+,-,-,+,2121,1683,1,2018-01-18 00:00:00,2018-01-19 10:05:03,270.0,2019-11-20 07:22:48
2049,-,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,130893,22813,1,2017-11-30 00:00:00,2017-12-04 10:25:03,269.0,2019-11-20 07:22:48
2048,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,130897,22817,1,2017-11-30 00:00:00,2017-12-01 09:20:04,268.0,2019-11-20 07:22:48
2047,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,24099,20491,1,2017-11-10 00:00:00,2017-11-21 09:05:03,267.0,2019-11-20 07:22:48
2046,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6102,15441,1,2017-11-09 00:00:00,2017-11-21 08:50:03,266.0,2019-11-20 07:22:48
2045,-,+,-,+,-,+/-,-,-,-,+/-,-,+/-,+,+,-,-,-,-,-,-,+,140238,42845,1,2016-02-18 00:00:00,2017-09-22 09:40:03,265.0,2019-11-20 07:22:48
2044,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+/-,-,-,+,140076,42683,1,2017-08-31 00:00:00,2017-09-18 15:30:03,264.0,2019-11-20 07:22:48
2043,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157655,64224,1,2017-07-14 00:00:00,2017-09-11 11:10:04,263.0,2019-11-20 07:22:48
2042,+,-,-,-,+,+/-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157654,64223,1,2017-07-14 00:00:00,2017-09-11 11:10:04,262.0,2019-11-20 07:22:48
2041,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157653,64222,1,2017-07-07 00:00:00,2017-09-11 11:10:04,261.0,2019-11-20 07:22:48
2040,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157652,64221,1,2017-07-04 00:00:00,2017-09-11 11:10:04,260.0,2019-11-20 07:22:48
2039,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157651,64220,1,2017-07-05 00:00:00,2017-09-11 11:10:04,259.0,2019-11-20 07:22:48
2038,+,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+/-,-,+,157649,64218,1,2017-06-15 00:00:00,2017-09-11 11:05:03,257.0,2019-11-20 07:22:48
2037,+,+,-,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,157648,64217,1,2017-06-16 00:00:00,2017-09-11 11:00:04,256.0,2019-11-20 07:22:48
2036,+,-,+/-,+/-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,157647,64216,1,2017-06-20 00:00:00,2017-09-11 11:00:04,255.0,2019-11-20 07:22:48
2035,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,157646,64215,1,2017-06-03 00:00:00,2017-09-11 10:55:03,254.0,2019-11-20 07:22:48
2034,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157644,64213,1,2017-06-03 00:00:00,2017-09-11 10:50:04,253.0,2019-11-20 07:22:48
2033,+,-,-,-,+,+/-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157643,64212,1,2017-06-03 00:00:00,2017-09-11 10:50:04,252.0,2019-11-20 07:22:48
2032,+,-,-,-,+,+/-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157642,64211,1,2017-06-03 00:00:00,2017-09-11 10:50:04,251.0,2019-11-20 07:22:48
2031,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157641,64210,1,2017-06-03 00:00:00,2017-09-11 10:50:04,250.0,2019-11-20 07:22:48
2030,+,-,-,-,+,+/-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157640,64209,1,2017-06-15 00:00:00,2017-09-11 10:50:03,249.0,2019-11-20 07:22:48
2029,-,+,+,+,-,+,-,-,-,+,-,-,+,-,-,-,+/-,-,-,-,+,132840,24628,1,2017-08-31 00:00:00,2017-09-01 09:30:03,248.0,2019-11-20 07:22:48
2028,-,+,+,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,-,-,+,2095,3106,1,2017-06-22 00:00:00,2017-06-26 09:15:02,247.0,2019-11-20 07:22:48
2027,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,2134,7718,1,2017-05-17 00:00:00,2017-05-19 12:10:03,245.0,2019-11-20 07:22:48
