2022-06-21 14:13:54 WARNING line break problem , table_name:strains , col_name:full_scientific_name
2022-06-21 14:13:54 WARNING line break problem , table_name:strains , col_name:strain_number
2022-06-21 14:13:58 WARNING line break problem , table_name:reference , col_name:URL
2022-06-21 14:13:59 WARNING line break problem , table_name:colony_morphology , col_name:medium_name
2022-06-21 14:13:59 WARNING line break problem , table_name:colony_morphology , col_name:medium_composition
2022-06-21 14:13:59 WARNING line break problem , table_name:colony_morphology , col_name:colony_color
2022-06-21 14:14:03 WARNING line break problem , table_name:origin , col_name:geo_loc_name
2022-06-21 14:14:04 WARNING line break problem , table_name:origin , col_name:sample_type
2022-06-21 14:14:04 WARNING line break problem , table_name:origin , col_name:enrichment_cult_name
2022-06-21 14:14:04 WARNING line break problem , table_name:origin , col_name:enrichment_cult_composition
2022-06-21 14:14:04 WARNING line break problem , table_name:origin , col_name:procedure_origin
2022-06-21 14:14:07 WARNING line break problem , table_name:culture_medium , col_name:medium_name
2022-06-21 14:14:08 WARNING line break problem , table_name:culture_medium , col_name:medium_composition
2022-06-21 14:14:15 WARNING line break problem , table_name:strain_history , col_name:history
2022-06-21 14:14:17 WARNING line break problem , table_name:strain_synonyms , col_name:strain_synonym
2022-06-21 14:14:28 WARNING line break problem , table_name:sequence , col_name:DB_sequence
2022-06-21 14:14:34 WARNING line break problem , table_name:culture_condition , col_name:medium_name
2022-06-21 14:14:34 WARNING line break problem , table_name:culture_condition , col_name:medium_composition
2022-06-21 14:14:35 WARNING line break problem , table_name:field_basic_definition , col_name:Help_Text
2022-06-21 14:14:35 WARNING line break problem , table_name:field_basic_definition , col_name:Expected_value
2022-06-21 14:14:35 WARNING line break problem , table_name:field_basic_definition , col_name:Comment
