ID_met_antibiotica,metabolite_antib,MET_group_ID,is_antibiotic,ab_sensitive,ab_sensitivity_conc,rgStart_sens,rgEnd_sens,ab_sensitivity_unit,ab_intermediate,ab_intermediate_conc,rgStart_int,rgEnd_int,ab_intermediate_unit,ab_resistant,ab_resistance_conc,rgStart_res,rgEnd_res,ab_resistance_unit,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,last_change
8630,Amoxicillin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,2676.0,29.0,1290,22891,1,2017-02-10 09:57:45
8631,Streptomycin,0.0,1,1.0,25,25.0,25.0,µg (disc),,,,,,,,,,,17076.0,1.0,1290,22891,1,2017-02-10 09:57:45
8632,Tetracycline,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,27902.0,18.0,1290,22891,1,2017-02-10 09:57:45
8633,Kanamycin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,6104.0,14.0,1290,22891,1,2017-02-10 09:57:45
8634,Chloramphenicol,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,17698.0,16.0,1290,22891,1,2017-02-10 09:57:45
8635,Spectinomycin,0.0,1,1.0,100,100.0,100.0,µg (disc),,,,,,,,,,,9215.0,23.0,1290,22891,1,2017-02-10 09:57:45
8750,Colistin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg (disc),37943.0,2.0,1290,22892,1,2017-02-10 09:57:45
8751,Norfloxacin,0.0,1,1.0,10,10.0,10.0,µg (disc),,,,,,,,,,,100246.0,3.0,1290,22892,1,2017-02-10 09:57:45
8752,Tobramycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,28864.0,4.0,1290,22892,1,2017-02-10 09:57:45
8753,Lomefloxacin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,116278.0,5.0,1290,22892,1,2017-02-10 09:57:45
8754,Amikacin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,2637.0,6.0,1290,22892,1,2017-02-10 09:57:45
8755,Roxithromycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,48844.0,7.0,1290,22892,1,2017-02-10 09:57:45
8756,Ciprofloxacin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,100241.0,8.0,1290,22892,1,2017-02-10 09:57:45
8757,Nitrofurantoin,0.0,1,1.0,300,300.0,300.0,µg (disc),,,,,,,,,,,71415.0,9.0,1290,22892,1,2017-02-10 09:57:45
8758,Cefoperazone,0.0,1,1.0,75,75.0,75.0,µg (disc),,,,,,,,,,,3493.0,10.0,1290,22892,1,2017-02-10 09:57:45
8759,Vancomycin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,28001.0,11.0,1290,22892,1,2017-02-10 09:57:45
8760,Lincomycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,6472.0,12.0,1290,22892,1,2017-02-10 09:57:45
8761,Cephotaxime,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,204928.0,13.0,1290,22892,1,2017-02-10 09:57:45
8762,Kanamycin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,6104.0,14.0,1290,22892,1,2017-02-10 09:57:45
8763,Novobiocin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,28368.0,15.0,1290,22892,1,2017-02-10 09:57:45
8764,Chloramphenicol,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,17698.0,16.0,1290,22892,1,2017-02-10 09:57:45
8765,Ampicillin,0.0,1,1.0,25,25.0,25.0,µg (disc),,,,,,,,,,,28971.0,17.0,1290,22892,1,2017-02-10 09:57:45
8766,Tetracycline,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,27902.0,18.0,1290,22892,1,2017-02-10 09:57:45
8767,Bacitracin,0.0,1,1.0,10,10.0,10.0,µg (disc),,,,,,,,,,,28669.0,19.0,1290,22892,1,2017-02-10 09:57:45
8768,Gentamicin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,17833.0,20.0,1290,22892,1,2017-02-10 09:57:45
8769,Polymyxin B,0.0,1,1.0,50,50.0,50.0,µg (disc),,,,,,,,,,,8309.0,21.0,1290,22892,1,2017-02-10 09:57:45
8770,Oleandomycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,16869.0,22.0,1290,22892,1,2017-02-10 09:57:45
8771,Spectinomycin,0.0,1,1.0,100,100.0,100.0,µg (disc),,,,,,,,,,,9215.0,23.0,1290,22892,1,2017-02-10 09:57:45
8772,Rifampicin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,28077.0,24.0,1290,22892,1,2017-02-10 09:57:45
8773,Erythromycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,48923.0,25.0,1290,22892,1,2017-02-10 09:57:45
8774,Carbenicillin,0.0,1,1.0,100,100.0,100.0,µg (disc),,,,,,,,,,,3393.0,26.0,1290,22892,1,2017-02-10 09:57:45
8775,Penicillin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg (disc),17334.0,27.0,1290,22892,1,2017-02-10 09:57:45
8776,Cefuroxime,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,3515.0,28.0,1290,22892,1,2017-02-10 09:57:45
8777,Amoxicillin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,2676.0,29.0,1290,22892,1,2017-02-10 09:57:45
