ID_met_production,metabolite_prod,production,excreted,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,last_change
8607,Acetoin,1,,15688.0,29014.0,598,24474,1,2017-03-15 09:43:50
8628,Hydrogen sulfide,0,,16136.0,10130.0,1290,22891,1,2017-02-10 10:00:50
8629,Acetoin,1,,15688.0,12307.0,1290,22891,1,2017-02-10 10:00:50
8747,Indole,0,,35581.0,10131.0,1290,22892,1,2017-02-10 10:00:50
8748,Acetoin,1,,15688.0,12307.0,1290,22892,1,2017-02-10 10:00:50
8802,Lactic acid,1,,78320.0,10132.0,654,22893,1,2017-02-10 10:00:50
8803,Acetoin,1,,15688.0,12308.0,654,22893,1,2017-02-10 10:00:50
8844,Hydrogen sulfide,0,,16136.0,10133.0,654,22894,1,2017-02-10 10:00:50
8845,Indole,0,,35581.0,10134.0,654,22894,1,2017-02-10 10:00:50
8846,Acetoin,1,,15688.0,12308.0,654,22894,1,2017-02-10 10:00:50
8904,Acetoin,1,,15688.0,12309.0,1265,22895,1,2017-02-10 10:00:50
9153,Hydrogen sulfide,0,,16136.0,10135.0,1264,22902,1,2017-02-10 10:00:50
9154,Indole,0,,35581.0,10136.0,1264,22902,1,2017-02-10 10:00:50
9155,Acetoin,1,,15688.0,12310.0,1264,22902,1,2017-02-10 10:00:50
9240,Hydrogen sulfide,0,,16136.0,10137.0,374,22906,1,2017-02-10 10:00:50
9390,Acetoin,1,,15688.0,12311.0,5292,22913,1,2017-02-10 10:00:50
9472,Indole,0,,35581.0,10138.0,1757,22917,1,2017-02-10 10:00:50
9473,Acetic acid,1,,15366.0,10139.0,1757,22917,1,2017-02-10 10:00:50
9505,Acetoin,1,,15688.0,12427.0,1419,22918,1,2017-02-10 10:00:50
9546,Hydrogen sulfide,0,,16136.0,10140.0,6102,22920,1,2017-02-10 10:00:50
9567,Hydrogen sulfide,0,,16136.0,10141.0,12583,22921,1,2017-02-10 10:00:50
9568,Indole,0,,35581.0,10142.0,12583,22921,1,2017-02-10 10:00:50
9569,Acetoin,0,,15688.0,12312.0,12583,22921,1,2017-02-10 10:00:50
9570,Melanin,0,,89634.0,10143.0,12583,22921,1,2017-02-10 10:00:50
9622,Melanin,1,,89634.0,10144.0,16741,22925,1,2017-02-10 10:00:50
9638,Hydrogen sulfide,1,,16136.0,10145.0,16741,22926,1,2017-02-10 10:00:50
9787,Hydrogen sulfide,0,,16136.0,10146.0,6875,22933,1,2017-02-10 10:00:50
9948,Indole,0,,35581.0,10147.0,11874,22935,1,2017-02-10 10:00:50
9985,Hydrogen sulfide,0,,16136.0,10148.0,12800,22938,1,2017-02-10 10:00:50
9986,Indole,0,,35581.0,10149.0,12800,22938,1,2017-02-10 10:00:50
9987,Acetoin,0,,15688.0,12313.0,12800,22938,1,2017-02-10 10:00:50
9988,Pyocyanine,1,,8653.0,10151.0,12800,22938,1,2017-02-10 10:00:50
10064,Fluorescein,1,,31624.0,10150.0,12800,22939,1,2017-02-10 10:00:50
10065,Pyocyanine,1,,8653.0,10151.0,12800,22939,1,2017-02-10 10:00:50
10263,Indole,0,,35581.0,10152.0,5117,22945,1,2017-02-10 10:00:50
10264,Hydrogen sulfide,1,,16136.0,10153.0,5117,22945,1,2017-02-10 10:00:50
10331,Indole,0,,35581.0,10154.0,17569,22949,1,2017-02-10 10:00:50
10372,Indole,0,,35581.0,10154.0,17561,22950,1,2017-02-10 10:00:50
10373,2-Dehydro-D-gluconate,0,0.0,16808.0,22400.0,11,23232,1,2017-02-10 10:00:50
10374,Cellulose,0,,62968.0,10155.0,11,23232,1,2017-02-10 10:00:50
10375,Dihydroxyacetone,1,,16016.0,22412.0,11,23232,1,2017-02-10 10:00:50
10376,5-Dehydro-D-gluconate,0,,17426.0,10156.0,12,23233,1,2017-02-10 10:00:50
10377,2-Dehydro-D-gluconate,1,,16808.0,10157.0,12,23233,1,2017-02-10 10:00:50
10378,5-Dehydro-D-gluconate,0,,17426.0,10158.0,13,23233,1,2017-02-10 10:00:50
10379,2-Dehydro-D-gluconate,1,,16808.0,10159.0,13,23233,1,2017-02-10 10:00:50
10380,2-Dehydro-D-gluconate,0,,16808.0,10160.0,19,23234,1,2017-02-10 10:00:50
10381,5-Dehydro-D-gluconate,1,,17426.0,10161.0,19,23234,1,2017-02-10 10:00:50
10382,Dihydroxyacetone,1,,16016.0,10162.0,20,23235,1,2017-02-10 10:00:50
10383,4H-pyran-4-one,1,,37966.0,10163.0,20,23235,1,2017-02-10 10:00:50
10384,5-Dehydro-D-gluconate,0,,17426.0,10164.0,21,23236,1,2017-02-10 10:00:50
10385,2-Dehydro-D-gluconate,1,,16808.0,10165.0,21,23236,1,2017-02-10 10:00:50
10386,5-Dehydro-D-gluconate,0,,17426.0,10166.0,22,23237,1,2017-02-10 10:00:50
10387,2-Dehydro-D-gluconate,0,,16808.0,10167.0,22,23237,1,2017-02-10 10:00:50
10388,D-Gluconic acid,1,,33198.0,10168.0,22,23237,1,2017-02-10 10:00:50
10389,5-Dehydro-D-gluconate,0,,17426.0,10169.0,23,23238,1,2017-02-10 10:00:50
10390,2-Dehydro-D-gluconate,0,,16808.0,10170.0,23,23238,1,2017-02-10 10:00:50
10391,D-Gluconic acid,1,,33198.0,10171.0,23,23238,1,2017-02-10 10:00:50
10392,"2,5-didehydro-D-gluconic acid",0,,18281.0,10172.0,34,23240,1,2017-02-10 10:00:50
10394,Dihydroxyacetone,1,,16016.0,10173.0,34,23240,1,2017-02-10 10:00:50
10395,5-Dehydro-D-gluconate,1,,17426.0,10174.0,34,23240,1,2017-02-10 10:00:50
10396,2-Dehydro-D-gluconate,1,,16808.0,10175.0,34,23240,1,2017-02-10 10:00:50
10397,Acetoin,0,,15688.0,12314.0,38,23241,1,2017-02-10 10:00:50
10398,Hydrogen sulfide,0,,16136.0,10176.0,39,23242,1,2017-02-10 10:00:50
10399,Acetoin,0,,15688.0,12315.0,39,23242,1,2017-02-10 10:00:50
10400,Hydrogen sulfide,0,,16136.0,10177.0,42,23243,1,2017-02-10 10:00:50
10401,5-Dehydro-D-gluconate,1,,17426.0,10178.0,42,23243,1,2017-02-10 10:00:50
10402,2-Dehydro-D-gluconate,1,,16808.0,10179.0,42,23243,1,2017-02-10 10:00:50
10403,Hydrogen sulfide,1,,16136.0,10180.0,48,23244,1,2017-02-10 10:00:50
10404,Hydrogen sulfide,1,,16136.0,10181.0,53,23244,1,2017-02-10 10:00:50
10405,2-Dehydro-D-gluconate,1,,16808.0,10182.0,53,23244,1,2017-02-10 10:00:50
10406,Indole,0,,35581.0,10183.0,58,23245,1,2017-02-10 10:00:50
10407,Hydrogen sulfide,0,,16136.0,10184.0,58,23245,1,2017-02-10 10:00:50
10408,Ammonium,0,,28938.0,10185.0,58,23245,1,2017-02-10 10:00:50
10409,"2,5-didehydro-D-gluconic acid",0,,18281.0,10186.0,58,23245,1,2017-02-10 10:00:50
10410,Dihydroxyacetone,1,,16016.0,10187.0,58,23245,1,2017-02-10 10:00:50
10411,D-Gluconic acid,1,,33198.0,10188.0,58,23245,1,2017-02-10 10:00:50
10412,Acetic acid,1,,15366.0,22715.0,58,23245,1,2017-02-10 10:00:50
10413,5-Dehydro-D-gluconate,1,,17426.0,10189.0,58,23245,1,2017-02-10 10:00:50
10414,2-Dehydro-D-gluconate,1,,16808.0,10190.0,58,23245,1,2017-02-10 10:00:50
