ID_metabolites,metabolite,ID_strains,last_change
1,Streptomycin,1290,
2,Colistin,1290,
3,Norfloxacin,1290,
4,Tobramycin,1290,
5,Lomefloxacin,1290,
6,Amikacin,1290,
7,Roxithromycin,1290,
8,Ciprofloxacin,1290,
9,Nitrofurantoin,1290,
10,Cefoperazone,1290,
11,Vancomycin,1290,
12,Lincomycin,1290,
13,Cephotaxime,1290,
14,Kanamycin,1290,
15,Novobiocin,1290,
16,Chloramphenicol,1290,
17,Ampicillin,1290,
18,Tetracycline,1290,
19,Bacitracin,1290,
20,Gentamicin,1290,
21,Polymyxin B,1290,
22,Oleandomycin,1290,
23,Spectinomycin,1290,
24,Rifampicin,1290,
25,Erythromycin,1290,
26,Carbenicillin,1290,
27,Penicillin,1290,
28,Cefuroxime,1290,
29,Amoxicillin,1290,
30,Doxycycline,1290,
31,Penicillin G,6404,
32,Polymyxin B,11874,
33,Oxytetracycline,11874,
34,Neomycin,11874,
35,Vibriostat,12800,
36,Penicillin,12800,
37,Dihydrostreptomycin,12800,
38,Chloramphenicol,12800,
39,Erythromycin,12800,
40,Novobiocin,12800,
41,Kanamycin,12800,
42,Chlortetracyclin,12800,
43,Oxytetracycline,12800,
44,Polymyxin B,12800,
45,Tetracycline,12800,
46,Penicillin,2085,
47,Tetracycline,17532,
48,Kanamycin,17532,
49,Erythromycin,17532,
50,Novobiocin,17532,
51,Oleandomycin,15146,
52,Polymyxin B,15146,
53,Streptomycin,15146,
54,Erythromycin,11256,
55,Tetracycline,11256,
56,Erythromycin,26,
57,Neomycin,26,
58,Penicillin,26,
59,Streptomycin,26,
60,Chloramphenicol,26,
61,Chlortetracyclin,26,
62,Bacitracin,38,
63,Polymyxin B,38,
64,Colistin,38,
65,Nitrofurantoin,38,
66,Ethionamide,38,
67,Aztreonam,38,
68,Cephalothin,38,
69,Tetracycline,38,
70,Vancomycin,38,
71,Trimethoprim,38,
72,Ethambutol,38,
73,Penicillin,38,
74,Gentamicin,38,
75,Erythromycin,38,
76,Ceftriaxone,38,
77,Chloramphenicol,38,
78,Doxycycline,38,
79,Novobiocin,38,
80,Rifampicin,38,
81,Streptomycin,38,
82,Sulfisoxazole,38,
83,Sulfathiazole,38,
84,Ciprofloxacin,38,
85,Carbenicillin,38,
86,Penicillin,60,
87,Bacitracin,60,
88,Gentamicin,60,
89,Lincomycin,60,
90,Polymyxin B,60,
91,Fusidic acid,60,
92,Chloramphenicol,60,
93,Streptomycin,60,
94,Amikacin,60,
95,Erythromycin,60,
96,Kanamycin,60,
97,Neomycin,60,
98,Tetracycline,60,
99,Vancomycin,60,
100,Paromomycin sulfate,64,
101,Penicillin,64,
102,Neomycin,64,
103,Enoxacin,71,
104,Trimethoprim,71,
105,Amikacin,71,
106,Amoxicillin,71,
107,Ampicillin,71,
108,Cefaclor,71,
109,Cefazolin,71,
110,Cefoperazone,71,
111,Ceftazidime,71,
112,Cefuroxime,71,
113,Cephalothin,71,
114,Cephotaxime,71,
115,Chloramphenicol,71,
116,Ciprofloxacin,71,
117,Doxycycline,71,
118,Erythromycin,71,
119,Fleroxacin,71,
120,Gentamicin,71,
121,Kanamycin,71,
122,Levofloxacin,71,
123,Lomefloxacin,71,
124,Minocycline,71,
125,Nitrofurantoin,71,
126,Norfloxacin,71,
127,Piperacillin,71,
128,Polymyxin,71,
129,Streptomycin,71,
130,Tazobactam,71,
131,Tetracycline,71,
132,Tobramycin,71,
133,Bacitracin,72,
134,Penicillin,72,
135,Neomycin,72,
136,Streptomycin,72,
137,Erythromycin,72,
138,Cephalothin,72,
139,Chloramphenicol,72,
140,Kanamycin,72,
141,Nalidixic acid,72,
142,Novobiocin,72,
143,Rifampicin,72,
144,Tetracycline,72,
145,Vancomycin,72,
146,Amikacin,73,
147,Ciprofloxacin,73,
148,Erythromycin,73,
149,Gentamicin,73,
150,Penicillin G,73,
151,Polymyxin B,73,
152,Streptomycin,73,
153,Vancomycin,73,
154,Chloramphenicol,73,
155,Chlortetracyclin,73,
