ID_observation,attribute,ability,ID_strains,ID_reference,manual_annotation,last_change
4,Strong ability to Yeast lysis,able,18157,18281,1,2017-02-21 13:33:40
8321,aggregates in chains,able,133603,29714,1,2017-12-04 13:23:02
6,Ability of bacterial lysis medium,able,18157,18281,1,2017-02-21 13:34:47
7,Strong ability to Yeast lysis,able,12410,18282,0,2017-02-21 13:33:40
8,Ability of cellulose lysis strong,able,12410,18282,0,2017-02-21 13:35:10
9,Strong ability to Yeast lysis,able,18167,18281,0,2017-02-21 13:33:40
10,Strong ability to Yeast lysis,able,18184,18281,0,2017-02-21 13:33:40
11,Strong ability to Yeast lysis,able,18185,18281,0,2017-02-21 13:33:40
12,Strong ability to Yeast lysis,able,18187,18281,0,2017-02-21 13:33:40
13,Strong ability to Yeast lysis,able,18191,18281,0,2017-02-21 13:33:40
14,Strong ability to Yeast lysis,able,18202,18281,0,2017-02-21 13:33:40
15,Strong ability to Yeast lysis,able,18209,18281,0,2017-02-21 13:33:40
16,Strong ability to Yeast lysis,able,18241,18281,0,2017-02-21 13:33:40
17,Strong ability to Yeast lysis,able,18243,18281,0,2017-02-21 13:33:40
18,Strong ability to Yeast lysis,able,18252,18281,0,2017-02-21 13:33:40
19,Strong ability to Yeast lysis,able,18259,18281,0,2017-02-21 13:33:40
20,Strong ability to Yeast lysis,able,18262,18281,0,2017-02-21 13:33:40
21,Strong ability to Yeast lysis,able,18263,18281,0,2017-02-21 13:33:40
22,Strong ability to Yeast lysis,able,18266,18281,0,2017-02-21 13:33:40
23,Strong ability to Yeast lysis,able,18267,18281,0,2017-02-21 13:33:40
24,Strong ability to Yeast lysis,able,18268,18281,0,2017-02-21 13:33:40
25,Strong ability to Yeast lysis,able,18270,18281,0,2017-02-21 13:33:40
26,Strong ability to Yeast lysis,able,18274,18281,0,2017-02-21 13:33:40
27,Strong ability to Yeast lysis,able,18276,18281,0,2017-02-21 13:33:40
28,Strong ability to Yeast lysis,able,18277,18281,0,2017-02-21 13:33:40
29,Strong ability to Yeast lysis,able,18281,18281,0,2017-02-21 13:33:40
30,Strong ability to Yeast lysis,able,18283,18281,0,2017-02-21 13:33:40
31,Strong ability to Yeast lysis,able,18284,18281,0,2017-02-21 13:33:40
32,Strong ability to Yeast lysis,able,18285,18281,0,2017-02-21 13:33:40
33,Strong ability to Yeast lysis,able,18287,18281,0,2017-02-21 13:33:40
34,Strong ability to Yeast lysis,able,18288,18281,0,2017-02-21 13:33:40
35,Strong ability to Yeast lysis,able,18291,18281,0,2017-02-21 13:33:40
36,Strong ability to Yeast lysis,able,18292,18281,0,2017-02-21 13:33:40
37,Strong ability to Yeast lysis,able,18293,18281,0,2017-02-21 13:33:40
38,Strong ability to Yeast lysis,able,18294,18281,0,2017-02-21 13:33:40
39,Strong ability to Yeast lysis,able,18295,18281,0,2017-02-21 13:33:40
40,Strong ability to Yeast lysis,able,18301,18281,0,2017-02-21 13:33:40
41,Strong ability to Yeast lysis,able,18306,18281,0,2017-02-21 13:33:40
42,Strong ability to Yeast lysis,able,18308,18281,0,2017-02-21 13:33:40
43,Strong ability to Yeast lysis,able,18316,18281,0,2017-02-21 13:33:40
44,Strong ability to Yeast lysis,able,18405,18281,0,2017-02-21 13:33:40
45,Strong ability to Yeast lysis,able,18454,18281,0,2017-02-21 13:33:40
46,Strong ability to Yeast lysis,able,18464,18281,0,2017-02-21 13:33:40
47,Strong ability to Yeast lysis,able,18497,18281,0,2017-02-21 13:33:40
48,Strong ability to Yeast lysis,able,18500,18281,0,2017-02-21 13:33:40
49,Strong ability to Yeast lysis,able,18501,18281,0,2017-02-21 13:33:40
50,Strong ability to Yeast lysis,able,18502,18281,0,2017-02-21 13:33:40
51,Strong ability to Yeast lysis,able,18504,18281,0,2017-02-21 13:33:40
52,Strong ability to Yeast lysis,able,18505,18281,0,2017-02-21 13:33:40
53,Strong ability to Yeast lysis,able,18538,18281,0,2017-02-21 13:33:40
54,Strong ability to Yeast lysis,able,18558,18281,0,2017-02-21 13:33:40
55,Strong ability to Yeast lysis,able,18559,18281,0,2017-02-21 13:33:40
56,Strong ability to Yeast lysis,able,18560,18281,0,2017-02-21 13:33:40
57,Strong ability to Yeast lysis,able,18561,18281,0,2017-02-21 13:33:40
58,Strong ability to Yeast lysis,able,18563,18281,0,2017-02-21 13:33:40
59,Strong ability to Yeast lysis,able,18571,18281,0,2017-02-21 13:33:40
60,Strong ability to Yeast lysis,able,18573,18281,0,2017-02-21 13:33:40
61,Strong ability to Yeast lysis,able,18574,18281,0,2017-02-21 13:33:40
62,Strong ability to Yeast lysis,able,18578,18281,0,2017-02-21 13:33:40
63,Strong ability to Yeast lysis,able,18584,18281,0,2017-02-21 13:33:40
64,Strong ability to Yeast lysis,able,18589,18281,0,2017-02-21 13:33:40
65,Strong ability to Yeast lysis,able,18608,18281,0,2017-02-21 13:33:40
66,Strong ability to Yeast lysis,able,18610,18281,0,2017-02-21 13:33:40
67,Strong ability to Yeast lysis,able,18613,18281,0,2017-02-21 13:33:40
68,Strong ability to Yeast lysis,able,18619,18281,0,2017-02-21 13:33:40
69,Strong ability to Yeast lysis,able,18681,18281,0,2017-02-21 13:33:40
70,Strong ability to Yeast lysis,able,18682,18281,0,2017-02-21 13:33:40
71,Strong ability to Yeast lysis,able,18686,18281,0,2017-02-21 13:33:40
72,Strong ability to Yeast lysis,able,18705,18281,0,2017-02-21 13:33:40
73,Strong ability to Yeast lysis,able,18706,18281,0,2017-02-21 13:33:40
74,Strong ability to Yeast lysis,able,18730,18281,0,2017-02-21 13:33:40
75,Strong ability to Yeast lysis,able,18733,18281,0,2017-02-21 13:33:40
76,Strong ability to Yeast lysis,able,18750,18281,0,2017-02-21 13:33:40
77,Strong ability to Yeast lysis,able,18759,18281,0,2017-02-21 13:33:40
