ID_strain_history,history,ID_strains,ID_reference,manual_annotation,last_change
44158,"<- A. G. L. Antunes, Univ. Coimbra, Portugal; SD-17F <- A. G. L. Antunes and M. Taborda",131165,22457,1,2019-11-08 07:31:45
44157,"<- M. Halpern, Dept. Biol., Faculty of Sci. and Sci. Education, Univ. Haifa, Oranim, Tivon, Israel; H1 <- E. Hantsis-Zacharov",5510,8390,1,2019-11-08 07:31:45
44156,"<- V. M. Gorlenko, Winogradsky Inst. Microbiol., RAS, Moscow, Russia; alga-05 <- E. N. Boldareva",13828,8389,1,2019-11-08 07:31:45
44155,"<- T. Kuwabara, Graduate School Life and Environmental Sci., Univ. Tsukuba, Japan; MN14 <- T. Kuwabara {2005}",17058,8388,1,2019-11-08 07:31:45
44154,"<- CCUG; CCUG 53819 <- H. Marchandin, Montpellier, France",17784,16531,1,2019-11-08 07:31:45
23,"<- H. Wilmanns, 23",2507,23,1,2018-05-31 09:23:47
44153,"<- NBRC <- Y. Fukunaga, NITE - Natl. Institute of Technology and Evaluation, Chiba, Japan",132094,23884,1,2019-11-08 07:31:45
44152,"<- NCIMB <-  <- Y. Nakagawa and S. T. Khan, NBRC, NITE, Chiba, Japan",132093,23883,1,2019-11-08 07:31:45
44151,"<- KCTC <- K. Lee, Inha University, Incheon, Korea; IMCC3101",5660,17201,1,2019-11-08 07:31:45
44150,"<- KCTC <- O. N. Nedashkovskaya, Pacific Inst. Bioorg. Chem., RAS, Vladivostok, Russia",5609,17252,1,2019-11-08 07:31:45
33,"<- H. Wilmanns, 31",2508,33,1,2018-05-31 09:23:47
44149,"<- KCTC <- S. D. Lee, Jeju National Univ., Rep. of Korea",14049,17747,1,2019-11-08 07:31:45
44148,"<- CCUG <- J. H. Yoon, Korea Res. Inst. Biosci. & Biotechnol. (KRIBB), Taejon, South Korea",5644,16843,1,2019-11-08 07:31:45
44147,"<- H. Ommedal, University of Bergen, Centre for Integrated Petroleum Research (CIPR), Norway; H3 <- H. Ommedal {2005}",3953,7677,1,2019-11-08 07:31:45
44145,"<- P. Kämpfer, Univ. Giessen <- C.-C. Young, College of Agriculture and Natural Resources, University Taichung, Taiwan; CC-JY-1",17446,15430,1,2019-11-08 07:31:45
44146,"<- S.-C. Chang, Tajen Univ.; c14",10523,15751,1,2019-11-08 07:31:45
44144,"<- D. Y. Sorokin, Winogradski Inst. Microbiol., RAS, Moscow, Russia; AMT 1",17902,6089,1,2019-11-08 07:31:45
44143,"<- D. Y. Sorokin, Winogradski Inst. Microbiol., RAS, Moscow, Russia; HMT 1",17901,6090,1,2019-11-08 07:31:45
44142,"<- CCUG <- LMG <- K. De Bruyne, LMG",6839,15729,1,2019-11-08 07:31:45
44141,"<- Chang-Jin Kim <- Jee-Min Lim, BT080",1279,7208,1,2019-11-08 07:31:45
44140,"<- Soon-Wo Kwon, HC148",1401,7286,1,2019-11-08 07:31:45
44139,"<- Soon-Wo Kwon, HC145",1400,7285,1,2019-11-08 07:31:45
44138,<- CCUG <- J.-S. Lee <- E.A. Cho; RI-39,11448,15622,1,2019-11-08 07:31:45
44137,"<- LMG <- J. Heyrman, R-8459",1278,7942,1,2019-11-08 07:31:45
61,"<- N. Pfennig, 1314",2476,61,1,2018-05-31 09:23:47
44135,<- Soon-Wo Kwon; 5317S-21,6271,7592,1,2019-11-08 07:31:45
44136,"<- Hidetoshi Morita <- T. Mitsuoka, KBL13",6675,7791,1,2019-11-08 07:31:45
44134,"<- R.E. Muir, TAN 31504",7356,7514,1,2019-11-08 07:31:45
44133,"<- M. Schedler, TU Hamburg-Harburg; TUHH-12 <- A.G. Valladares Juárez",130487,21759,1,2019-11-08 07:31:45
44132,"<- S. Dastager, National Inst. of Oceanography, Anderheri, Mumbai; NIO-1009",24245,20763,1,2019-11-08 07:31:45
44130,<- CGMCC; CGMCC 1.6580,11046,15685,1,2019-11-08 07:31:45
44131,<- Z. Wang; djl-6-2,11047,16010,1,2019-11-08 07:31:45
44129,"<- J. Hamedi, Univ. Tehran, Iran <- F. Mohammadipanah; UTMC 561",8009,17346,1,2019-11-08 07:31:45
44128,"<- P. R. Meyers, Univ. Cape Town, South Africa; TVU1 <- B. M. Kirby",8008,12386,1,2019-11-08 07:31:45
44127,<- P. S. Conville; ATCC 700035 <- R. J. Wallace <- Louisiana State Univ. Med. School,10822,12382,1,2019-11-08 07:31:45
44126,"<- M. E. Hamid, King  Khalid University, Abha, Saudi Arabia; AB 137",23156,19065,1,2019-11-08 07:31:45
44125,"<- P. S. Conville; ATCC 49873 <- R. J. Wallace <- Texas Dept. of Health, TDHR 168330",10821,12381,1,2019-11-08 07:31:45
44124,<- M. Goodfellow; SD 504,16440,10661,1,2019-11-08 07:31:45
44123,<- U. Vogel; WUE3939,14839,8385,1,2019-11-08 07:31:45
44122,<- U. Vogel; WUE3938,14838,8384,1,2019-11-08 07:31:45
44121,<- U. Vogel; WUE3937,14837,8383,1,2019-11-08 07:31:45
44119,"<- U. Szewzyk, TU Berlin, Environmental Microbiol., Germany; R8-Ret-T12-11d <- I. Graeber",23027,19064,1,2019-11-08 07:31:45
44120,"<- O. I. Nedashkovskaya, KMM; KMM 6214 <- V. V. Mikhailov, KMM",131164,22456,1,2019-11-08 07:31:45
