"Dataset","Number of the triple","Time"
"cell_morphology","10000","0.49020981788635254"
"cell_morphology","20000","0.6076509952545166"
"cell_morphology","30000","0.7284016609191895"
"cell_morphology","40000","0.8484547138214111"
"cell_morphology","50000","0.9643673896789551"
"cell_morphology","60000","1.0813331604003906"
"cell_morphology","70000","1.196272611618042"
"cell_morphology","80000","1.3130834102630615"
"cell_morphology","90000","1.4315340518951416"
"strains","100000","3.6517832279205322"
"strains","110000","3.775387763977051"
"strains","120000","3.9027578830718994"
"strains","130000","4.032396554946899"
"strains","140000","4.160438299179077"
"strains","150000","4.290828466415405"
"strains","160000","4.4176084995269775"
"strains","170000","4.543609142303467"
"strains","180000","4.672290802001953"
"strains","190000","4.803857326507568"
"strains","200000","4.932451963424683"
"strains","210000","5.06102991104126"
"strains","220000","5.194992303848267"
"strains","230000","5.3253912925720215"
"strains","240000","5.451966762542725"
"strains","250000","5.579732418060303"
"strains","260000","5.7080605030059814"
"strains","270000","5.844500303268433"
"strains","280000","5.972760915756226"
"strains","290000","6.0990684032440186"
"strains","300000","6.2260613441467285"
"strains","310000","6.354726314544678"
"strains","320000","6.484009027481079"
"strains","330000","6.61289381980896"
"strains","340000","6.745871543884277"
"strains","350000","6.874534845352173"
"strains","360000","7.004794597625732"
"strains","370000","7.135135173797607"
"strains","380000","7.2654407024383545"
"strains","390000","7.3939268589019775"
"strains","400000","7.522695541381836"
"strains","410000","7.650926828384399"
"strains","420000","7.780662298202515"
"strains","430000","7.921145677566528"
"strains","440000","8.050016164779663"
"strains","450000","8.180311918258667"
"strains","460000","8.324001550674438"
"strains","470000","8.467431545257568"
"strains","480000","8.610488176345825"
"strains","490000","8.754670143127441"
"strains","500000","8.898367166519165"
"strains","510000","9.043628215789795"
"strains","520000","9.187563419342041"
"strains","530000","9.331014633178711"
"strains","540000","9.474482536315918"
"strains","550000","9.619179964065552"
"strains","560000","9.762851476669312"
"strains","570000","9.906965255737305"
"strains","580000","10.051102638244629"
"strains","590000","10.206707000732422"
"strains","600000","10.350998163223267"
"strains","610000","10.495340347290039"
"strains","620000","10.640212774276733"
"strains","630000","10.784019708633423"
"strains","640000","10.931428909301758"
"strains","650000","11.087764501571655"
"strains","660000","11.231435775756836"
"strains","670000","11.376228094100952"
"strains","680000","11.53339958190918"
"strains","690000","11.67662763595581"
"strains","700000","11.820035934448242"
"strains","710000","11.964158058166504"
"strains","720000","12.107451915740967"
"strains","730000","12.25115966796875"
"strains","740000","12.394618272781372"
"strains","750000","12.538481712341309"
"strains","760000","12.682767868041992"
"strains","770000","12.822112560272217"
"strains","780000","12.953899621963501"
"strains","790000","13.087212562561035"
"strains","800000","13.221376419067383"
"strains","810000","13.354955196380615"
"strains","820000","13.490555763244629"
"strains","830000","13.6251540184021"
"strains","840000","13.768346071243286"
"strains","850000","13.912591695785522"
"strains","860000","14.059172630310059"
"strains","870000","14.206658363342285"
"strains","880000","14.353754043579102"
"strains","890000","14.500837087631226"
"strains","900000","14.647408723831177"
"strains","910000","14.78546404838562"
"strains","920000","14.923755168914795"
"strains","930000","15.06879734992981"
"strains","940000","15.218177318572998"
"strains","950000","15.364563941955566"
"strains","960000","15.510831832885742"
"strains","970000","15.658161640167236"
"strains","980000","15.805377960205078"
"strains","990000","15.951900959014893"
"strains","1000000","16.097719192504883"
"strains","1010000","16.242974042892456"
"strains","1020000","16.400269746780396"
"strains","1030000","16.54741072654724"
"strains","1040000","16.695215463638306"
"strains","1050000","16.842660188674927"
"strains","1060000","16.990819692611694"
"strains","1070000","17.14067053794861"
"strains","1080000","17.288251161575317"
"strains","1090000","17.43446135520935"
"strains","1100000","17.582850217819214"
"strains","1110000","17.72141671180725"
"strains","1120000","17.873474836349487"
"reference","1130000","19.930113554000854"
"reference","1140000","20.106762409210205"
"reference","1150000","20.28923201560974"
"reference","1160000","20.467583179473877"
"reference","1170000","20.64689612388611"
"reference","1180000","20.826417922973633"
"reference","1190000","21.00951361656189"
"reference","1200000","21.19212007522583"
"reference","1210000","21.37442398071289"
"reference","1220000","21.555079698562622"
"reference","1230000","21.73628044128418"
"reference","1240000","21.91846537590027"
"reference","1250000","22.099499225616455"
"reference","1260000","22.28781294822693"
"reference","1270000","22.47673535346985"
"reference","1280000","22.66291093826294"
"reference","1290000","22.813348054885864"
"reference","1300000","22.99052667617798"
"reference","1310000","23.14385151863098"
"reference","1320000","23.304652452468872"
"reference","1330000","23.46494746208191"
"reference","1340000","23.61261558532715"
"reference","1350000","23.74151301383972"
"reference","1360000","23.86986017227173"
"reference","1370000","23.9992835521698"
"reference","1380000","24.12811517715454"
"reference","1390000","24.418447256088257"
"reference","1400000","24.719021797180176"
"reference","1410000","25.02911686897278"
"reference","1420000","25.36075448989868"
"reference","1430000","25.683090448379517"
"reference","1440000","25.997602939605713"
"reference","1450000","26.160603284835815"
"reference","1460000","26.307422399520874"
"reference","1470000","26.490288972854614"
"reference","1480000","26.67366647720337"
"reference","1490000","26.85866689682007"
"reference","1500000","27.041522979736328"
"reference","1510000","27.223597288131714"
"reference","1520000","27.404417037963867"
"reference","1530000","27.585859060287476"
"reference","1540000","27.768973350524902"
"reference","1550000","27.951574325561523"
"reference","1560000","28.148552417755127"
"reference","1570000","28.33547854423523"
"reference","1580000","28.51951003074646"
"reference","1590000","28.703072786331177"
"reference","1600000","28.889183044433594"
"reference","1610000","29.054562091827393"
"colony_morphology","1620000","29.752715587615967"
"colony_morphology","1630000","29.9097900390625"
"colony_morphology","1640000","30.061429738998413"
"colony_morphology","1650000","30.22078800201416"
"colony_morphology","1660000","30.37631368637085"
"colony_morphology","1670000","30.535255670547485"
"colony_morphology","1680000","30.689326524734497"
"colony_morphology","1690000","30.842380046844482"
"colony_morphology","1700000","31.01064920425415"
"colony_morphology","1710000","31.16310477256775"
"colony_morphology","1720000","31.30510973930359"
"colony_morphology","1730000","31.465866327285767"
"colony_morphology","1740000","31.633681058883667"
"culture_ph","1750000","32.04318690299988"
"culture_ph","1760000","32.15256714820862"
"culture_ph","1770000","32.26263618469238"
"culture_ph","1780000","32.37295198440552"
"culture_ph","1790000","32.483407974243164"
"culture_ph","1800000","32.59380626678467"
"culture_ph","1810000","32.70558214187622"
"culture_ph","1820000","32.816333532333374"
"culture_ph","1830000","32.92657971382141"
"culture_temp","1840000","33.89599609375"
"culture_temp","1850000","34.00784111022949"
"culture_temp","1860000","34.119417905807495"
"culture_temp","1870000","34.23149752616882"
"culture_temp","1880000","34.341941356658936"
"culture_temp","1890000","34.452880859375"
"culture_temp","1900000","34.56534671783447"
"culture_temp","1910000","34.67693042755127"
"culture_temp","1920000","34.78885102272034"
"culture_temp","1930000","34.90051770210266"
"culture_temp","1940000","35.01172113418579"
"culture_temp","1950000","35.124114990234375"
"culture_temp","1960000","35.24030351638794"
"culture_temp","1970000","35.35436201095581"
"culture_temp","1980000","35.46540713310242"
"culture_temp","1990000","35.57630896568298"
"culture_temp","2000000","35.688657999038696"
"culture_temp","2010000","35.80073809623718"
"culture_temp","2020000","35.91229486465454"
"culture_temp","2030000","36.02476739883423"
"culture_temp","2040000","36.136651277542114"
"culture_temp","2050000","36.24893260002136"
"culture_temp","2060000","36.36115837097168"
"culture_temp","2070000","36.473358392715454"
"culture_temp","2080000","36.585793256759644"
"culture_temp","2090000","36.69709253311157"
"culture_temp","2100000","36.81540369987488"
"culture_temp","2110000","36.93068313598633"
"culture_temp","2120000","37.04257297515869"
"culture_temp","2130000","37.15871071815491"
"culture_temp","2140000","37.278010845184326"
"culture_temp","2150000","37.39784073829651"
"culture_temp","2160000","37.51841711997986"
"culture_temp","2170000","37.638025999069214"
"culture_temp","2180000","37.7540488243103"
"culture_temp","2190000","37.8673837184906"
"culture_temp","2200000","37.97985482215881"
"culture_temp","2210000","38.0940363407135"
"culture_temp","2220000","38.20731592178345"
"culture_temp","2230000","38.321483850479126"
"culture_temp","2240000","38.43474626541138"
"culture_temp","2250000","38.54836583137512"
"culture_temp","2260000","38.66184139251709"
"culture_temp","2270000","38.77568554878235"
"culture_temp","2280000","38.88912916183472"
"culture_temp","2290000","39.002827167510986"
"culture_temp","2300000","39.116599321365356"
"culture_temp","2310000","39.23135280609131"
"culture_temp","2320000","39.34386372566223"
"culture_temp","2330000","39.4568817615509"
"culture_temp","2340000","39.57081437110901"
"culture_temp","2350000","39.686290979385376"
"culture_temp","2360000","39.81652522087097"
"culture_temp","2370000","39.9303183555603"
"culture_temp","2380000","40.04245924949646"
"culture_temp","2390000","40.15476179122925"
"culture_temp","2400000","40.27091455459595"
"culture_temp","2410000","40.38304662704468"
"culture_temp","2420000","40.496246337890625"
"culture_temp","2430000","40.608311891555786"
"culture_temp","2440000","40.72033762931824"
"culture_temp","2450000","40.83434319496155"
"culture_temp","2460000","40.94663763046265"
"culture_temp","2470000","41.05921769142151"
"culture_temp","2480000","41.17303276062012"
"culture_temp","2490000","41.28608202934265"
"culture_temp","2500000","41.39880037307739"
"culture_temp","2510000","41.51198148727417"
"culture_temp","2520000","41.6265025138855"
"halophily","2530000","42.09094262123108"
"halophily","2540000","42.20823788642883"
"halophily","2550000","42.32368087768555"
"halophily","2560000","42.43922305107117"
"halophily","2570000","42.55480694770813"
"halophily","2580000","42.67059373855591"
"halophily","2590000","42.787317514419556"
"halophily","2600000","42.9016432762146"
"halophily","2610000","43.01681399345398"
"halophily","2620000","43.13146638870239"
"halophily","2630000","43.24726963043213"
"enzymes","2640000","43.93758749961853"
"enzymes","2650000","44.06905388832092"
"enzymes","2660000","44.20006060600281"
"enzymes","2670000","44.330427169799805"
"enzymes","2680000","44.46214151382446"
"enzymes","2690000","44.594149589538574"
"enzymes","2700000","44.728028535842896"
"enzymes","2710000","44.86226677894592"
"enzymes","2720000","44.997503995895386"
"enzymes","2730000","45.134299516677856"
"enzymes","2740000","45.280571699142456"
"enzymes","2750000","45.416041135787964"
"enzymes","2760000","45.55074691772461"
"enzymes","2770000","45.68573188781738"
"enzymes","2780000","45.819801568984985"
"enzymes","2790000","45.95464611053467"
"enzymes","2800000","46.0948600769043"
"enzymes","2810000","46.23685097694397"
"enzymes","2820000","46.37306833267212"
"enzymes","2830000","46.509284257888794"
"enzymes","2840000","46.6451096534729"
"enzymes","2850000","46.781195640563965"
"enzymes","2860000","46.916810750961304"
"enzymes","2870000","47.05284070968628"
"enzymes","2880000","47.188979387283325"
"enzymes","2890000","47.32509207725525"
"enzymes","2900000","47.460970401763916"
"enzymes","2910000","47.59751343727112"
"enzymes","2920000","47.7335991859436"
"enzymes","2930000","47.870229959487915"
"enzymes","2940000","48.0064857006073"
"enzymes","2950000","48.142958641052246"
"enzymes","2960000","48.279595375061035"
"enzymes","2970000","48.41618227958679"
"met_antibiotica","2980000","49.09534811973572"
"met_antibiotica","2990000","49.23562479019165"
"met_antibiotica","3000000","49.3757119178772"
"met_antibiotica","3010000","49.50602912902832"
"met_antibiotica","3020000","49.63714003562927"
"met_antibiotica","3030000","49.76751470565796"
"met_antibiotica","3040000","49.91184091567993"
"met_antibiotica","3050000","50.06166458129883"
"met_antibiotica","3060000","50.20979118347168"
"met_antibiotica","3070000","50.350465536117554"
"met_antibiotica","3080000","50.49244213104248"
"met_antibiotica","3090000","50.63382863998413"
"met_antibiotica","3100000","50.777886390686035"
"met_antibiotica","3110000","50.9213924407959"
"met_antibiotica","3120000","51.06601548194885"
"met_antibiotica","3130000","51.2102210521698"
"met_antibiotica","3140000","51.358214139938354"
"met_production","3150000","51.697226762771606"
"met_production","3160000","51.82620573043823"
"met_production","3170000","51.95885467529297"
"met_util","3180000","53.9415237903595"
"met_util","3190000","54.067612648010254"
"met_util","3200000","54.19212245941162"
"met_util","3210000","54.31727862358093"
"met_util","3220000","54.44269013404846"
"met_util","3230000","54.56933116912842"
"met_util","3240000","54.69565725326538"
"met_util","3250000","54.8228862285614"
"met_util","3260000","54.943360567092896"
"met_util","3270000","55.063183546066284"
"met_util","3280000","55.18999528884888"
"met_util","3290000","55.30838632583618"
"met_util","3300000","55.42978262901306"
"met_util","3310000","55.546775817871094"
"met_util","3320000","55.66379165649414"
"met_util","3330000","55.78022766113281"
"met_util","3340000","55.89698839187622"
"met_util","3350000","56.01524472236633"
"met_util","3360000","56.138583183288574"
"met_util","3370000","56.25768685340881"
"met_util","3380000","56.376867055892944"
"met_util","3390000","56.50066304206848"
"met_util","3400000","56.61964535713196"
"met_util","3410000","56.7390661239624"
"met_util","3420000","56.85996747016907"
"met_util","3430000","56.97886085510254"
"met_util","3440000","57.0992169380188"
"met_util","3450000","57.21845531463623"
"met_util","3460000","57.33892846107483"
"met_util","3470000","57.45981454849243"
"met_util","3480000","57.58295512199402"
"met_util","3490000","57.70591735839844"
"met_util","3500000","57.83271098136902"
"met_util","3510000","57.955758571624756"
"met_util","3520000","58.07883167266846"
"met_util","3530000","58.24219751358032"
"met_util","3540000","58.364097595214844"
"met_util","3550000","58.48497223854065"
"met_util","3560000","58.60628414154053"
"met_util","3570000","58.72712683677673"
"met_util","3580000","58.84859561920166"
"met_util","3590000","58.970444440841675"
"met_util","3600000","59.091753244400024"
"met_util","3610000","59.220937728881836"
"met_util","3620000","59.34460163116455"
"met_util","3630000","59.465452432632446"
"met_util","3640000","59.58655881881714"
"met_util","3650000","59.707690715789795"
"met_util","3660000","59.82938551902771"
"met_util","3670000","59.951200008392334"
"met_util","3680000","60.071799993515015"
"met_util","3690000","60.20142841339111"
"met_util","3700000","60.32140755653381"
"met_util","3710000","60.44137978553772"
"met_util","3720000","60.56143021583557"
"met_util","3730000","60.68205189704895"
"met_util","3740000","60.80256795883179"
"met_util","3750000","60.92258167266846"
"met_util","3760000","61.04278755187988"
"met_util","3770000","61.16244196891785"
"met_util","3780000","61.28264832496643"
"met_util","3790000","61.403162479400635"
"met_util","3800000","61.52347111701965"
"met_util","3810000","61.64393496513367"
"met_util","3820000","61.764256715774536"
"met_util","3830000","61.88482594490051"
"met_util","3840000","62.00638270378113"
"met_util","3850000","62.12696981430054"
"met_util","3860000","62.24749398231506"
"met_util","3870000","62.36802935600281"
"met_util","3880000","62.488863945007324"
"met_util","3890000","62.611350536346436"
"met_util","3900000","62.73258423805237"
"met_util","3910000","62.85352039337158"
"met_util","3920000","62.97526788711548"
"met_util","3930000","63.10695505142212"
"met_util","3940000","63.231451749801636"
"met_util","3950000","63.353633403778076"
"met_util","3960000","63.475701093673706"
"met_util","3970000","63.59784507751465"
"met_util","3980000","63.7201611995697"
"met_util","3990000","63.84189510345459"
"met_util","4000000","63.9647102355957"
"met_util","4010000","64.08727955818176"
"met_util","4020000","64.20906734466553"
"met_util","4030000","64.33124089241028"
"met_util","4040000","64.45255517959595"
"met_util","4050000","64.60755658149719"
"met_util","4060000","64.72836875915527"
"met_util","4070000","64.8490982055664"
"met_util","4080000","64.969722032547"
"met_util","4090000","65.09141802787781"
"met_util","4100000","65.21887993812561"
"met_util","4110000","65.34037351608276"
"met_util","4120000","65.46343660354614"
"met_util","4130000","65.58912396430969"
"met_util","4140000","65.7118148803711"
"met_util","4150000","65.83209443092346"
"met_util","4160000","65.95274138450623"
"met_util","4170000","66.07435011863708"
"met_util","4180000","66.19601917266846"
"met_util","4190000","66.3175618648529"
"met_util","4200000","66.44157004356384"
"met_util","4210000","66.56498384475708"
"met_util","4220000","66.68844366073608"
"met_util","4230000","66.81300115585327"
"met_util","4240000","66.93552470207214"
"met_util","4250000","67.05759596824646"
"met_util","4260000","67.1789219379425"
"met_util","4270000","67.3009386062622"
"met_util","4280000","67.42245626449585"
"met_util","4290000","67.54560232162476"
"met_util","4300000","67.66943979263306"
"met_util","4310000","67.79675817489624"
"met_util","4320000","67.91888570785522"
"met_util","4330000","68.04051327705383"
"met_util","4340000","68.16209435462952"
"met_util","4350000","68.28338551521301"
"met_util","4360000","68.40985369682312"
"met_util","4370000","68.5335340499878"
"met_util","4380000","68.65588355064392"
"met_util","4390000","68.7786180973053"
"met_util","4400000","68.90137386322021"
"met_util","4410000","69.02509617805481"
"met_util","4420000","69.1479012966156"
"met_util","4430000","69.27022123336792"
"met_util","4440000","69.39334607124329"
"met_util","4450000","69.5166015625"
"met_util","4460000","69.64125084877014"
"met_util","4470000","69.76334953308105"
"met_util","4480000","69.88935256004333"
"met_util","4490000","70.0163152217865"
"met_util","4500000","70.14131212234497"
"met_util","4510000","70.27024698257446"
"met_util","4520000","70.39426732063293"
"met_util","4530000","70.51724076271057"
"met_util","4540000","70.63926672935486"
"met_util","4550000","70.76129508018494"
"met_util","4560000","70.88872909545898"
"met_util","4570000","71.01172184944153"
"met_util","4580000","71.13395595550537"
"met_util","4590000","71.25541043281555"
"met_util","4600000","71.37774443626404"
"met_util","4610000","71.49990248680115"
"met_util","4620000","71.62876844406128"
"met_util","4630000","71.75696563720703"
"met_util","4640000","71.88588690757751"
"met_util","4650000","72.01465249061584"
"met_util","4660000","72.14289474487305"
"met_util","4670000","72.2703812122345"
"met_util","4680000","72.39859223365784"
"met_util","4690000","72.52697014808655"
"met_util","4700000","72.65497636795044"
"met_util","4710000","72.78378629684448"
"met_util","4720000","72.912588596344"
"met_util","4730000","73.04212355613708"
"met_util","4740000","73.17062306404114"
"met_util","4750000","73.30001258850098"
"met_util","4760000","73.42936611175537"
"met_util","4770000","73.56601595878601"
"met_util","4780000","73.69520449638367"
"met_util","4790000","73.82423567771912"
"origin","4800000","75.2947564125061"
"origin","4810000","75.45452451705933"
"origin","4820000","75.61341118812561"
"origin","4830000","75.76626968383789"
"origin","4840000","75.91664838790894"
"origin","4850000","76.06758236885071"
"origin","4860000","76.21791291236877"
"origin","4870000","76.38095188140869"
"origin","4880000","76.54992246627808"
"origin","4890000","76.70843052864075"
"origin","4900000","76.8636531829834"
"origin","4910000","77.01752138137817"
"origin","4920000","77.16819906234741"
"origin","4930000","77.31986403465271"
"origin","4940000","77.47057723999023"
"origin","4950000","77.62285327911377"
"origin","4960000","77.77020645141602"
"origin","4970000","77.92077732086182"
"origin","4980000","78.06676745414734"
"origin","4990000","78.21072053909302"
"origin","5000000","78.3557059764862"
"origin","5010000","78.50706577301025"
"origin","5020000","78.65773010253906"
"origin","5030000","78.81595158576965"
"origin","5040000","78.9680757522583"
"origin","5050000","79.10857200622559"
"origin","5060000","79.25426864624023"
"origin","5070000","79.42515277862549"
"origin","5080000","79.59173393249512"
"origin","5090000","79.7551634311676"
"origin","5100000","79.91761755943298"
"origin","5110000","80.06974577903748"
"origin","5120000","80.21845746040344"
"origin","5130000","80.36843776702881"
"origin","5140000","80.52528238296509"
"origin","5150000","80.68003821372986"
"origin","5160000","80.8324646949768"
"origin","5170000","80.98568797111511"
"origin","5180000","81.1393723487854"
"origin","5190000","81.28746843338013"
"origin","5200000","81.43518590927124"
"origin","5210000","81.58395314216614"
"origin","5220000","81.73494815826416"
"origin","5230000","81.88306951522827"
"origin","5240000","82.02928876876831"
"origin","5250000","82.17623853683472"
"origin","5260000","82.3229718208313"
"origin","5270000","82.47935938835144"
"origin","5280000","82.62652087211609"
"origin","5290000","82.77477836608887"
"origin","5300000","82.92002558708191"
"origin","5310000","83.06663823127747"
"origin","5320000","83.21448087692261"
"origin","5330000","83.36478543281555"
"origin","5340000","83.51419281959534"
"oxygen_tolerance","5350000","84.02449345588684"
"oxygen_tolerance","5360000","84.15576457977295"
"oxygen_tolerance","5370000","84.28834795951843"
"oxygen_tolerance","5380000","84.42170405387878"
"oxygen_tolerance","5390000","84.55426692962646"
"oxygen_tolerance","5400000","84.68796420097351"
"oxygen_tolerance","5410000","84.82431960105896"
"oxygen_tolerance","5420000","84.96041345596313"
"oxygen_tolerance","5430000","85.09643793106079"
"oxygen_tolerance","5440000","85.23293352127075"
"oxygen_tolerance","5450000","85.37119174003601"
"oxygen_tolerance","5460000","85.5086419582367"
"risk_assessment","5470000","86.0089921951294"
"risk_assessment","5480000","86.15382599830627"
"risk_assessment","5490000","86.29811310768127"
"risk_assessment","5500000","86.44204878807068"
"risk_assessment","5510000","86.58584952354431"
"risk_assessment","5520000","86.729567527771"
"risk_assessment","5530000","86.87221693992615"
"risk_assessment","5540000","87.01134061813354"
"risk_assessment","5550000","87.15274429321289"
"risk_assessment","5560000","87.28815650939941"
"risk_assessment","5570000","87.43345832824707"
"risk_assessment","5580000","87.56886863708496"
"risk_assessment","5590000","87.70652794837952"
"risk_assessment","5600000","87.84781312942505"
"spore_formation","5610000","88.18131971359253"
"spore_formation","5620000","88.32759428024292"
"spore_formation","5630000","88.47104549407959"
"culture_medium","5640000","89.6902859210968"
"culture_medium","5650000","89.8152711391449"
"culture_medium","5660000","89.93868374824524"
"culture_medium","5670000","90.0642523765564"
"culture_medium","5680000","90.18895053863525"
"culture_medium","5690000","90.31213665008545"
"culture_medium","5700000","90.43568515777588"
"culture_medium","5710000","90.55776572227478"
"culture_medium","5720000","90.6821973323822"
"culture_medium","5730000","90.80755686759949"
"culture_medium","5740000","90.93006706237793"
"culture_medium","5750000","91.05350518226624"
"culture_medium","5760000","91.17620301246643"
"culture_medium","5770000","91.2976393699646"
"culture_medium","5780000","91.42107391357422"
"culture_medium","5790000","91.54362416267395"
"culture_medium","5800000","91.6675956249237"
"culture_medium","5810000","91.83439254760742"
"culture_medium","5820000","91.97480916976929"
"culture_medium","5830000","92.11398935317993"
"culture_medium","5840000","92.25530743598938"
"culture_medium","5850000","92.39552569389343"
"culture_medium","5860000","92.5298216342926"
"culture_medium","5870000","92.65456104278564"
"culture_medium","5880000","92.77908301353455"
"culture_medium","5890000","92.90228986740112"
