ID_cell_morphology,cell_len,rgStart_len,rgEnd_len,cell_len_unit,cell_width,rgStart_wid,rgEnd_wid,cell_width_unit,cell_shape,motility,flagellum_arrangement,gram_stain,ID_strains,ID_reference,manual_annotation,api_import,last_change
2,1.1-2.3,1.1,2.3,µm,,,,,rod-shaped,,,,131,22887,1,,2017-01-23 08:54:19
3,1.4,1.4,1.4,µm,0.6,0.6,0.6,µm,,,,,132,21411,1,,2016-06-07 08:53:46
39,1.3-1.6,1.3,1.6,µm,0.8-1.2,0.8,1.2,µm,,0.0,,,11,23232,1,,2017-01-23 09:18:52
6,1.4,1.4,1.4,µm,0.8,0.8,0.8,µm,rod-shaped,,monotrichous,,374,22906,1,,2017-01-13 12:05:12
8,5.5-6,5.5,6.0,µm,,,,µm,,,,,654,22893,1,,2017-01-23 08:54:19
9,1-1.2,1.0,1.2,µm,0.5-0.7,0.5,0.7,µm,,,,,1264,22902,1,,2017-01-23 09:18:52
10,3-10,3.0,10.0,µm,,,,µm,,,,,1265,22896,1,,2017-01-23 08:54:19
11,,,,,,,,,,,,positive,1265,22897,1,,2016-06-07 08:53:46
12,,,,,,,,,rod-shaped,,,positive,1290,22892,1,,2017-01-13 12:05:12
13,1.5,1.5,1.5,µm,0.5,0.5,0.5,µm,,,,variable,1757,22917,1,,2016-06-07 08:53:46
14,,,,,,,,,rod-shaped,,"monotrichous, polar",,2085,22944,1,,2017-01-13 12:05:12
15,1-1.5,1.0,1.5,µm,,,,µm,,,,,2421,22907,1,,2017-01-23 08:54:19
16,2,2.0,2.0,µm,0.5-1.5,0.5,1.5,µm,,,,,5117,22945,1,,2017-01-23 09:18:52
17,,,,,,,,,,,,negative,5762,22916,1,,2016-06-07 08:53:46
18,2.5-5,2.5,5.0,µm,0.5-1,0.5,1.0,µm,rod-shaped,,polar,negative,6102,22920,1,,2017-01-23 09:18:52
19,,,,,,,,,,,,positive,6596,22931,1,,2016-06-07 08:53:46
20,,,,,,,,,,,,positive,6655,22929,1,,2016-06-07 08:53:46
21,,,,,,,,,rod-shaped,,,,6875,22933,1,,2017-01-13 12:05:12
22,,,,,,,,,,,,positive,11256,22955,1,,2016-06-07 08:53:46
23,,,,,,,,,rod-shaped,,,negative,11874,22935,1,,2017-01-13 12:05:12
24,,,,,,,,,rod-shaped,,,,11874,22936,1,,2017-01-13 12:05:12
25,,,,,,,,,,,,positive,12583,22921,1,,2016-06-07 08:53:46
26,0.2-0.6,0.2,0.6,µm,,,,µm,rod-shaped,,"monotrichous, polar",negative,12800,22938,1,,2017-01-23 08:54:19
27,,,,,,,,,rod-shaped,,,,12800,22939,1,,2017-01-13 12:05:12
28,,,,,,,,,rod-shaped,,,negative,12851,22942,1,,2017-12-05 13:55:35
29,1-2,1.0,2.0,µm,0.3-0.6,0.3,0.6,µm,,,,,12851,22941,1,,2017-01-23 09:18:52
30,,,,,,,,,rod-shaped,,polar,negative,12871,22942,1,,2017-01-13 12:05:12
31,,,,,,,,,,,,positive,16741,22925,1,,2016-06-07 08:53:46
32,,,,,,,,,rod-shaped,,,negative,17569,22949,1,,2017-01-13 12:05:12
33,1.5,1.5,1.5,µm,0.5,0.5,0.5,µm,rod-shaped,,polar,negative,17532,22951,1,,2017-01-13 12:05:12
34,2.2,2.2,2.2,µm,0.4,0.4,0.4,µm,,,,,18100,22889,1,,2016-06-07 08:53:46
35,4.7,4.7,4.7,µm,0.8,0.8,0.8,µm,rod-shaped,1.0,,,18157,18281,1,,2017-01-13 12:05:12
36,10,10.0,10.0,µm,0.85,0.85,0.85,µm,other,1.0,,negative,23454,21410,1,,2016-06-07 08:53:46
37,2.75,2.75,2.75,µm,0.9,0.9,0.9,µm,rod-shaped,,,negative,24776,21408,1,,2017-01-13 12:05:12
