ID_compound_production,prefix,compound_name,suffix,KindProd_micro,excreted,ID_strains,ID_reference,manual_annotation,FK_tbl_production_micro,timestamp_micro,remarks_micro,last_change
1,,inhibitors for glycoside hydrolases ,,MET,,654,2009,1,1.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
2,L(+),L(+) lactic acid ,,MET,,654,2009,1,2.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
3,alpha,alpha amylase ,,ENZ,,598,2015,1,3.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
4,1,1-deoxynojirimycin,,MET,,598,2015,1,5.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
5,,inhibitors for glycoside hydrolases ,,MET,,598,2015,1,6.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
6,,restriction endonuclease <i>Bam</i>FI (<i>Bam</i>HI) ,BamFI (BamHI),ENZ,,598,2015,1,7.0,2017-12-05 13:45:50,,2018-05-30 11:15:21
7,,restriction endonuclease <i>Bst</i>PI ,BstPI (Bst EII),ENZ,,1419,2023,1,8.0,2017-12-05 12:03:58,,2018-05-30 11:15:21
8,,amylase ,,ENZ,,11475,2025,1,9.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
9,,restriction endonuclease <i>Bce</i>14579 ,Bce 14579,ENZ,,624,2032,1,10.0,2017-12-05 13:34:36,,2018-05-30 11:15:21
10,,urease ,,ENZ,,11981,2034,1,11.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
11,,inhibitors for glycoside hydrolases ,,MET,,11487,2036,1,13.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
12,alpha,alpha hydroxysteroid dehydrogenase ,,ENZ,,2912,2037,1,14.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
13,ß,ß hydroxysteroid dehydrogenase ,,ENZ,,2912,2037,1,15.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
14,,"ribulose-1,5-bisphosphate carboxylase ",,ENZ,,13707,2048,1,16.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
15,,polysaccharides ,,MET,,12751,2061,1,17.0,2007-12-21 16:56:23,(extracellular),2018-05-30 11:15:21
16,,formate dehydrogenase ,,ENZ,,2587,2068,1,19.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
17,,citrate lyase ,,ENZ,,17934,2119,1,22.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
18,,pyruvate synthase ,,ENZ,,2398,88,1,25.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
19,,PHB synthase ,,ENZ,,13901,24,1,26.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
20,,inhibitors for glycoside hydrolases ,,MET,,11480,28,1,27.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
21,,collagenase ,,ENZ,,11420,31,1,28.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
22,,arginine decarboxylase ,,ENZ,,4409,34,1,29.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
23,,glutamate decarboxylase ,,ENZ,,4409,34,1,30.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
24,,histidine decarboxylase ,,ENZ,,4409,34,1,31.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
25,,citric acid ,,MET,,10851,101,1,35.0,2007-12-21 16:56:23,(U.S. Pat. 3.691.012),2018-05-30 11:15:21
26,L,L glutamic acid ,,MET,,10851,101,1,36.0,2007-12-21 16:56:23,"(U.S. Pat. 3,764,473)",2018-05-30 11:15:21
27,,urease ,,ENZ,,11987,104,1,37.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
28,,urease ,,ENZ,,11988,106,1,38.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
29,,indigoidine ,,MET,,7285,135,1,39.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
30,,indigoidine ,,MET,,7532,136,1,40.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
31,,indochrome ,,MET,,7532,136,1,41.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
32,,restriction endonuclease <i>Bsu</i>6633 ,Bsu 6633,ENZ,,1187,140,1,42.0,2017-12-05 12:01:07,,2018-05-30 11:15:21
33,L,L sorbosone ,,MET,,7646,141,1,43.0,2007-12-21 16:56:23,"(U.S. Pat. 3,912,592)",2018-05-30 11:15:21
34,,inhibitors for glycoside hydrolases ,,MET,,11481,147,1,44.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
35,,gramicidin ,,MET,,11410,152,1,45.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
36,,tyrocidin ,,MET,,11410,152,1,49.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
37,,inhibitors for glycoside hydrolases ,,MET,,11482,155,1,53.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
38,,collagenase ,,ENZ,,11411,159,1,54.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
39,,inhibitors for glycoside hydrolases ,,MET,,11483,160,1,55.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
40,,"amylase, thermostable ",,ENZ,,825,183,1,56.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
41,,protease ,,ENZ,,825,183,1,60.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
42,,restriction endonuclease <i>Bcl</i>I ,BclI,ENZ,,825,183,1,62.0,2017-12-05 13:33:17,,2018-05-30 11:15:21
43,,nicotine blue ,,MET,,7576,191,1,63.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
44,,ethanol ,,MET,,14289,194,1,65.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
45,ß,ß gluconases ,,ENZ,,5514,195,1,67.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
46,,"nucleases, extracellular ",,ENZ,,5514,195,1,68.0,2007-12-21 16:56:23,(extracellular),2018-05-30 11:15:21
47,,PHB ,,MET,,2008,197,1,69.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
48,,iodinin ,,MET,,1839,202,1,70.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
49,,restriction endonucleases ,,ENZ,,9592,203,1,71.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
50,,pyrocatechase ,,ENZ,,12873,207,1,72.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
51,D(-),D(-) lactic acid ,,MET,,14385,208,1,75.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
52,D(-),D(-) lactic acid ,,MET,,14386,209,1,76.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
53,DL,DL lactic acid ,,MET,,828,210,1,77.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
54,,"amylase, thermoacidophilic ",,ENZ,,416,211,1,78.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
55,,restriction endonuclease <i>Bac</i>I  (<i>Sac</i>II) ,BacI (SacII),ENZ,,416,211,1,79.0,2017-12-05 14:19:18,,2018-05-30 11:15:21
56,,inhibitors for glycoside hydrolases ,,MET,,821,71,1,80.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
57,,restriction endonuclease <i>Clt</i>I ,CltI,ENZ,,2288,225,1,81.0,2017-12-05 11:53:33,,2018-05-30 11:15:21
58,,"protease, alkaline ",,ENZ,,572,226,1,82.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
59,ß,"ß amylase, alkaline ",,ENZ,,1112,236,1,83.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
60,,glutamate synthase ,,ENZ,,6145,243,1,87.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
61,,luciferase ,,ENZ,,17248,254,1,88.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
62,,vitamin B<SUB>1</SUB><SUB>2</SUB> ,,MET,,721,256,1,90.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
63,,glycine reductase ,,ENZ,,2717,263,1,91.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
64,,acetate kinase ,,ENZ,,16811,265,1,93.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
65,,formate dehydrogenase ,,ENZ,,16811,265,1,94.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
66,,formyltetrahydrofolate synthase ,,ENZ,,16811,265,1,95.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
67,D,D gluconate dehydratase ,,ENZ,,2626,123,1,96.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
68,,granulose phosphorylase ,,ENZ,,2626,123,1,98.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
69,,hydrogenase ,,ENZ,,2626,123,1,99.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
70,,invertase ,,ENZ,,2626,123,1,100.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
71,ß,ß ketothiolase ,,ENZ,,2626,123,1,101.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
72,1,1 phosphofructokinase ,,ENZ,,2626,123,1,102.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
73,,sorbitol-6-phosphate dehydrogenase ,,ENZ,,2626,123,1,103.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
74,5,5 chloroflexirubin ,,MET,,17744,125,1,104.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
75,,flexirubin ,,MET,,17744,125,1,105.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
76,ß-methyl,ß-methyl aspartase ,,ENZ,,2725,126,1,107.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
77,,PHB ,,MET,,2000,129,1,108.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
78,,ribonuclease ,,ENZ,,2004,134,1,109.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
79,,"ribulose-1,5-bisphosphate carboxylase ",,ENZ,,2004,134,1,110.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
80,,poly-ß-hydroxyalkanoates ,,MET,,2017,269,1,111.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
81,,acetaldehyde dehydrogenase ,,ENZ,,2606,276,1,112.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
82,ß,ß hydroxybutyryl-CoA dehydrogenase ,,ENZ,,2606,276,1,115.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
83,,diaphorase ,,ENZ,,2606,276,1,116.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
84,,phosphotransacetylase ,,ENZ,,2606,276,1,117.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
85,,vinylacetyl isomerase ,,ENZ,,2606,276,1,119.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
86,,"amylase, thermostable ",,ENZ,,18045,289,1,120.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
87,,pullulanase ,,ENZ,,18045,289,1,121.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
88,,alginate ,,MET,,12747,295,1,122.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
89,,protease ,,ENZ,,833,296,1,123.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
90,,restriction endonuclease <i>Tth</i>HB8I ,Tth HB8I,ENZ,,16717,297,1,124.0,2017-11-30 15:41:24,,2018-05-30 11:15:21
91,,restriction endonuclease <i>Hgi</i>DI ,"HgiDI, HgiDII",ENZ,,6128,306,1,125.0,2017-12-05 11:13:24,,2018-05-30 11:15:21
92,,glucanases ,,ENZ,,11518,309,1,129.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
93,,bacitracin ,,MET,,686,315,1,133.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
94,(R),(R) citrate synthase ,,ENZ,,2537,316,1,140.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
95,,xanthine dehydrogenase ,,ENZ,,2537,316,1,141.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
96,,xanthine dehydrogenase ,,ENZ,,2577,317,1,142.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
97,L,L asparaginase ,,ENZ,,4419,321,1,143.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
98,,restriction endonuclease <i>Tfl</i>I (<i>Taq</i>I) ,"TaqI, TaqII",ENZ,,16714,328,1,144.0,2017-11-30 15:47:35,,2018-05-30 11:15:21
99,L,L alanine dehydrogenase ,,ENZ,,5908,351,1,146.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
100,L,L alanine dehydrogenase ,,ENZ,,5909,352,1,147.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
101,,restriction endonuclease <i>Tfl</i>I (<i>Taq</i>I) ,TflI (TaqI),ENZ,,16718,355,1,148.0,2017-11-30 15:47:10,,2018-05-30 11:15:21
102,L,L desoxynojirimycin ,,MET,,1074,356,1,149.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
103,,inhibitors for glycoside hydrolases ,,MET,,1074,356,1,150.0,2007-12-21 16:56:23,"(Brit. Pat. 155,409)",2018-05-30 11:15:21
104,,threonine deaminase ,,ENZ,,30,363,1,151.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
105,,kalafungin ,,MET,,16033,376,1,156.0,2007-12-21 16:56:23,"(U.S. Pat. 3,300,382)",2018-05-30 11:15:21
106,,cephemimycin ,,MET,,15620,420,1,162.0,2007-12-21 16:56:23,"(U.S. Pat. 3,865,693)",2018-05-30 11:15:21
107,,haemolysins ,,MET,,2631,428,1,163.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
108,,lecithinase ,,ENZ,,2631,428,1,164.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
109,,lethal toxins ,,MET,,2631,428,1,165.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
110,,phospholipase C ,,ENZ,,2631,428,1,166.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
111,,ornithine cyclase ,,ENZ,,2709,437,1,169.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
112,,proline dehydrogenase ,,ENZ,,2709,437,1,170.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
113,,acetone ,,MET,,2529,449,1,174.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
114,n,n butanol ,,MET,,2529,449,1,175.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
115,,megalomycin ,,MET,,7895,458,1,176.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
116,,rosaramycin ,,MET,,7893,459,1,177.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
117,,superoxide dismutase ,,ENZ,,6142,463,1,178.0,2007-12-21 16:56:23,,2018-05-30 11:15:21
118,,lipoxamycin ,,MET,,16105,393,1,248.0,2007-12-21 16:56:23,"(U.S. Pat. 3,629,402)",2018-05-30 11:15:21
119,,novenamine ,,MET,,7537,394,1,251.0,2007-12-21 16:56:23,"(U.S. Pat. 3,652,536; U.S. Pat. 3,730,839)",2018-05-30 11:15:21
120,7-O,7-O demethylcaelesticetin ,,MET,,15061,395,1,254.0,2007-12-21 16:56:23,"(U.S. Pat. 3,817,979)",2018-05-30 11:15:21
121,trans-4-ethyl-L,trans-4-ethyl-L proline ,,MET,,15376,396,1,256.0,2007-12-21 16:56:23,"(U.S. Pat. 3,753,859)",2018-05-30 11:15:21
122,trans-4-n-propyl-L,trans-4-n-propyl-L proline ,,MET,,15376,396,1,257.0,2007-12-21 16:56:23,"(U.S. Pat. 3,753,859)",2018-05-30 11:15:21
