ID_culture_collection,Acronym_col,Acronym_col_num,URL_general,URL_str_num,Culture_Collection,last_change,matches_count
1,ABKMI,ABKMI,,,"Department of Applied Biology, Faculty of science",2021-10-07 06:08:25,0
2,ABRC,ABRC,,,Anaerobic Bacterial Resource Centre,2021-10-07 06:08:25,0
3,ABRIICC,ABRIICC,http://www.abrii.ac.ir/,,ABRIICC Agricultural Biotechnology Research Institute of Iran Culture collection,2021-10-07 06:08:25,0
4,ACA-DC,ACA-DC,,,Greek Coordinated Collections of Microorganisms,2021-10-07 06:08:26,2
5,ACAM,ACAM,http://www.antcrc.utas.edu.au/antcrc/micropro/acaminfo.html,,The Australian Collection of Antarctic Microorganisms,2021-10-07 06:08:26,53
6,ACBR,ACBR,http://www.biotec.boku.ac.at/acbr.html,,Austrian Center of Biological Resources and Applied Mycology,2021-10-07 06:08:26,0
7,ACCC,ACCC,http://www.im.ac.cn/institutes/accc/accc.html,,Agricultural Culture Collection of China,2021-10-07 06:08:26,80
8,ACCS,ACCS,,,Algae Culture Collection of Siberia,2021-10-07 06:08:26,0
9,ACH,ACH,,,Mycology Culture Collection,2021-10-07 06:08:27,0
10,ACM,ACM,http://www.biosci.uq.edu.au/micro/,,University of Queensland Microbial Culture Collection,2021-10-07 06:08:27,52
11,ACOI,ACOI,http://www.uc.pt/botanica/ACOI.htm,,Algoteca de Coimbra,2021-10-07 06:08:27,0
12,ACTINOCC,ACTINOCC,http://biyomuhendislik.ege.edu.tr/,,Ege University Actinomycetes Culture Collection,2021-10-07 06:08:27,0
13,ACUS,ACUS,,,Algal Collection of Sofia University,2021-10-07 06:08:27,0
14,AGO,AGO,,,"Arocrete Group Co.,",2021-10-07 06:08:30,0
15,AHLDA,AHLDA,,,Animal Health Division Culture Collection,2021-10-07 06:08:30,0
16,AHU,AHU,http://www.agr.hokudai.ac.jp/oukin/index.html,,AHU Culture Collection,2021-10-07 06:08:31,7
17,ALCP,ALCP,,,Algotheque du Laboratoire de Cryptogamie,2021-10-07 06:08:33,0
18,ALGOBANK,ALGOBANK,http://www.unicaen.fr/unicaen/ufr/ibba/lbbm/algobank,,ALGOBANK,2021-10-07 06:08:33,0
19,ALIRU,ALIRU,,,Australian Legume Inoculants Research Unit,2021-10-07 06:08:33,0
20,AMMRL,AMMRL,,,Australian National Reference Laboratory in Medical Mycology,2021-10-07 06:08:35,0
21,ANACC,ANACC,http://www.csiro.au/ANACC,,Australian National Algae Culture Collection,2021-10-07 06:08:36,0
22,ARSEF,ARSEF,http://arsef.fpsnl.cornell.edu/,,ARS Collection of Entomopathogenic Fungi,2021-10-07 06:08:39,0
23,ASIB,ASIB,,,Algensammlung am Institut fur Botanik,2021-10-07 06:08:40,0
24,ATCC,ATCC,http://www.atcc.org/,https://www.atcc.org/products/#####CULCOLNO#####,American Type Culture Collection,2022-04-05 08:28:14,5767
25,ATHUM,ATHUM,,,ATHUM Culture Collection of Fungi,2021-10-07 06:08:41,0
26,ATU,ATU,http://www.a.u-tokyo.ac.jp/english/index.html,,Dept.of Biotechnology University of Tokyo,2021-10-07 06:08:42,0
27,AWRI MCC,AWRI MCC,http://www.awri.com.au/,,AWRI Microorganisms Culture Collection,2021-10-07 06:08:43,0
28,AYL,AYL,,,WHYLABS RESOURCE CENTRE FOR MICROORGANISMS,2021-10-07 06:08:43,0
29,BACC,BACC,http://www.anses.fr/,,Brucella ANSES Culture Collection,2021-10-07 06:08:43,0
30,BBLF,BBLF,,,Institut fur Pflanzenschutz im Forst,2021-10-07 06:08:45,0
31,BBPP,BBPP,,,"Bacteriology Branch, Plant Pathology and Microbiology Division, Department of Agricultural Science",2021-10-07 06:08:45,0
