ID_enzymes,enzyme,activity,ec_number,exoenzyme,production,ID_strains,ID_reference,manual_annotation,last_change
2,cytochrome oxidase,-,1.9.3.1,,,12,23233,1,2016-05-19 11:19:30
3,catalase,+,1.11.1.6,,,4,22886,1,2016-05-19 11:19:30
4,gelatinase,-,,,,550,22888,1,2016-05-19 11:19:30
5,arginine dihydrolase,-,3.5.3.6,,,598,24474,1,2017-03-15 08:42:50
6,alpha-chymotrypsin,+,3.4.21.1,,,1290,22891,1,2016-05-19 11:19:30
7,beta-glucuronidase,-,3.2.1.31,,,1290,22891,1,2016-05-19 11:19:30
8,cytochrome oxidase,+,1.9.3.1,,,1290,22891,1,2016-05-19 11:19:30
9,arginine dihydrolase,-,3.5.3.6,,,1290,22892,1,2016-05-19 11:19:30
10,gelatinase,+,,,,1290,22892,1,2016-05-19 11:19:30
11,lysine decarboxylase,+,4.1.1.18,,,1290,22892,1,2016-05-19 11:19:30
12,ornithine decarboxylase,+,4.1.1.17,,,1290,22892,1,2016-05-19 11:19:30
13,cytochrome oxidase,+,1.9.3.1,,,1290,22892,1,2016-05-19 11:19:30
14,tryptophan deaminase,+,4.1.99.1,,,1290,22892,1,2016-05-19 11:19:30
15,lipase (Tween 80),-,,,,1290,22892,1,2016-05-19 11:19:30
16,urease,+,3.5.1.5,,,1290,22892,1,2016-05-19 11:19:30
17,caseinase,+,3.4.21.50,,,1290,22892,1,2016-05-19 11:19:30
18,arginine decarboxylase,-,4.1.1.19,,,1290,22892,1,2016-05-19 11:19:30
19,beta-galactosidase,+,3.2.1.23,,,654,22893,1,2016-05-19 11:19:30
20,gelatinase,-,,,,654,22893,1,2016-05-19 11:19:30
21,arginine dihydrolase,-,3.5.3.6,,,654,22894,1,2016-05-19 11:19:30
22,gelatinase,-,,,,654,22894,1,2016-05-19 11:19:30
23,lysine decarboxylase,-,4.1.1.18,,,654,22894,1,2016-05-19 11:19:30
24,ornithine decarboxylase,-,4.1.1.17,,,654,22894,1,2016-05-19 11:19:30
25,tryptophan deaminase,-,4.1.99.1,,,654,22894,1,2016-05-19 11:19:30
26,urease,-,3.5.1.5,,,654,22894,1,2016-05-19 11:19:30
27,beta-galactosidase,+/-,3.2.1.23,,,1265,22895,1,2016-05-19 11:19:30
28,gelatinase,+/-,,,,1265,22895,1,2016-05-19 11:19:30
29,cytochrome oxidase,+/-,1.9.3.1,,,1265,22895,1,2016-05-19 11:19:30
30,arginine dihydrolase,-,3.5.3.6,,,1265,22896,1,2016-05-19 11:19:30
31,beta-galactosidase,-,3.2.1.23,,,1265,22896,1,2016-05-19 11:19:30
32,gelatinase,+,,,,1265,22896,1,2016-05-19 11:19:30
33,catalase,+,1.11.1.6,,,1265,22897,1,2016-05-19 11:19:30
34,cytochrome oxidase,-,1.9.3.1,,,1265,22897,1,2016-05-19 11:19:30
35,acid phosphatase,-,3.1.3.2,,,1265,22898,1,2016-05-19 11:19:30
