ID_halophily,halophily,salt,salt_concentration,rgStart,rgEnd,salt_concentration_unit,ability,test_type,ID_strains,ID_reference,manual_annotation,last_change
1,,NaCl,2.5,2.5,2.5,%(w/v),positive,maximum,550,22888,1,2016-08-15 08:37:37
2,,NaCl,11.6,11.6,11.6,%(w/v),positive,resistant,1290,22892,1,2016-08-15 08:37:37
3,,NaCl,1,1.0,1.0,%(w/v),positive,growth,1419,22918,1,2016-08-15 08:37:37
4,,NaCl,5,5.0,5.0,%(w/v),no,growth,1419,22918,1,2016-08-15 08:38:02
5,,NaCl,5,5.0,5.0,%,positive,maximum,1678,19736,1,2016-08-15 08:37:37
6,,NaCl,5,5.0,5.0,%,positive,maximum,1770,18434,1,2016-08-15 08:37:37
7,,NaCl,7.5,7.5,7.5,%,positive,maximum,1776,21362,1,2016-08-15 08:37:37
8,,NaCl,10,10.0,10.0,%,positive,maximum,1834,18455,1,2016-08-15 08:37:37
9,,NaCl,7.5,7.5,7.5,%,positive,maximum,1838,18768,1,2016-08-15 08:37:37
10,,NaCl,10,10.0,10.0,%,positive,maximum,1840,18764,1,2016-08-15 08:37:37
11,,NaCl,7.5,7.5,7.5,%,positive,maximum,1846,20209,1,2016-08-15 08:37:37
12,,NaCl,2.5,2.5,2.5,%,positive,maximum,1847,20210,1,2016-08-15 08:37:37
13,,NaCl,10,10.0,10.0,%,positive,maximum,1870,21356,1,2016-08-15 08:37:37
14,,NaCl,10,10.0,10.0,%,positive,maximum,1871,21366,1,2016-08-15 08:37:37
15,,NaCl,2.5,2.5,2.5,%,positive,maximum,2350,18418,1,2016-08-15 08:37:37
16,,NaCl,2.5,2.5,2.5,%,positive,maximum,2351,18621,1,2016-08-15 08:37:37
17,,NaCl,0,0.0,0.0,%,positive,growth,2352,18304,1,2016-12-15 08:14:08
18,,NaCl,2.5,2.5,2.5,%,positive,maximum,2354,18620,1,2016-08-15 08:37:37
19,,NaCl,5,5.0,5.0,%,positive,maximum,2356,18417,1,2016-08-15 08:37:37
20,,NaCl,5,5.0,5.0,%,positive,maximum,2357,19788,1,2016-08-15 08:37:37
21,,NaCl,5,5.0,5.0,%,positive,maximum,2360,20213,1,2016-08-15 08:37:37
22,,NaCl,7.5,7.5,7.5,%,positive,maximum,2378,18449,1,2016-08-15 08:37:37
23,,NaCl,2.5,2.5,2.5,%,positive,maximum,2385,18460,1,2016-08-15 08:37:37
24,,NaCl,7.5,7.5,7.5,%,positive,maximum,3078,19791,1,2016-08-15 08:37:37
25,,NaCl,2.5,2.5,2.5,%,positive,maximum,3080,18438,1,2016-08-15 08:37:37
26,,NaCl,2.5,2.5,2.5,%,positive,maximum,3082,18762,1,2016-08-15 08:37:37
27,,NaCl,2.5,2.5,2.5,%,positive,maximum,3083,18425,1,2016-08-15 08:37:37
28,,NaCl,5,5.0,5.0,%,positive,maximum,3084,18445,1,2016-08-15 08:37:37
29,,NaCl,7.5,7.5,7.5,%,positive,maximum,3085,18637,1,2016-08-15 08:37:37
30,,NaCl,2.5,2.5,2.5,%,positive,maximum,3092,18740,1,2016-08-15 08:37:37
31,,NaCl,5,5.0,5.0,%,positive,maximum,3101,18459,1,2016-08-15 08:37:37
32,,NaCl,10,10.0,10.0,%,positive,maximum,3105,18454,1,2016-08-15 08:37:37
33,,NaCl,5,5.0,5.0,%,positive,maximum,3107,18765,1,2016-08-15 08:37:37
34,,NaCl,7.5,7.5,7.5,%,positive,maximum,3108,18444,1,2016-08-15 08:37:37
35,,NaCl,7.5,7.5,7.5,%,positive,maximum,3116,18769,1,2016-08-15 08:37:37
36,,NaCl,7.5,7.5,7.5,%,positive,maximum,3123,18456,1,2016-08-15 08:37:37
37,,NaCl,2.5,2.5,2.5,%,positive,maximum,3124,18626,1,2016-08-15 08:37:37
38,,NaCl,0,0.0,0.0,%,positive,growth,3128,18636,1,2016-12-15 08:14:08
39,,NaCl,10,10.0,10.0,%,positive,maximum,3131,18458,1,2016-08-15 08:37:37
40,,NaCl,7.5,7.5,7.5,%,positive,maximum,3134,20198,1,2016-08-15 08:37:37
41,,NaCl,5,5.0,5.0,%,positive,maximum,3148,19724,1,2016-08-15 08:37:37
42,,NaCl,2.5,2.5,2.5,%,positive,maximum,3166,19643,1,2016-08-15 08:37:37
43,,NaCl,5,5.0,5.0,%,positive,maximum,3167,20040,1,2016-08-15 08:37:37
44,,NaCl,7.5,7.5,7.5,%,positive,maximum,3245,20211,1,2016-08-15 08:37:37
45,,NaCl,7.5,7.5,7.5,%,positive,maximum,3902,20197,1,2016-08-15 08:37:37
46,,NaCl,10,10.0,10.0,%,positive,maximum,3918,19723,1,2016-08-15 08:37:37
47,,NaCl,5,5.0,5.0,%,positive,maximum,3921,18435,1,2016-08-15 08:37:37
48,,NaCl,2.5,2.5,2.5,%,positive,maximum,3940,20013,1,2016-08-15 08:37:37
49,,NaCl,7.5,7.5,7.5,%,positive,maximum,3942,19847,1,2016-08-15 08:37:37
50,,NaCl,10,10.0,10.0,%,positive,maximum,4263,21435,1,2016-08-15 08:37:37
51,,NaCl,7.5,7.5,7.5,%,positive,maximum,4265,21439,1,2016-08-15 08:37:37
52,,NaCl,2.5,2.5,2.5,%,positive,maximum,5815,19943,1,2016-08-15 08:37:37
53,,NaCl,0,0.0,0.0,%,positive,growth,5823,21393,1,2016-12-15 08:14:08
54,,NaCl,2.5,2.5,2.5,%,positive,maximum,5833,19594,1,2016-08-15 08:37:37
55,,NaCl,2.5,2.5,2.5,%,positive,maximum,5835,20196,1,2016-08-15 08:37:37
56,,NaCl,10,10.0,10.0,%,positive,maximum,6284,21354,1,2016-08-15 08:37:37
57,,NaCl,5,5.0,5.0,%,positive,maximum,6285,18741,1,2016-08-15 08:37:37
58,,NaCl,0,0.0,0.0,%,positive,growth,6290,21351,1,2016-12-15 08:14:08
59,,NaCl,5,5.0,5.0,%,positive,maximum,6291,20037,1,2016-08-15 08:37:37
60,,NaCl,0,0.0,0.0,%,positive,growth,6304,21352,1,2016-12-15 08:14:08
61,,NaCl,2.5,2.5,2.5,%,positive,maximum,6312,21371,1,2016-08-15 08:37:37
62,,NaCl,7.5,7.5,7.5,%,positive,maximum,6314,18763,1,2016-08-15 08:37:37
63,,NaCl,2.5,2.5,2.5,%,positive,maximum,6316,19728,1,2016-08-15 08:37:37
64,,NaCl,0,0.0,0.0,%,positive,growth,6321,19969,1,2016-12-15 08:14:08
65,,NaCl,2.5,2.5,2.5,%,positive,maximum,7250,19735,1,2016-08-15 08:37:37
66,,NaCl,2.5,2.5,2.5,%,positive,maximum,7252,18500,1,2016-08-15 08:37:37
67,,NaCl,0,0.0,0.0,%,positive,growth,7260,19933,1,2016-12-15 08:14:08
68,,NaCl,2.5,2.5,2.5,%,positive,maximum,7281,21416,1,2016-08-15 08:37:37
69,,NaCl,5,5.0,5.0,%,positive,maximum,7307,18443,1,2016-08-15 08:37:37
70,,NaCl,5,5.0,5.0,%,positive,maximum,7308,18752,1,2016-08-15 08:37:37
71,,NaCl,5,5.0,5.0,%,positive,maximum,7315,18757,1,2016-08-15 08:37:37
72,,NaCl,7.5,7.5,7.5,%,positive,maximum,7317,18446,1,2016-08-15 08:37:37
73,,NaCl,5,5.0,5.0,%,positive,maximum,7338,20193,1,2016-08-15 08:37:37
74,,NaCl,5,5.0,5.0,%,positive,maximum,7339,18306,1,2016-08-15 08:37:37
75,,NaCl,10,10.0,10.0,%,positive,maximum,7346,21375,1,2016-08-15 08:37:37
76,,NaCl,5,5.0,5.0,%,positive,maximum,7358,21415,1,2016-08-15 08:37:37
77,,NaCl,5,5.0,5.0,%,positive,maximum,7359,21368,1,2016-08-15 08:37:37
78,,NaCl,5,5.0,5.0,%,positive,maximum,7363,18629,1,2016-08-15 08:37:37
79,,NaCl,0,0.0,0.0,%,positive,growth,7364,18767,1,2016-12-15 08:14:08
80,,NaCl,0,0.0,0.0,%,positive,growth,7365,18635,1,2016-12-15 08:14:08
81,,NaCl,0,0.0,0.0,%,positive,growth,7366,18748,1,2016-12-15 08:14:08
82,,NaCl,5,5.0,5.0,%,positive,maximum,7367,18634,1,2016-08-15 08:37:37
83,,NaCl,5,5.0,5.0,%,positive,maximum,7370,18772,1,2016-08-15 08:37:37
84,,NaCl,7.5,7.5,7.5,%,positive,maximum,7371,18753,1,2016-08-15 08:37:37
85,,NaCl,7.5,7.5,7.5,%,positive,maximum,7373,18441,1,2016-08-15 08:37:37
86,,NaCl,5,5.0,5.0,%,positive,maximum,7375,18423,1,2016-08-15 08:37:37
87,,NaCl,5,5.0,5.0,%,positive,maximum,7380,18766,1,2016-08-15 08:37:37
88,,NaCl,5,5.0,5.0,%,positive,maximum,7448,21376,1,2016-08-15 08:37:37
89,,NaCl,10,10.0,10.0,%,positive,maximum,7449,21360,1,2016-08-15 08:37:37
90,,NaCl,10,10.0,10.0,%,positive,maximum,7453,21414,1,2016-08-15 08:37:37
91,,NaCl,5,5.0,5.0,%,positive,maximum,7456,21379,1,2016-08-15 08:37:37
92,,NaCl,5,5.0,5.0,%,positive,maximum,7480,21373,1,2016-08-15 08:37:37
93,,NaCl,5,5.0,5.0,%,positive,maximum,7482,19726,1,2016-08-15 08:37:37
94,,NaCl,5,5.0,5.0,%,positive,maximum,7484,19725,1,2016-08-15 08:37:37
95,,NaCl,5,5.0,5.0,%,positive,maximum,7485,19727,1,2016-08-15 08:37:37
96,,NaCl,10,10.0,10.0,%,positive,maximum,7506,21377,1,2016-08-15 08:37:37
97,,NaCl,0,0.0,0.0,%,positive,growth,7508,21380,1,2016-12-15 08:14:08
98,,NaCl,7.5,7.5,7.5,%,positive,maximum,7510,21413,1,2016-08-15 08:37:37
99,,NaCl,0,0.0,0.0,%,positive,growth,7519,18420,1,2016-12-15 08:14:08
100,,NaCl,7.5,7.5,7.5,%,positive,maximum,7520,18422,1,2016-08-15 08:37:37
101,,NaCl,5,5.0,5.0,%,positive,maximum,7521,18421,1,2016-08-15 08:37:37
102,,NaCl,0,0.0,0.0,%,positive,growth,7523,18419,1,2016-12-15 08:14:08
103,,NaCl,0,0.0,0.0,%,positive,growth,7529,18622,1,2016-12-15 08:14:08
104,,NaCl,5,5.0,5.0,%,positive,maximum,7531,18447,1,2016-08-15 08:37:37
105,,NaCl,7.5,7.5,7.5,%,positive,maximum,7533,18627,1,2016-08-15 08:37:37
106,,NaCl,7.5,7.5,7.5,%,positive,maximum,7566,18427,1,2016-08-15 08:37:37
107,,NaCl,7.5,7.5,7.5,%,positive,maximum,7568,18453,1,2016-08-15 08:37:37
108,,NaCl,0,0.0,0.0,%,positive,growth,7571,18624,1,2016-12-15 08:14:08
109,,NaCl,7.5,7.5,7.5,%,positive,maximum,7573,20200,1,2016-08-15 08:37:37
110,,NaCl,5,5.0,5.0,%,positive,maximum,7575,18759,1,2016-08-15 08:37:37
111,,NaCl,5,5.0,5.0,%,positive,maximum,7576,19535,1,2016-08-15 08:37:37
112,,NaCl,7.5,7.5,7.5,%,positive,maximum,7582,18370,1,2016-08-15 08:37:37
