PK_IS_link,Cat1_link,Cat2_link,Cat3_link,ID_strains,ID_origin
1,1,7.0,,2,961
2,2,16.0,,2,961
3,1,7.0,30.0,4,962
4,1,7.0,30.0,8,1168
5,2,17.0,113.0,9,1167
6,1,7.0,30.0,10,1169
7,1,8.0,,10,1169
8,1,7.0,30.0,11,3238
9,1,8.0,,11,3238
10,1,7.0,30.0,12,3997
11,4,33.0,179.0,13,3989
12,5,42.0,234.0,13,3989
13,5,42.0,237.0,13,3989
14,4,33.0,185.0,14,4650
15,5,42.0,237.0,14,4650
16,4,33.0,185.0,15,4651
17,5,42.0,237.0,15,4651
18,4,33.0,180.0,16,4652
19,5,42.0,236.0,16,4652
20,5,42.0,237.0,17,4653
21,6,48.0,280.0,17,4653
22,4,33.0,179.0,18,4654
23,5,42.0,237.0,18,4654
24,1,7.0,30.0,19,14501
25,2,16.0,,19,14501
26,1,7.0,30.0,20,14619
27,5,42.0,237.0,21,6391
28,1,7.0,33.0,22,6392
29,5,42.0,237.0,22,6392
30,1,7.0,,23,6826
31,5,42.0,237.0,23,6826
32,1,11.0,60.0,26,697
33,2,14.0,,26,697
34,2,17.0,105.0,26,697
35,1,11.0,60.0,27,698
36,1,10.0,312.0,27,698
37,2,17.0,105.0,27,698
38,1,11.0,60.0,28,785
39,2,14.0,,28,785
40,7,51.0,,28,785
41,1,3.0,,29,2437
42,4,32.0,172.0,30,245
43,1,11.0,60.0,31,3010
44,2,14.0,,31,3010
45,7,51.0,,31,3010
46,1,11.0,60.0,32,3008
47,2,14.0,,32,3008
48,7,51.0,,32,3008
49,1,2.0,,33,1448
50,4,37.0,,33,1448
51,4,33.0,184.0,34,23403
52,5,42.0,236.0,34,23403
53,4,33.0,180.0,35,13858
54,4,33.0,180.0,36,13857
55,4,33.0,180.0,37,13856
56,2,17.0,113.0,38,23404
57,2,17.0,104.0,39,13981
58,2,17.0,113.0,39,13981
59,4,33.0,180.0,40,1481
60,5,42.0,243.0,40,1481
61,4,33.0,184.0,41,1483
62,4,33.0,185.0,41,1483
63,5,42.0,237.0,41,1483
64,3,18.0,,42,23406
65,4,28.0,,42,23406
67,5,42.0,239.0,42,23406
68,4,25.0,137.0,42,3505
69,4,33.0,180.0,42,3505
70,4,33.0,180.0,43,3791
71,5,42.0,242.0,43,3791
72,4,33.0,180.0,44,3792
73,5,42.0,242.0,44,3792
74,1,7.0,,45,14682
75,5,42.0,237.0,45,14682
76,4,32.0,172.0,46,490
77,1,7.0,30.0,49,1991
78,4,33.0,180.0,50,9888
79,5,42.0,237.0,50,9888
80,4,33.0,180.0,53,1992
81,5,42.0,237.0,53,1992
82,4,32.0,172.0,55,1993
83,7,51.0,,55,1993
84,4,33.0,185.0,56,2473
85,5,42.0,237.0,56,2473
86,4,33.0,185.0,57,2474
87,5,42.0,237.0,57,2474
88,4,33.0,185.0,58,4014
89,2,14.0,88.0,59,1422
90,7,56.0,,59,1422
94,7,57.0,,60,2222
95,2,14.0,74.0,60,23410
96,2,14.0,90.0,60,23410
97,2,16.0,99.0,60,23410
98,4,32.0,172.0,60,23410
99,2,14.0,79.0,61,6973
100,2,14.0,87.0,61,6973
101,7,52.0,,61,6973
102,2,14.0,90.0,62,3985
103,7,57.0,,62,3985
104,5,42.0,237.0,63,4678
106,2,17.0,113.0,64,23412
107,1,10.0,64.0,65,23413
108,4,31.0,164.0,65,23413
109,4,31.0,169.0,65,23413
110,6,46.0,268.0,65,23413
111,2,17.0,108.0,66,347
112,2,14.0,87.0,67,4889
113,2,14.0,89.0,67,4889
114,2,14.0,90.0,67,4889
115,7,51.0,,67,4889
116,1,5.0,20.0,68,4135
117,1,5.0,20.0,69,4136
118,1,5.0,19.0,70,14312
122,2,14.0,74.0,71,23415
123,2,14.0,79.0,71,23415
124,2,14.0,87.0,71,23415
126,2,14.0,74.0,72,23416
127,2,17.0,104.0,73,6702
129,2,17.0,113.0,73,23417
130,1,5.0,19.0,74,14166
131,2,14.0,84.0,75,6975
132,2,13.0,,76,6703
134,1,8.0,41.0,77,23419
135,1,11.0,59.0,77,15141
136,1,11.0,59.0,78,15244
137,1,9.0,51.0,79,5315
138,2,14.0,90.0,79,5315
139,7,57.0,,79,5315
141,5,40.0,215.0,80,5790
142,3,,,80,23420
143,3,21.0,,80,23420
145,4,33.0,183.0,81,7037
146,7,51.0,,81,7037
147,2,14.0,92.0,81,23421
148,4,33.0,183.0,82,7579
149,1,7.0,33.0,85,1482
150,4,33.0,184.0,88,1771
151,4,33.0,185.0,88,1771
152,5,42.0,237.0,88,1771
153,1,7.0,33.0,90,9886
154,1,7.0,30.0,91,3239
155,1,8.0,,91,3239
156,1,7.0,30.0,92,3226
157,4,28.0,,92,3226
158,1,7.0,27.0,93,5060
159,6,48.0,280.0,93,5060
160,1,7.0,27.0,94,5208
161,6,48.0,280.0,94,5208
162,4,33.0,185.0,95,4863
163,8,60.0,,95,4863
164,4,29.0,,96,6525
165,1,10.0,312.0,97,13881
166,4,31.0,169.0,98,7545
167,5,38.0,,98,7545
170,4,29.0,,99,12900
171,5,38.0,202.0,99,12900
172,6,45.0,,99,12900
173,4,31.0,,100,4198
174,6,46.0,268.0,100,4198
175,4,31.0,,101,4199
176,6,46.0,268.0,101,4199
177,4,31.0,,102,4200
178,6,46.0,268.0,102,4200
179,4,31.0,160.0,103,2377
180,5,40.0,218.0,103,2377
181,4,31.0,160.0,104,2917
182,5,40.0,218.0,104,2917
183,1,2.0,8.0,105,1647
185,1,9.0,51.0,105,23426
186,2,14.0,84.0,105,23426
187,7,53.0,,105,23426
189,7,57.0,,106,2678
190,2,14.0,90.0,106,23427
191,7,51.0,,106,23427
192,7,56.0,,106,23427
194,1,9.0,51.0,107,2975
195,2,14.0,,107,2975
196,7,51.0,,107,2975
197,1,11.0,60.0,107,23428
198,7,56.0,,107,23428
199,1,11.0,60.0,108,6747
200,2,14.0,,108,6747
201,2,17.0,,109,6769
202,7,51.0,,109,6769
203,2,17.0,112.0,110,6425
204,1,11.0,60.0,114,436
205,2,14.0,,114,436
206,2,14.0,84.0,115,2434
207,2,17.0,105.0,115,2434
208,1,11.0,60.0,116,2435
209,2,14.0,,116,2435
210,1,11.0,60.0,117,3128
211,2,14.0,,117,3128
212,1,11.0,60.0,118,4266
213,7,51.0,,118,4266
214,2,17.0,112.0,119,5596
215,2,17.0,116.0,120,14862
216,2,14.0,84.0,122,220
217,1,3.0,,123,2433
218,1,11.0,60.0,124,3129
219,2,14.0,,124,3129
220,2,17.0,105.0,125,4270
221,1,9.0,51.0,126,2243
222,1,3.0,,127,2436
223,1,11.0,60.0,127,2436
224,1,8.0,,127,2436
225,2,17.0,113.0,128,4001
226,7,51.0,,128,4001
227,7,56.0,,128,4001
228,1,11.0,60.0,129,13695
229,2,14.0,,129,13695
230,7,51.0,,129,13695
231,2,,,131,3009
232,7,51.0,,131,3009
234,8,61.0,297.0,132,6034
235,2,17.0,113.0,132,21956
236,7,54.0,,132,21956
237,2,17.0,104.0,133,6704
239,2,17.0,113.0,133,21957
240,2,17.0,113.0,134,6157
241,2,17.0,113.0,135,13915
242,2,17.0,115.0,135,13915
244,2,17.0,117.0,136,23431
245,4,33.0,183.0,136,23431
246,4,33.0,183.0,137,7580
247,4,33.0,183.0,138,13575
248,4,33.0,183.0,139,13554
249,2,17.0,117.0,139,23434
251,4,33.0,183.0,140,14494
252,1,9.0,51.0,141,13560
253,4,33.0,183.0,141,13560
254,2,17.0,117.0,142,23437
255,4,33.0,183.0,142,23437
256,4,28.0,144.0,143,15136
257,4,33.0,179.0,143,15136
258,6,48.0,284.0,143,15136
259,8,60.0,,143,15136
260,3,18.0,,144,7496
262,5,43.0,,144,7496
263,4,31.0,169.0,144,23439
264,3,18.0,,145,4646
265,4,29.0,148.0,145,4646
266,5,40.0,212.0,145,4646
267,6,45.0,258.0,145,4646
268,3,18.0,,146,4768
269,3,21.0,130.0,146,4768
270,4,29.0,,146,4768
271,6,45.0,265.0,146,4768
272,3,18.0,,147,6547
273,4,29.0,149.0,147,6547
274,6,45.0,265.0,147,6547
275,3,18.0,,148,8434
276,4,31.0,160.0,148,8434
277,5,41.0,226.0,148,8434
278,4,31.0,160.0,149,7501
279,5,41.0,228.0,149,7501
280,5,41.0,232.0,149,7501
281,6,47.0,275.0,150,8432
282,4,29.0,,151,8617
283,5,44.0,253.0,151,8617
284,5,40.0,208.0,151,8617
285,3,18.0,,152,8619
286,4,29.0,,152,8619
287,4,29.0,,153,5475
288,5,41.0,232.0,153,5475
289,6,47.0,271.0,153,5475
290,4,29.0,,154,8433
291,5,41.0,,154,8433
292,5,41.0,232.0,155,6549
293,5,44.0,256.0,155,6549
294,4,29.0,,156,8622
295,5,41.0,232.0,156,8622
296,5,44.0,256.0,156,8622
297,3,22.0,,157,8620
298,5,41.0,,157,8620
299,4,29.0,,158,8790
300,5,41.0,226.0,158,8790
301,4,29.0,,159,1885
302,5,44.0,253.0,159,1885
303,5,40.0,209.0,159,1885
304,4,31.0,161.0,160,7546
305,5,38.0,202.0,160,7546
306,6,45.0,,160,7546
307,5,44.0,253.0,161,23443
308,5,39.0,206.0,161,23443
309,5,40.0,208.0,161,23443
310,5,40.0,221.0,161,23443
311,4,29.0,,161,7547
312,5,41.0,,161,7547
313,6,45.0,,161,7547
314,4,29.0,,162,1884
315,5,41.0,224.0,162,1884
316,3,18.0,,163,8616
317,4,31.0,160.0,163,8616
318,3,18.0,,164,8618
319,4,29.0,,164,8618
320,4,29.0,,165,8621
321,5,41.0,232.0,165,8621
322,6,47.0,271.0,165,8621
324,5,44.0,253.0,166,23446
325,7,53.0,,166,23446
326,3,21.0,127.0,166,2238
328,5,44.0,253.0,167,23447
329,7,53.0,,167,23447
330,3,18.0,,167,2237
331,5,44.0,255.0,167,2237
332,5,38.0,,168,2364
333,5,44.0,253.0,168,2364
334,5,38.0,,169,2363
335,5,44.0,253.0,169,2363
336,3,22.0,,170,23448
337,4,31.0,169.0,170,23448
338,5,44.0,256.0,170,23448
339,6,45.0,,170,23448
340,5,44.0,253.0,171,2949
341,5,44.0,253.0,172,2950
342,5,44.0,255.0,172,2950
343,5,44.0,252.0,173,2951
344,5,44.0,253.0,173,2951
345,3,18.0,,174,23449
347,5,40.0,,174,23449
348,4,36.0,189.0,174,4545
350,4,31.0,163.0,174,4545
351,4,31.0,161.0,175,4464
352,3,18.0,,176,4477
353,4,29.0,,176,4477
354,5,41.0,232.0,176,4477
355,4,31.0,161.0,177,4479
356,5,44.0,253.0,177,4479
357,4,29.0,,178,4478
359,6,45.0,,178,4478
361,4,29.0,149.0,178,23452
362,5,43.0,251.0,178,23452
363,6,49.0,289.0,178,23452
364,4,31.0,161.0,179,4480
365,5,43.0,251.0,179,4480
366,4,31.0,161.0,180,4641
367,5,43.0,251.0,180,4641
368,3,18.0,,181,23455
369,3,21.0,,181,23455
370,4,29.0,149.0,181,23455
371,3,22.0,,181,4642
372,4,29.0,,181,4642
373,6,45.0,258.0,181,4642
374,4,31.0,169.0,182,4643
375,5,44.0,253.0,182,4643
376,5,40.0,216.0,182,4643
377,3,18.0,,183,4576
378,3,21.0,,183,4576
379,5,44.0,,183,4576
380,6,45.0,,183,4576
381,3,19.0,,184,4766
382,3,21.0,130.0,184,4766
383,5,43.0,,184,4766
384,4,31.0,160.0,185,4767
385,5,44.0,256.0,185,4767
386,4,29.0,149.0,186,4645
387,5,41.0,223.0,186,4645
388,3,21.0,129.0,187,23459
391,4,29.0,,187,5476
392,5,41.0,232.0,187,5476
393,5,44.0,253.0,187,5476
394,3,21.0,,188,23460
395,4,29.0,148.0,188,23460
397,4,29.0,,189,6532
400,3,21.0,130.0,189,23461
401,5,41.0,232.0,189,23461
402,5,44.0,253.0,189,23461
403,6,45.0,,189,23461
404,3,21.0,131.0,190,13862
405,5,41.0,224.0,190,13862
406,4,29.0,,191,13877
407,6,47.0,277.0,191,13877
408,3,22.0,,192,13867
409,4,29.0,,192,13867
410,5,40.0,214.0,192,13867
411,6,45.0,258.0,192,13867
412,4,29.0,,193,14587
413,6,45.0,257.0,193,14587
418,3,21.0,130.0,194,13332
419,3,21.0,323.0,194,13332
420,5,44.0,256.0,194,13332
421,1,6.0,,195,15445
422,2,14.0,77.0,195,15445
423,4,31.0,161.0,196,14985
424,5,41.0,,196,14985
425,3,20.0,123.0,198,13690
426,4,31.0,161.0,199,2568
427,5,41.0,225.0,199,2568
428,4,31.0,161.0,200,2569
429,5,41.0,225.0,200,2569
430,4,31.0,161.0,201,2570
431,5,41.0,225.0,201,2570
432,4,36.0,189.0,202,3749
433,4,31.0,163.0,202,3749
434,5,40.0,221.0,202,3749
435,4,31.0,164.0,203,4644
436,5,43.0,251.0,203,4644
437,6,45.0,,203,4644
438,4,31.0,161.0,204,15028
439,5,40.0,209.0,204,15028
440,3,21.0,128.0,205,815
441,4,29.0,,205,815
442,5,43.0,251.0,205,815
443,3,18.0,,206,23466
444,4,29.0,149.0,206,23466
