ID_kit_api_20A,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,ID_strains,ID_reference,manual_annotation,created_20A,modify_in_pgsql_20A,ID_tbl_api_20A,last_change
818,,-,+,+,-,-,-,+,-,-,+,+,-,-,+,+,-,-,-,-,,,,,157670,64239,1,2018-07-25,2018-08-23 10:25:03,419,2019-11-20 06:22:41
817,,-,+,+,-,-,-,-,+/-,-,+,+,-,+/-,+,+,-,-,-,+,,,,,2583,4592,1,2018-08-08,2018-08-22 12:25:04,418,2019-11-20 06:22:41
816,,-,+,+,-,-,-,-,-,-,+,+,-,-,+,+,-,-,-,+,,,,,2583,4592,1,2018-08-08,2018-08-22 12:25:04,417,2019-11-20 06:22:41
815,,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,+,,,,132949,24737,1,2018-08-09,2018-08-22 09:30:05,411,2019-11-20 06:22:41
814,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,130920,22212,1,2018-07-06,2018-07-26 12:05:03,366,2019-11-20 06:22:41
813,-,-,+,+,-,-,-,+,+/-,-,+/-,+,-,-,+,+,-,+,-,+,,+,+,-,2582,627,1,2018-02-01,2018-02-14 13:00:03,280,2019-11-20 06:22:41
812,-,-,+,+/-,+,+,+,-,-,-,+,+,+,-,+,-,-,-,-,+,,,,,2631,428,1,2018-01-18,2018-01-19 09:00:03,279,2019-11-20 06:22:41
811,-,-,+,-,-,-,-,+,+,-,-,+,-,+,-,-,-,-,+,+,,-,-,-,18083,17449,1,2017-11-30,2017-12-05 09:35:03,278,2019-11-20 06:22:41
810,-,-,+,-,+,+,+,-,+,+,-,+,-,+,+,-,+,-,+,-,,,,,1610,6977,1,2017-08-16,2017-08-22 10:55:03,274,2019-11-20 06:22:41
809,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+/-,+,+,-,22963,18803,1,2016-02-04,2017-08-21 13:20:03,273,2019-11-20 06:22:41
808,-,-,+/-,+/-,-,-,-,-,-,-,-,+,-,-,+/-,+/-,-,-,-,+/-,,,,,22963,18803,1,2017-08-16,2017-08-21 11:05:03,272,2019-11-20 06:22:41
