ID_kit_api_20NE,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20NE,modify_in_pgsql_20NE,ID_tbl_api_20NE,last_change
1,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,24777,21408,1,2016-03-30 09:12:05,2016-03-30 09:12:05,,2016-03-22 13:46:10
10569,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,158018,64591,1,2017-12-08 00:00:00,2017-12-08 10:30:05,2265.0,2019-11-20 06:22:46
10568,+,-,-,-,-,+,+,+,+,+,+,+,+,+,+,-,+/-,+,+/-,+/-,,13211,11298,1,2017-10-13 00:00:00,2017-12-01 16:45:03,2260.0,2019-11-20 06:22:46
10567,-,-,-,-,-,+,+,-,+,-,-,-,+,-,+,-,+/-,+,-,-,,13783,5737,1,2017-10-12 00:00:00,2017-12-01 16:40:04,2259.0,2019-11-20 06:22:46
10566,-,-,-,+,-,-,+,-,+,+,+,+,+,-,+,+,-,+,+,-,+,12994,18120,1,2017-11-24 00:00:00,2017-11-24 11:15:03,2252.0,2019-11-20 06:22:46
10565,+,-,-,-,+,-,-,-,+,+,+,+,-,-,+,-,-,+,-,-,+,157987,64560,1,2017-11-23 00:00:00,2017-11-23 11:25:07,2250.0,2019-11-20 06:22:46
10564,+,-,-,-,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+,+,-,157971,64543,1,2017-11-16 00:00:00,2017-11-16 11:35:04,2247.0,2019-11-20 06:22:46
10563,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,+,+,-,+,131912,23704,1,2017-10-26 00:00:00,2017-10-26 11:50:03,2226.0,2019-11-20 06:22:46
10562,+,-,-,+,+,-,-,-,+,-,-,-,-,-,+,+,+,+,+,+,+,12819,4466,1,2017-10-19 00:00:00,2017-10-19 11:35:04,2209.0,2019-11-20 06:22:46
10561,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,2920,9094,1,2017-10-19 00:00:00,2017-10-19 11:35:04,2208.0,2019-11-20 06:22:46
10560,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,132687,24477,1,2017-10-10 00:00:00,2017-10-12 12:50:03,2203.0,2019-11-20 06:22:46
10559,-,-,-,+,+,-,+,-,+,-,-,+,+,-,+,+,+,+,+,-,+,12795,8364,1,2017-10-12 00:00:00,2017-10-12 07:40:03,2202.0,2019-11-20 06:22:46
10558,+,-,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,+,17507,7070,1,2017-10-06 00:00:00,2017-10-06 11:45:03,2201.0,2019-11-20 06:22:46
10557,+,+,+,-,-,+,+,+,-,-,+,+,-,+,+,-,-,+,+,-,+,17263,8215,1,2017-09-29 00:00:00,2017-09-29 09:20:08,2197.0,2019-11-20 06:22:46
10556,+,-,-,+,+,+,+,-,+,-,-,+,+,-,+,+,+,+,+,-,+,12771,3442,1,2017-09-01 00:00:00,2017-09-07 09:15:04,2186.0,2019-11-20 06:22:46
10555,+,-,+,-,-,+,+,+,+,+,+,+,+,+,-,-,-,+,+,-,-,17294,7603,1,2017-09-01 00:00:00,2017-09-07 09:15:04,2185.0,2019-11-20 06:22:46
10554,+,+,-,-,+,-,-,-,+,+,-,-,+,-,+,+,-,+,-,-,+,140141,42748,1,2017-09-01 00:00:00,2017-09-07 09:15:04,2184.0,2019-11-20 06:22:46
10553,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,139785,42393,1,2016-10-13 00:00:00,2017-09-04 09:30:03,2183.0,2019-11-20 06:22:46
10552,+,-,-,+,-,-,+,-,+,-,+,-,+,-,+,+,-,+,-,-,+,10449,9193,1,2017-08-30 00:00:00,2017-09-01 11:05:03,2182.0,2019-11-20 06:22:46
10551,+,-,+,-,-,+,+,+,+,+,+,+,+,+,-,-,-,+,+,-,-,17294,7603,1,2017-08-31 00:00:00,2017-08-31 11:45:03,2181.0,2019-11-20 06:22:46
