ID_kit_api_20STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20STR,modify_in_pgsql_20STR,ID_tbl_api_20STR,last_change
538,+,-,+,-,+,-,+,-,-,-,-,+,+/-,-,+,+,-,+,-,-,-,6825,8748,1,2018-07-10 00:00:00,2018-07-13 09:25:03,55.0,2019-11-20 06:22:46
537,-,-,+/-,+/-,-,-,+,-,+,+,-,-,-,-,+,+,+,+,-,-,-,14749,8916,1,2017-10-10 00:00:00,2017-10-12 07:55:03,54.0,2019-11-20 06:22:46
536,-,-,+,-,+,+,-,-,+,-,-,-,-,-,+,+,+,+,+,+,,24602,21032,1,2016-06-22 00:00:00,2016-06-30 10:20:04,53.0,2019-11-20 06:22:46
535,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,14786,8965,1,2016-03-02 00:00:00,2016-03-01 23:00:00,52.0,2019-11-20 06:22:46
534,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,,24603,21033,1,2014-02-05 00:00:00,2016-01-18 08:02:53,51.0,2019-11-20 06:22:46
533,-,+,-,-,+/-,-,+/-,-,+,-,-,-,-,-,+,+,-,+,-,-,-,14751,18142,1,2013-02-13 00:00:00,2016-01-18 08:02:53,50.0,2019-11-20 06:22:46
532,+,-,+/-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,-,,24606,21036,1,2013-08-28 00:00:00,2016-01-18 08:02:53,49.0,2019-11-20 06:22:46
531,+,-,+,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,+,-,,24606,21036,1,2012-04-03 00:00:00,2016-01-18 08:02:53,48.0,2019-11-20 06:22:46
530,+,-,+/-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,-,+,,24605,21035,1,2013-08-28 00:00:00,2016-01-18 08:02:53,47.0,2019-11-20 06:22:46
529,+,-,+,-,-,-,-,+,+,+,-,-,-,-,+/-,+,-,-,-,+,,24605,21035,1,2012-04-03 00:00:00,2016-01-18 08:02:53,46.0,2019-11-20 06:22:46
528,+,+,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,+,+,-,,5302,18026,1,2011-12-07 00:00:00,2016-01-18 08:02:53,45.0,2019-11-20 06:22:46
527,+,+,+,-,-,-,+,-,-,+,+,+,+,-,+,+,-,+,+/-,-,,5303,18027,1,2014-12-03 00:00:00,2016-01-18 08:02:53,44.0,2019-11-20 06:22:46
526,+,+,+,+,+/-,-,+,-,-,+,+,+,+,+/-,+,+,-,-,+/-,-,,5303,18027,1,2011-12-07 00:00:00,2016-01-18 08:02:53,43.0,2019-11-20 06:22:46
525,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,10513,17651,1,2010-12-21 00:00:00,2016-01-18 08:02:53,42.0,2019-11-20 06:22:46
524,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,,11745,17548,1,2011-01-06 00:00:00,2016-01-18 08:02:53,41.0,2019-11-20 06:22:46
523,+,-,+,-,-,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,,5356,17315,1,2010-10-13 00:00:00,2016-01-18 08:02:53,40.0,2019-11-20 06:22:46
522,+,-,+,-,-,-,+,-,-,-,+/-,+,+/-,-,-,+/-,-,-,-,-,,5355,17314,1,2010-10-13 00:00:00,2016-01-18 08:02:53,39.0,2019-11-20 06:22:46
521,+,-,+,-,-,-,+,-,-,-,+,-,+,-,+/-,+,-,-,-,-,,5354,17313,1,2010-10-13 00:00:00,2016-01-18 08:02:53,38.0,2019-11-20 06:22:46
520,+,-,+,-,-,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,,5353,17312,1,2010-10-13 00:00:00,2016-01-18 08:02:53,37.0,2019-11-20 06:22:46
519,-,-,+,-,+,-,+,-,+,-,-,+,-,-,+,+,-,+,+,+,+,14845,17306,1,2010-07-20 00:00:00,2016-01-18 08:02:53,36.0,2019-11-20 06:22:46
518,+,+,+,+,-,-,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,5362,17327,1,2010-06-08 00:00:00,2016-01-18 08:02:53,35.0,2019-11-20 06:22:46
517,+,-,+,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,+/-,+,14801,16731,1,2009-12-11 00:00:00,2016-01-18 08:02:53,34.0,2019-11-20 06:22:46
516,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,23298,19213,1,2009-02-10 00:00:00,2016-01-18 08:02:53,33.0,2019-11-20 06:22:46
515,-,+,-,+/-,+/-,-,+,+,+,+,+,-,-,-,+,-,-,-,+,-,+,14720,9025,1,2010-04-13 00:00:00,2016-01-18 08:02:53,32.0,2019-11-20 06:22:46
514,-,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,+,-,-,14799,8882,1,2013-02-20 00:00:00,2016-01-18 08:02:53,31.0,2019-11-20 06:22:46
513,+,+,+,+,+,-,+,-,+,+,+,+,+,-,+,+,+,+,+,-,-,5310,8976,1,2010-07-20 00:00:00,2016-01-18 08:02:53,30.0,2019-11-20 06:22:46
512,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,,14786,8965,1,2013-07-03 00:00:00,2016-01-18 08:02:53,29.0,2019-11-20 06:22:46
511,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,,14786,8965,1,2011-01-25 00:00:00,2016-01-18 08:02:53,28.0,2019-11-20 06:22:46
510,+,-,-,-,-,-,-,+,+,+/-,-,-,-,-,-,+/-,-,-,-,-,,14722,8925,1,2010-09-14 00:00:00,2016-01-18 08:02:53,27.0,2019-11-20 06:22:46
509,+,-,+,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,-,,14732,8923,1,2010-04-13 00:00:00,2016-01-18 08:02:53,26.0,2019-11-20 06:22:46
508,+,+,+,+,-,+,-,+,+,+,+,-,+,+,+,+,+,-,-,-,,14787,8919,1,2014-11-13 00:00:00,2016-01-18 08:02:53,25.0,2019-11-20 06:22:46
507,+,+,+,+,-,-,-,+,+,+,+,-,+,+,+,+,+,-,-,-,,14787,8919,1,2012-09-11 00:00:00,2016-01-18 08:02:53,24.0,2019-11-20 06:22:46
506,+,+,+,+,-,+,-,+,+,+,+,-,+,+,+,+,+,-,-,-,-,14787,8919,1,2013-09-18 00:00:00,2016-01-18 08:02:53,23.0,2019-11-20 06:22:46
505,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,+,-,-,-,14785,8848,1,2010-05-27 00:00:00,2016-01-18 08:02:53,22.0,2019-11-20 06:22:46
504,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,,14784,8668,1,2013-10-22 00:00:00,2016-01-18 08:02:53,21.0,2019-11-20 06:22:46
503,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,,14784,8668,1,2010-09-30 00:00:00,2016-01-18 08:02:53,20.0,2019-11-20 06:22:46
502,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,+,+/-,-,-,14766,8498,1,2010-08-03 00:00:00,2016-01-18 08:02:53,19.0,2019-11-20 06:22:46
501,-,-,+,-,+/-,-,-,-,+,-,-,-,-,-,+,+,-,+/-,+/-,-,,14766,8498,1,2014-07-23 00:00:00,2016-01-18 08:02:53,18.0,2019-11-20 06:22:46
500,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,,1890,15442,1,2007-12-18 00:00:00,2016-01-18 08:02:53,17.0,2019-11-20 06:22:46
499,-,-,+,-,+,-,+,-,+,-,-,-,+,-,+,+,+,-,+,+,,14842,7827,1,2007-02-15 00:00:00,2016-01-18 08:02:53,16.0,2019-11-20 06:22:46
498,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,+,,14840,15411,1,2007-02-15 00:00:00,2016-01-18 08:02:53,15.0,2019-11-20 06:22:46
497,-,-,+/-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,,14831,7651,1,2014-03-19 00:00:00,2016-01-18 08:02:53,14.0,2019-11-20 06:22:46
496,+,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,+,-,-,14831,7651,1,2006-11-03 00:00:00,2016-01-18 08:02:53,13.0,2019-11-20 06:22:46
