ID_kit_api_50CHac,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,cupule_33,cupule_34,cupule_35,cupule_36,cupule_37,cupule_38,cupule_39,cupule_40,cupule_41,cupule_42,cupule_43,cupule_44,cupule_45,cupule_46,cupule_47,cupule_48,cupule_49,cupule_50,ID_strains,ID_reference,manual_annotation,created_50CHac,modify_in_pgsql_50CHac,ID_tbl_api_50CHac,last_change
4677,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6379,8393,1,2017-09-04 00:00:00,2017-09-04 11:05:03,824.0,2019-11-20 06:22:47
4676,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,6442,8934,1,2017-07-11 00:00:00,2017-07-11 07:00:03,823.0,2019-11-20 06:22:47
4675,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,-,+,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6469,9030,1,2017-07-03 00:00:00,2017-07-03 14:55:03,822.0,2019-11-20 06:22:47
4674,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,-,+,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,6470,9031,1,2017-07-03 00:00:00,2017-07-03 14:50:04,821.0,2019-11-20 06:22:47
4673,-,+,+,+,+,+,+,-,+,-,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,+,+,-,+,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,-,+,+,+,+,5165,9144,1,2017-06-28 00:00:00,2017-07-03 11:40:03,820.0,2019-11-20 06:22:47
4672,-,-,-,-,+,+,+,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,6656,8906,1,2017-06-26 00:00:00,2017-06-26 13:55:03,816.0,2019-11-20 06:22:47
4671,-,+,+,+/-,+,+,+,-,+,-,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,+,+,-,+,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,-,+,+,+,+,5165,9144,1,2017-06-15 00:00:00,2017-06-26 08:40:03,809.0,2019-11-20 06:22:47
4670,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6471,8503,1,2017-06-23 00:00:00,2017-06-23 09:55:03,800.0,2019-11-20 06:22:47
4669,-,-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,14703,8881,1,2017-06-23 00:00:00,2017-06-23 09:45:03,799.0,2019-11-20 06:22:47
4668,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,6577,4978,1,2017-06-23 00:00:00,2017-06-23 09:45:03,798.0,2019-11-20 06:22:47
4667,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,+,-,+,+,+,+,-,-,+,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,6414,8899,1,2017-06-23 00:00:00,2017-06-23 09:45:03,797.0,2019-11-20 06:22:47
4666,-,-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,14700,8636,1,2017-05-22 00:00:00,2017-05-22 06:15:04,796.0,2019-11-20 06:22:47
