ID_kit_api_coryne,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_COR,modify_in_pgsql_COR,ID_tbl_api_COR,last_change
1,+,-,+,+,-,+,+,+,+,+,-,,+,+,+,-,+,+,+,+,,2381,18292,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
2,-,-,+/-,+/-,-,-,+,-,-,-,-,,-,-,-,-,-,-,+,-,,7590,18294,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
3,,+,+,+,-,+,+,+,+,-,+,,,,,,,,-,,,11070,18295,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
4,-,+,+,+,-,+,+,-,-,-,+,,+,-,-,-,+/-,-,-,-,,7603,18296,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
5,,-,-,+,-,+,+/-,+/-,+,+,+,,,,,,,,-,,,12585,18297,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
6,-,+,+,+,+,+,+,-,-,+,-,,+,-,-,-,-,-,+,-,,7331,18302,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
7,,+,+,+/-,-,+,+,-,+,+,-,,,,,,,,-,,,7273,18303,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
8,-,-,+,-,+,+,+,-,-,+,+,,+,+,-,+,+,+,-,-,,2352,18304,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
9,-,-,-,-,-,-,+,-,+,+,-,,-,-,-,-,-,-,-,-,,7522,18305,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
10,-,+,-,+,-,+,+,+,+,+,-,,-,-,-,-,-,-,+,-,,7339,18306,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
11,-,+/-,-,+,-,-,+,-,-,+,-,,-,-,-,-,-,-,+,-,,6261,18314,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
12,-,-,+,-,-,+,+,-,+,+,-,,+,-,-,-,-,-,-,+,,3908,18315,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
13,+,-,-,-,+,+,+,+,+,-,+,,+,-,+,-,+,+/-,+,+/-,,2372,18317,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
14,-,+,-,+,-,-,+,-,-,-,-,,-,-,-,-,-,-,-,-,,7660,18316,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
15,-,-,+,+,+,+,+,-,+,+,+,,-,-,-,-,-,-,-,-,,6303,18320,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
16,-,-,-,+,+,-,+,-,+,-,+,,-,-,-,-,-,-,+,-,,6271,18321,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
17,+,+,+,+,-,+,+,+,+,+,-,,+,+,+,-,+,+,+,+,,12666,18322,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
18,-,-,+,+,-,-,+,-,+,+,+,,-,-,-,-,-,-,-,-,,11132,18323,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
19,-,-,-,-,-,+,+,-,-,+,+,,-,-,-,-,-,-,+,-,,7622,18324,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
20,-,+,-,+/-,-,+,+,+,+,-,-,,-,-,-,-,-,-,+,-,,12627,18325,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
21,-,-,-,-,-,-,-,-,-,+,-,,-,-,-,-,-,-,-,-,,1867,18327,1,2017-07-04 00:00:00,,,2017-08-22 16:29:05
