ID_kit_api_ID32E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_ID32E,modify_in_pgsql_ID32E,ID_tbl_api_ID32E,last_change
575,-,+,-,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,-,141171,44091,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
576,+,-,+,-,-,-,-,-,-,+,+,+,+,-,-,-,+,+,+,+,+,+,-,-,+,+,+,+,+,+,-,+,142061,45290,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
577,+,-,+,-,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,+,+,+,-,-,+,+,+,+,+,+,-,+,142061,45290,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
578,-,+,-,-,-,-,-,+,+,+,+,+,-,+,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,-,+,+,142087,45318,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
579,-,+,-,-,-,-,-,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,-,-,-,+,-,-,+,-,+,-,142088,45320,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
580,-,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,+,142089,45321,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
581,-,+,-,-,-,-,-,+,-,+,-,+,-,+,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,-,+,-,142091,45323,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
582,-,-,+,+,-,+,-,-,-,+,+,+,+,+,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,4968,45338,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
583,+,+,-,-,-,+,-,+,+,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,135600,45340,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
584,-,-,+,-,-,+,-,-,+,+,+,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,-,-,-,4433,45377,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
