ID_kit_api_ID32STA,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,ID_strains,ID_reference,manual_annotation,created_ID32STA,modify_in_pgsql_ID32STA,ID_tbl_api_ID32STA,last_change
2939,+,+,-,-,+,+,+,+,+,+,+,-,+,+,+,+,+,-,+,-,-,+,+,+,-,-,14473,7719,1,2018-10-11 00:00:00,2018-10-11 12:05:03,497.0,2019-11-20 06:22:49
2938,+,+,-,+/-,+,+,+/-,+,+/-,+,-,-,+,-,+,-,+,-,+,+,-,+,+,-,-,-,158429,65105,1,2017-06-21 00:00:00,2018-09-27 13:50:03,496.0,2019-11-20 06:22:49
2937,+,+,-,-,+,+,+,+,+,+,+,-,-,-,+,+,-,-,+,+,-,+,+,+,-,-,131981,23773,1,2018-08-28 00:00:00,2018-09-10 11:50:03,495.0,2019-11-20 06:22:49
2936,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,133084,24872,1,2018-08-07 00:00:00,2018-09-03 12:35:03,494.0,2019-11-20 06:22:49
2935,-,-,-,-,+,+,+,+,+,+,+,-,-,-,+,+,-,-,+,-,-,+,+,+,-,-,14487,8646,1,2018-07-02 00:00:00,2018-08-01 07:05:04,493.0,2019-11-20 06:22:49
2934,+,+,-,-,+,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,+,-,-,-,14567,8621,1,2018-06-28 00:00:00,2018-06-28 11:55:03,492.0,2019-11-20 06:22:49
2933,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,-,-,-,+,-,+,-,-,-,-,132215,24004,1,2018-06-26 00:00:00,2018-06-26 11:50:04,491.0,2019-11-20 06:22:49
2932,+,+,-,-,+,+,+,+,+,+,+,-,-,-,+,+,-,-,+,+,-,+,+,+,-,-,14464,5032,1,2018-06-20 00:00:00,2018-06-21 12:55:04,490.0,2019-11-20 06:22:49
2931,-,+,-,-,+,+,+,-,-,-,-,-,-,-,+,+,+,-,+,+,-,-,+/-,-,-,-,14568,1830,1,2018-03-16 00:00:00,2018-03-20 08:15:03,489.0,2019-11-20 06:22:49
2930,+,+,-,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,14587,8594,1,2018-03-13 00:00:00,2018-03-13 07:25:03,488.0,2019-11-20 06:22:49
2929,-,-,-,+,+,+,+,+,-,+,-,-,+,+,+,-,+,+/-,+,+/-,-,+,+,+,+,-,130906,22198,1,2014-08-01 00:00:00,2018-03-08 09:30:03,487.0,2019-11-20 06:22:49
