ID_kit_api_LIST,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,ID_strains,ID_reference,manual_annotation,created_LIST,modify_in_pgsql_LIST,ID_tbl_api_LIST,last_change
453,-,+,+,+,-,+,+,-,+,-,-,6875,8948,1,2018-07-02 00:00:00,2018-07-02 09:05:04,77.0,2019-11-20 06:22:49
452,+,+,-,+,+,-,+,+,+,-,+,6872,9059,1,2018-01-16 00:00:00,2018-01-17 10:25:03,76.0,2019-11-20 06:22:49
451,-,+,-,+,+,+/-,+,+,-,-,,158391,65067,1,2017-07-12 00:00:00,2017-07-12 07:30:03,75.0,2019-11-20 06:22:49
450,-,+,+,+,-,+,+,-,-,-,+,6874,7885,1,2015-03-15 00:00:00,2017-03-24 09:40:05,74.0,2019-11-20 06:22:49
449,-,+,+,+,+/-,+,+,-,-,-,+,131740,23536,1,2017-02-07 00:00:00,2017-02-07 09:05:05,73.0,2019-11-20 06:22:49
448,+,+,+,+,-,+,+,-,-,-,-,24152,20628,1,2017-01-13 00:00:00,2017-02-02 13:25:05,72.0,2019-11-20 06:22:49
447,+,+,+,+,-,+,+,-,-,-,-,6871,8869,1,2016-11-11 00:00:00,2016-11-11 12:20:05,71.0,2019-11-20 06:22:49
446,+/-,+,+,+,+,+,+,-,+,-,+,131740,23536,1,2016-04-12 00:00:00,2016-06-22 06:00:05,70.0,2019-11-20 06:22:49
445,-,+,+,+,-,+,+,-,-,-,-,130980,22272,1,2015-12-12 00:00:00,2015-12-11 23:00:00,69.0,2019-11-20 06:22:49
444,-,+,+,+,+/-,+,+,-,-,-,,6873,6028,1,2016-01-18 00:00:00,2016-01-17 23:00:00,68.0,2019-11-20 06:22:49
443,-,+,+,+,-,+,+,-,-,-,,24152,20628,1,2016-01-18 00:00:00,2016-01-17 23:00:00,67.0,2019-11-20 06:22:49
442,-,+,-,-,+,+,-,-,-,+,,158237,64877,1,2015-02-20 00:00:00,2016-01-18 08:02:53,66.0,2019-11-20 06:22:49
441,-,+,-,+,+,+,+,-,-,-,,158422,65098,1,2015-03-04 00:00:00,2016-01-18 08:02:53,64.0,2019-11-20 06:22:49
440,-,+,+,+,+,+,+,+,-,-,,130392,21632,1,2015-03-31 00:00:00,2016-01-18 08:02:53,63.0,2019-11-20 06:22:49
439,-,+,+/-,+,+,+,+,+,-,-,,130392,21632,1,2014-06-05 00:00:00,2016-01-18 08:02:53,62.0,2019-11-20 06:22:49
438,-,+,+,+,+,+,+,-,-,-,,130391,21631,1,2015-03-31 00:00:00,2016-01-18 08:02:53,61.0,2019-11-20 06:22:49
437,-,+,+/-,+,+,+,+,+/-,-,-,,130391,21631,1,2014-06-05 00:00:00,2016-01-18 08:02:53,60.0,2019-11-20 06:22:49
436,-,+,+,+,-,+,+,-,-,-,-,24152,20628,1,2013-08-23 00:00:00,2016-01-18 08:02:53,59.0,2019-11-20 06:22:49
435,-,+,+,+,+/-,+,+,-,-,-,,24152,20628,1,2014-07-16 00:00:00,2016-01-18 08:02:53,58.0,2019-11-20 06:22:49
434,-,+,-,+,+,-,+,+,-,-,,130388,21628,1,2014-11-28 00:00:00,2016-01-18 08:02:53,57.0,2019-11-20 06:22:49
433,+/-,+,+/-,+,+,-,+,+,-,-,,130388,21628,1,2012-12-13 00:00:00,2016-01-18 08:02:53,56.0,2019-11-20 06:22:49
432,+,+,+,-,+,+,+,+,-,-,,130390,21630,1,2012-12-13 00:00:00,2016-01-18 08:02:53,55.0,2019-11-20 06:22:49
431,-,-,-,+/-,+,+/-,+,+,-,-,,130390,21630,1,2014-11-28 00:00:00,2016-01-18 08:02:53,54.0,2019-11-20 06:22:49
430,+/-,+,-,+/-,+,+,+,-,-,-,,130386,21626,1,2012-12-13 00:00:00,2016-01-18 08:02:53,53.0,2019-11-20 06:22:49
429,-,+,-,+/-,+,+,+,-,-,-,,130386,21626,1,2014-11-28 00:00:00,2016-01-18 08:02:53,52.0,2019-11-20 06:22:49
428,-,+,+,+/-,+,+,+/-,+/-,-,+,,130387,21627,1,2014-11-28 00:00:00,2016-01-18 08:02:53,51.0,2019-11-20 06:22:49
427,+/-,+,+,+/-,+,+,+/-,-,-,+,,130387,21627,1,2012-12-13 00:00:00,2016-01-18 08:02:53,50.0,2019-11-20 06:22:49
426,+/-,+,+/-,+,+,+,+,-,-,-,,130389,21629,1,2012-12-13 00:00:00,2016-01-18 08:02:53,49.0,2019-11-20 06:22:49
425,-,+,-,+/-,+,+,+,-,-,-,,130389,21629,1,2014-11-28 00:00:00,2016-01-18 08:02:53,48.0,2019-11-20 06:22:49
424,-,+,-,+,+,+,+,+,-,-,,24153,20629,1,2015-07-14 00:00:00,2016-01-18 08:02:53,47.0,2019-11-20 06:22:49
423,-,+,-,+,+,+,+,+,-,-,,24153,20629,1,2011-12-01 00:00:00,2016-01-18 08:02:53,46.0,2019-11-20 06:22:49
422,-,+,-,+,+,+,+,+,-,-,,23080,19222,1,2011-07-20 00:00:00,2016-01-18 08:02:53,45.0,2019-11-20 06:22:49
421,-,+,-,+,+,+,+,+,-,-,,23081,19223,1,2011-07-20 00:00:00,2016-01-18 08:02:53,44.0,2019-11-20 06:22:49
