ID_kit_api_NH,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,ID_strains,ID_reference,manual_annotation,created_NH,modify_in_pgsql_NH,ID_tbl_api_NH,last_change
2759,+,-,+,-,-,-,-,-,+,+,-,-,,10467,1686,1,2019-01-23 00:00:00,2019-01-23 12:30:11,329.0,2019-11-20 06:22:49
2758,-,+,-,-,-,-,-,+/-,-,-,+,-,-,10472,5723,1,2018-11-28 00:00:00,2018-11-29 07:50:03,328.0,2019-11-20 06:22:49
2757,-,+,+,+,+,-,-,-,+,+,-,+,-,157755,64326,1,2017-04-25 00:00:00,2018-09-11 12:30:03,326.0,2019-11-20 06:22:49
2756,-,+,+,+,+,-,-,-,+,+,-,+,-,157204,64325,1,2017-04-25 00:00:00,2018-09-11 12:15:03,325.0,2019-11-20 06:22:49
2755,-,+,-,-,-,+,-,-,-,-,-,-,-,11751,17404,1,2018-07-16 00:00:00,2018-07-16 12:50:03,324.0,2019-11-20 06:22:49
2754,-,+,+,-,-,-,+,-,+,-,-,+,+,11698,1685,1,2018-04-11 00:00:00,2018-04-20 08:15:03,323.0,2019-11-20 06:22:49
2753,+,-,+,+,-,-,-,-,-,+,-,-,,10490,16528,1,2018-02-16 00:00:00,2018-02-16 07:15:03,322.0,2019-11-20 06:22:49
2752,-,-,-,-,-,-,+,+,+,-,-,+,-,368,5043,1,2018-01-15 00:00:00,2018-01-17 13:40:04,321.0,2019-11-20 06:22:49
2751,-,+,+,+,+,-,-,-,+,-,-,+,-,10461,3208,1,2017-10-26 00:00:00,2017-11-23 06:45:04,320.0,2019-11-20 06:22:49
2750,-,-,-,-,-,-,-,+,+,-,-,-,-,8161,3484,1,2017-11-15 00:00:00,2017-11-21 07:30:03,319.0,2019-11-20 06:22:49
2749,-,+,-,+/-,-,-,-,-,-,-,-,+,-,10475,5940,1,2017-10-25 00:00:00,2017-11-15 13:25:03,318.0,2019-11-20 06:22:49
2748,-,+,-,-,-,-,-,-,+,+,-,-,-,11707,3450,1,2017-08-21 00:00:00,2017-08-22 07:40:03,317.0,2019-11-20 06:22:49
2747,+,-,-,-,-,-,+,+,+,-,-,+,-,130458,21743,1,2017-06-21 00:00:00,2017-06-23 12:05:03,315.0,2019-11-20 06:22:49
2746,-,+,-,-,-,-,-,-,-,-,+,-,-,10470,3507,1,2017-05-17 00:00:00,2017-05-19 09:40:03,314.0,2019-11-20 06:22:49
2745,-,-,-,-,+,-,-,-,-,+,-,-,,10458,3257,1,2017-05-18 00:00:00,2017-05-18 14:45:03,313.0,2019-11-20 06:22:49
2744,-,+,+/-,-,-,-,-,-,-,-,+,-,-,10471,3508,1,2017-05-11 00:00:00,2017-05-12 09:35:03,312.0,2019-11-20 06:22:49
2743,-,+,+,+,+,-,-,-,+,-,-,-,-,11721,3966,1,2017-04-13 00:00:00,2017-05-02 12:30:02,311.0,2019-11-20 06:22:49
2742,-,+,+,+,+,-,-,-,-,-,+,+,-,10469,7084,1,2017-04-20 00:00:00,2017-05-02 11:25:03,310.0,2019-11-20 06:22:49
2741,-,+,+,+,+/-,-,-,-,+,-,-,+,-,11754,4215,1,2017-04-04 00:00:00,2017-04-04 13:25:03,309.0,2019-11-20 06:22:49
2740,-,+,+,+/-,+/-,+,+,-,+,-,-,+,+,11705,17317,1,2017-03-23 00:00:00,2017-03-27 09:20:03,308.0,2019-11-20 06:22:49
2739,-,+,-,+,-,-,-,-,-,-,+,+,-,10477,18134,1,2017-03-15 00:00:00,2017-03-15 14:55:05,307.0,2019-11-20 06:22:49
2738,-,+,+,+,+,-,-,+,+,-,+,+,-,130808,21820,1,2017-03-08 00:00:00,2017-03-09 09:15:06,306.0,2019-11-20 06:22:49
2737,-,+,+,-,+,-,+,-,+,-,-,+,+,11703,4562,1,2017-03-01 00:00:00,2017-03-08 09:50:06,305.0,2019-11-20 06:22:49
2736,-,+,+,+,+,-,-,-,+,+,-,+,-,11720,1981,1,2017-02-28 00:00:00,2017-02-28 15:00:04,304.0,2019-11-20 06:22:49
2735,-,+,-,-,-,-,-,-,-,-,+,+/-,-,158278,64938,1,2017-02-02 00:00:00,2017-02-13 14:00:05,303.0,2019-11-20 06:22:49
2734,-,-,-,-,-,-,+,-,-,-,-,-,-,2093,3105,1,2017-01-18 00:00:00,2017-02-02 12:55:05,302.0,2019-11-20 06:22:49
2733,-,+,-,-,-,-,-,-,-,-,+,+/-,-,10485,7227,1,2017-01-24 00:00:00,2017-02-02 12:00:05,301.0,2019-11-20 06:22:49
2732,-,+,+,+,+,-,-,+,-,-,-,-,-,132682,24471,1,2016-01-05 00:00:00,2016-11-29 13:30:04,300.0,2019-11-20 06:22:49
2731,-,+,-,-,+/-,-,-,+,-,-,-,-,-,132683,24472,1,2016-11-17 00:00:00,2016-11-29 13:25:05,299.0,2019-11-20 06:22:49
2730,-,+,-,-,-,-,-,-,-,-,-,-,-,132683,24472,1,2016-01-12 00:00:00,2016-11-29 13:25:05,298.0,2019-11-20 06:22:49
2729,-,+,+,-,+/-,-,-,+,-,-,-,-,-,132682,24471,1,2016-11-17 00:00:00,2016-11-29 13:25:05,297.0,2019-11-20 06:22:49
2728,-,-,-,-,-,-,-,-,-,-,-,+,-,374,2227,1,2016-11-16 00:00:00,2016-11-23 08:40:05,296.0,2019-11-20 06:22:49
2727,-,+,+/-,-,+/-,-,+,-,+,-,-,-,-,11701,4213,1,2016-11-01 00:00:00,2016-11-08 14:35:04,295.0,2019-11-20 06:22:49
2726,-,+,+,+,+,+,-,-,-,-,-,-,-,132625,24414,1,2015-12-17 00:00:00,2016-10-18 08:30:06,294.0,2019-11-20 06:22:49
2725,-,+/-,-,-,+/-,-,-,-,+/-,-,+,+,-,10480,7097,1,2016-07-01 00:00:00,2016-07-05 07:35:05,293.0,2019-11-20 06:22:49
2724,-,+,+,+,-,-,-,-,+,-,-,+,-,11752,3255,1,2016-06-22 00:00:00,2016-06-22 14:05:05,292.0,2019-11-20 06:22:49
2723,+,-,-,-,-,-,-,+,+,-,-,-,-,8162,4573,1,2015-12-01 00:00:00,2015-11-30 23:00:00,291.0,2019-11-20 06:22:49
2722,+,-,-,-,-,-,+,+,-,-,-,+,,5661,6644,1,2016-02-11 00:00:00,2016-02-10 23:00:00,290.0,2019-11-20 06:22:49
2721,+,+,+,+,-,+,-,+,+,-,-,+,+,139859,42467,1,2012-11-07 00:00:00,2016-01-18 08:02:53,288.0,2019-11-20 06:22:49
2720,+,+,+,+,-,-,-,+,+,-,+/-,-,-,140328,42935,1,2014-03-19 00:00:00,2016-01-18 08:02:53,276.0,2019-11-20 06:22:49
2719,-,-,-,-,-,+,+,-,-,-,-,-,-,8155,12528,1,2013-01-17 00:00:00,2016-01-18 08:02:53,275.0,2019-11-20 06:22:49
2718,+,+,+,-,-,-,+,+,-,+,+,-,-,131364,22591,1,2014-08-20 00:00:00,2016-01-18 08:02:53,273.0,2019-11-20 06:22:49
2717,+,+/-,+/-,+,-,-,+,+,-,-,-,-,-,130463,22138,1,2014-02-27 00:00:00,2016-01-18 08:02:53,272.0,2019-11-20 06:22:49
2716,+,+,+,+,-,-,-,+,+,-,+,+,-,130522,22122,1,2014-02-26 00:00:00,2016-01-18 08:02:53,271.0,2019-11-20 06:22:49
2715,+,+,-,+,-,+,-,+,+,-,+,+,-,130521,22121,1,2014-02-26 00:00:00,2016-01-18 08:02:53,270.0,2019-11-20 06:22:49
2714,+,+,-,-,-,-,+,+,-,-,+,-,-,130520,22109,1,2013-06-12 00:00:00,2016-01-18 08:02:53,269.0,2019-11-20 06:22:49
2713,+,+,+,+,+,-,+/-,+,-,-,-,+,-,11746,18215,1,2012-09-26 00:00:00,2016-01-18 08:02:53,268.0,2019-11-20 06:22:49
2712,+,+,+,+,-,+,-,+,-,-,-,-,-,11691,18213,1,2012-09-25 00:00:00,2016-01-18 08:02:53,267.0,2019-11-20 06:22:49
2711,+,+,+,+,-,-,-,+,+,-,+,-,-,11758,18212,1,2012-09-19 00:00:00,2016-01-18 08:02:53,266.0,2019-11-20 06:22:49
2710,+,+,+,+,-,-,+,+,-,+,-,-,-,130808,21820,1,2012-08-31 00:00:00,2016-01-18 08:02:53,265.0,2019-11-20 06:22:49
2709,+,-,+,-,-,-,-,-,-,+,+,-,-,10477,18134,1,2012-05-02 00:00:00,2016-01-18 08:02:53,264.0,2019-11-20 06:22:49
