ID_kit_api_rID32A,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,ID_strains,ID_reference,manual_annotation,created_rID32A,modify_in_pgsql_rID32A,ID_tbl_api_rID32A,last_change
6028,-,-,+,+,-,+,+/-,+,-,+,-,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,-,-,1606,6174,1,2018-09-24 00:00:00,2018-10-01 13:05:03,1078.0,2019-11-20 06:22:51
6027,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,17860,575,1,2018-08-20 00:00:00,2018-09-18 12:00:04,1076.0,2019-11-20 06:22:51
6026,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+/-,-,12535,4313,1,2018-08-27 00:00:00,2018-09-04 11:35:03,1075.0,2019-11-20 06:22:51
6025,-,+,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,157670,64239,1,2018-07-25 00:00:00,2018-08-23 10:35:03,1074.0,2019-11-20 06:22:51
6024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,2583,4592,1,2018-08-08 00:00:00,2018-08-22 11:30:06,1072.0,2019-11-20 06:22:51
6023,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,+,+,+/-,-,+,-,-,+,-,+,+,-,+,-,132949,24737,1,2018-08-08 00:00:00,2018-08-22 09:25:03,1068.0,2019-11-20 06:22:51
6022,-,-,+,-,-,+/-,+,-,-,+,-,-,-,-,-,-,+,+,-,+,+,+,-,+,+,+,+,+/-,+/-,130882,22191,1,2018-07-02 00:00:00,2018-07-09 05:40:04,1054.0,2019-11-20 06:22:51
6021,-,-,+,+,+/-,+,+,+,-,+,+,+,-,-,-,-,+,+,-,+,+,+,-,+,+,+,+,+,+,130882,22191,1,2015-01-08 00:00:00,2018-07-09 05:40:03,1053.0,2019-11-20 06:22:51
6020,-,-,-,+,-,+,+,-,-,-,+,+,-,-,+,-,-,-,+,-,+,+,-,+,-,-,-,-,-,191,16679,1,2018-06-26 00:00:00,2018-06-26 12:30:03,1048.0,2019-11-20 06:22:51
6019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+/-,+,-,-,-,+,-,+,-,-,+,-,-,23451,19269,1,2018-06-20 00:00:00,2018-06-26 11:35:04,1047.0,2019-11-20 06:22:51
