ID_kit_api_rID32STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_rID32STR,modify_in_pgsql_rID32STR,ID_tbl_api_rID32STR,last_change
6623,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,-,+,+,+,-,-,+,-,-,+,+,-,-,-,-,-,+,14764,8497,1,2019-03-06 00:00:00,2019-03-07 10:25:12,660.0,2019-11-20 06:22:52
6622,+,-,+,-,-,+,-,+,-,+,+,-,+,-,-,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,14755,709,1,2019-01-30 00:00:00,2019-02-20 08:40:03,659.0,2019-11-20 06:22:52
6621,-,-,-,+,+,-,+,-,-,-,+/-,-,+/-,+/-,-,-,-,+,+,-,-,-,-,-,-,+/-,+/-,+/-,-,-,-,+,157796,64368,1,2018-11-15 00:00:00,2019-01-17 07:25:04,658.0,2019-11-20 06:22:52
6620,+,+,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,-,+,+,+,+,+,-,-,+,-,+,+,+,+,-,157685,64254,1,2018-12-20 00:00:00,2019-01-17 07:05:03,657.0,2019-11-20 06:22:52
6619,+,+,-,-,-,+,+,+,+,+,+,-,+,-,-,-,+,-,+,+,+,+,+,-,-,+,-,+,+,+,+,-,5291,8795,1,2018-12-11 00:00:00,2018-12-18 09:40:06,656.0,2019-11-20 06:22:52
6618,+,+,+,+,+,-,+,+,+,+,+,+,+,+,-,-,+,-,+,+,+,+,-,-,-,+,+,+,+,+,+,-,5275,8634,1,2018-12-11 00:00:00,2018-12-18 09:15:04,655.0,2019-11-20 06:22:52
6617,+,+,+,-,+,-,-,+,-,+,+,+,+,+,-,+/-,+,-,+,+,+,+,-,-,-,+,+,+/-,+,-,+,-,5273,3127,1,2018-12-03 00:00:00,2018-12-18 07:55:04,654.0,2019-11-20 06:22:52
6616,-,+,-,-,-,+/-,+,-,-,+,+,-,+,-,-,+,+,-,+,+,+,+,+/-,-,-,+,-,-,+,-,+,-,2258,8747,1,2018-11-15 00:00:00,2018-11-22 12:20:03,653.0,2019-11-20 06:22:52
6615,+,+,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,-,+,+,+,+,+,-,-,+,-,+,+,+,-,-,5284,4868,1,2018-11-20 00:00:00,2018-11-22 10:10:04,652.0,2019-11-20 06:22:52
6614,+,+,+,-,-,-,+,+,-,+,+,-,-,+,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+,-,-,-,5300,6710,1,2018-11-13 00:00:00,2018-11-22 09:50:04,651.0,2019-11-20 06:22:52
6613,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,-,-,+,-,+,-,+/-,-,-,+,+,-,-,+,-,-,-,14759,18125,1,2018-11-15 00:00:00,2018-11-22 09:10:04,650.0,2019-11-20 06:22:52
6612,+,-,-,-,-,+,-,-,-,+,+,-,+,-,-,+/-,-,+,-,+,-,-,-,-,+,+,-,-,+,-,-,-,14758,8915,1,2018-11-13 00:00:00,2018-11-13 11:45:05,649.0,2019-11-20 06:22:52
6611,+,+,+,-,+,-,+,-,-,-,+,-,+,-,-,+,+,+,+,+,+,+,+,-,-,+,+/-,-,+,+,+,-,5315,1357,1,2018-11-06 00:00:00,2018-11-07 13:20:03,648.0,2019-11-20 06:22:52
6610,+,+,+,-,-,-,+,+,-,+,+,-,-,+,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+,-,+,-,5299,5098,1,2018-10-10 00:00:00,2018-10-11 12:15:04,647.0,2019-11-20 06:22:52
6609,-,-,-,-,+/-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,-,14849,17790,1,2018-10-09 00:00:00,2018-10-10 08:10:04,646.0,2019-11-20 06:22:52
6608,+,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,+,+,-,-,-,+,-,-,+,+,-,-,-,+,-,-,14799,8882,1,2018-09-26 00:00:00,2018-10-01 13:40:03,645.0,2019-11-20 06:22:52
6607,-,+/-,+/-,-,-,+,+,+/-,-,-,+,-,-,-,-,,-,-,+,+,-,+,-,-,-,+,-,+/-,+/-,-,-,-,133990,64748,1,2018-08-07 00:00:00,2018-09-06 09:40:04,644.0,2019-11-20 06:22:52
6606,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,,+,-,+,-,+,-,-,-,+,-,+,+,-,-,-,7777,9055,1,2018-08-08 00:00:00,2018-09-04 08:25:03,643.0,2019-11-20 06:22:52
6605,+,+,+,-,+,-,-,+,-,+,+,+,+,+,-,-,+,-,+,+,+,+,-,-,-,+,+,-,+,-,+,-,5272,3126,1,2018-07-06 00:00:00,2018-07-27 09:35:03,642.0,2019-11-20 06:22:52
6604,-,+,+,-,+,-,-,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,14812,5865,1,2018-07-25 00:00:00,2018-07-26 08:40:04,641.0,2019-11-20 06:22:52
6603,+,+,-,+,-,-,+,-,-,-,+,-,+,-,-,+,+,-,-,+,+,+,+/-,-,-,+,-,-,+,-,-,-,130947,22239,1,2018-07-20 00:00:00,2018-07-25 06:45:04,640.0,2019-11-20 06:22:52
6602,+,+,+,-,+,-,-,+,-,+,+,+,+,+,-,-,+,-,+,+,+,+,-,-,-,+,+,-,+,-,+,-,5277,14778,1,2018-07-06 00:00:00,2018-07-16 08:50:04,639.0,2019-11-20 06:22:52
6601,-,+,-,-,+,-,-,+,-,+,+,+,+,-,-,-,+,+,+,-,-,-,+,-,-,+,+,-,-,-,-,-,6825,8748,1,2018-07-11 00:00:00,2018-07-13 09:15:03,638.0,2019-11-20 06:22:52
6600,+,+,+,-,+,-,-,-,-,+,+,-,+,-,-,+,+,-,+,+,+,+,-,-,-,+,+,-,+,+,+/-,-,24003,20957,1,2018-07-06 00:00:00,2018-07-09 12:10:03,637.0,2019-11-20 06:22:52
6599,+,+,+,-,+,-,-,+,-,+,+,-,+,+,-,-,+,-,+,+,+,+,-,-,-,+,-,-,+,-,+,-,5271,1847,1,2018-05-30 00:00:00,2018-05-31 09:00:03,636.0,2019-11-20 06:22:52
6598,+,+,+,-,-,+,+,+,+,-,+,-,+,-,-,+/-,+,-,-,+,+,+,+,-,-,+,-,+,+,+,+,-,5279,1124,1,2018-04-27 00:00:00,2018-05-09 12:05:03,635.0,2019-11-20 06:22:52
6597,-,+,-,-,-,+/-,-,-,-,-,+,+/-,+,-,-,-,+,+,-,-,-,+,-,-,+,+,-,-,+/-,-,-,-,14765,8910,1,2018-04-25 00:00:00,2018-04-25 13:05:03,634.0,2019-11-20 06:22:52
6596,-,-,+/-,-,+,-,+,+,-,-,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,+,+/-,-,-,-,-,-,6824,8651,1,2018-04-19 00:00:00,2018-04-24 08:55:04,633.0,2019-11-20 06:22:52
6595,-,-,+,-,+,-,+,-,-,+,+/-,+,+,-,-,-,-,+,-,-,-,+,-,-,+,+,+,-,-,-,-,-,14734,4776,1,2018-03-14 00:00:00,2018-04-05 07:40:03,632.0,2019-11-20 06:22:52
6594,+,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,+,+,-,+,+,-,+,-,-,+,-,-,+,-,+,-,14787,8919,1,2018-03-28 00:00:00,2018-03-29 06:35:03,631.0,2019-11-20 06:22:52
6593,-,-,+,-,+/-,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,14747,5327,1,2018-03-21 00:00:00,2018-03-22 10:05:03,630.0,2019-11-20 06:22:52
6592,+/-,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,+,+,-,-,+,+,+,-,-,-,-,-,131987,23779,1,2018-03-07 00:00:00,2018-03-08 08:45:03,629.0,2019-11-20 06:22:52
6591,+,+,+,-,-,-,+,+,-,+,+,-,-,+,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+,-,+,-,5295,977,1,2018-03-06 00:00:00,2018-03-07 12:50:03,628.0,2019-11-20 06:22:52
6590,+,+,+,-,+,-,+,-,-,-,+,-,+,-,-,+,+,-,+,+,+,+,-,-,-,+,+,-,+,-,-,-,5316,8584,1,2018-01-23 00:00:00,2018-01-24 12:35:03,627.0,2019-11-20 06:22:52
6589,+,-,+,+,-,+,+,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,+,-,+,+,-,-,+,+,-,-,14712,973,1,2018-01-09 00:00:00,2018-01-12 06:50:03,626.0,2019-11-20 06:22:52
6588,+,+,+,-,-,+,+,+,+/-,+,+,-,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,-,+,+,+,-,5292,8847,1,2017-12-20 00:00:00,2017-12-21 12:00:04,625.0,2019-11-20 06:22:52
6587,-,-,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,+,+,+,-,-,+,+,+,-,+,+/-,-,-,14748,5328,1,2017-11-22 00:00:00,2017-12-07 09:15:04,624.0,2019-11-20 06:22:52
6586,-,-,-,-,+/-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,14726,8492,1,2017-11-22 00:00:00,2017-12-07 09:00:06,623.0,2019-11-20 06:22:52
6585,+,+,-,-,+/-,-,+/-,+,-,+,+,-,+,+,-,+,+,-,+,+,+,+,+/-,-,-,+,-,-,-,-,+/-,-,5302,18026,1,2017-11-07 00:00:00,2017-11-16 07:05:04,622.0,2019-11-20 06:22:52
6584,+,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,+,-,-,+,-,+,-,5278,8979,1,2017-11-07 00:00:00,2017-11-15 14:05:03,621.0,2019-11-20 06:22:52
6583,+,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+/-,+,+,+,-,-,+,+,+,-,-,-,+/-,-,14749,8916,1,2017-10-13 00:00:00,2017-10-23 08:55:04,620.0,2019-11-20 06:22:52
6582,-,-,+,-,+/-,+/-,-,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,14718,8495,1,2017-10-19 00:00:00,2017-10-20 06:45:04,619.0,2019-11-20 06:22:52
6581,+,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,+,+,+,-,-,+,+,+/-,-,+/-,+/-,-,-,14749,8916,1,2017-10-10 00:00:00,2017-10-12 07:40:03,618.0,2019-11-20 06:22:52
6580,+,+/-,+/-,-,-,+,-,-,-,+,+,-,+,-,-,-,+,+,-,+,-,+,-,-,+,+,-,-,+,-,-,-,14757,4459,1,2017-10-10 00:00:00,2017-10-11 13:55:04,617.0,2019-11-20 06:22:52
6579,+,+,+,+,+,+/-,+,+,-,+,+,+,+,+,-,+,+,-,+,+,+,+,+,-,-,+,+,-,+,+,+,-,5314,17785,1,2017-09-21 00:00:00,2017-09-22 07:05:03,616.0,2019-11-20 06:22:52
6578,-,+,-,-,-,-,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,140263,42870,1,2016-03-16 00:00:00,2017-09-01 12:25:03,615.0,2019-11-20 06:22:52
6577,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,132528,24317,1,2015-11-26 00:00:00,2017-08-22 13:10:03,614.0,2019-11-20 06:22:52
6576,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,+,132528,24317,1,2017-07-12 00:00:00,2017-08-22 13:05:03,613.0,2019-11-20 06:22:52
