ID_kit_api_STA,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_STA,modify_in_pgsql_STA,ID_tbl_api_STA,last_change
225,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,,130707,21819,1,2014-02-05 00:00:00,2016-01-18 08:02:53,2.0,2019-11-20 06:22:52
224,-,+,+,+,+,+,-,-,-,-,+,+,+,-,-,+,-,+/-,+,+,,14529,8450,1,2014-09-19 00:00:00,2016-01-18 08:02:53,1.0,2019-11-20 06:22:52
9,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,14447,45334,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
10,,-,+,+,+,+,+,-,-,-,-,+,+,+,-,-,+,-,+,+,+,141343,44313,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
11,,-,+,+,+,+,+,+,+,-,-,-,-,+,-,-,+,+,+,-,-,141213,44138,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
12,,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,+,-,-,+,+,14522,47537,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
13,,-,+,+,-,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,-,144297,47951,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
14,,-,+,+,+,-,-,+,-,-,-,+,+,+,-,-,-,-,+,+,-,144498,48179,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
15,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,-,14468,48295,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
16,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,145026,48786,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
17,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,145121,48899,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
18,,-,+,+,+,+,+,-,+,-,-,+,+,-,-,+,+,-,+,-,+,145546,49394,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
19,,-,+,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,145547,49395,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
20,,-,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,-,+,-,+,134521,49396,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
21,,-,+,+,+,+,+,-,+,-,-,+,+,+,-,-,+,-,-,+,-,145549,49398,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
22,,-,+,+,+,+,-,+,-,-,-,+,+,+,-,-,-,-,-,+,+,145550,49399,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
23,,-,+,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,145567,49418,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
24,,-,+,+,+,-,+,+,+,-,-,-,+,-,-,+,+,-,+,+,+,145597,49456,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
25,,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,145966,49864,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
26,,-,+,+,+,+,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,146267,50255,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
27,,-,+,+,+,+,+,+,-,+,-,+,-,+,-,+,+,-,+,-,+,146726,50778,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
28,,-,+,+,+,-,+,+,+,-,-,+,+,+,-,-,+,-,+,+,-,146913,51011,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
29,,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,+,-,+,+,+,147131,51256,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
30,,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,+,-,+,+,+,147170,51299,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
31,,-,+,+,+,+,-,+,-,-,-,+,+,+,-,-,+,-,+,+,-,147171,51300,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
32,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3928,51333,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
33,,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,3927,51334,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
34,,-,+,+,-,+,+,+,+,+,-,-,-,+,-,-,+,-,+,-,+,147284,51437,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
35,,-,+,+,+,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,-,147410,51580,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
36,,-,+,+,+,+,+,+,+,-,-,-,+,+,-,-,+,-,-,-,-,147459,51632,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
37,,-,+,+,+,-,-,+,+,-,-,+,+,+,-,-,+,-,-,-,-,147644,51842,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
