ID_kit_api_STA_meta,cupule,cupule_Name_Kit,name_bacdive,reaction_name,external_Link,ID_microbiol,substrate,ID_CHEBI,CAS,kegg_comp,brenda_ligand,enzyme,EC_number,last_change
2,2,GLU,GLU,Acid from D-glucose,http://www.genome.jp/dbget-bin/www_bget?cpd:C00031,GLU_STA,D-glucose,17634.0,50-99-7,C00031,35.0,,,2016-06-28 12:37:12
3,3,FRU,FRU,Acid from D-fructose,http://www.genome.jp/dbget-bin/www_bget?cpd:C00095,FRU_STA,D-fructose,15824.0,57-48-7 ,C00095,117.0,,,2016-06-28 12:37:06
4,4,MNE,MNE,Acid from D-mannose,http://www.genome.jp/dbget-bin/www_bget?cpd:C00159,MNE_STA,D-mannose,16024.0,3458-28-4,C00159,216.0,,,2016-06-28 12:37:00
5,5,MAL,MAL,Acid from maltose,http://www.genome.jp/dbget-bin/www_bget?cpd:C00208,MAL_STA,D-maltose (maltose),17306.0,69-79-4,C00208,1168.0,,,2016-06-28 12:36:52
6,6,LAC,LAC,Acid from lactose,http://www.genome.jp/dbget-bin/www_bget?cpd:C00243,LAC_STA,D-lactose (lactose),17716.0,63-42-3,C00243,3242.0,,,2016-06-28 12:36:46
7,7,TRE,TRE,Acid from trehalose,http://www.genome.jp/dbget-bin/www_bget?cpd:C01083,TRE_STA,D-trehalose (trehalose),16551.0,99-20-7,C01083,587.0,,,2016-06-28 12:36:40
8,8,MAN,MAN,Acid from D-mannitol,http://www.genome.jp/dbget-bin/www_bget?cpd:C00392,MAN_STA,D-mannitol,16899.0,69-65-8,C00392,495.0,,,2016-06-28 12:36:32
9,9,XLT,XLT,Acid from xylitol,http://www.genome.jp/dbget-bin/www_bget?cpd:C00503,XLT_STA,Xylitol,17151.0,149-32-6,C00503,416.0,,,2016-06-28 12:36:25
10,10,MEL,MEL,Acid from melibiose,http://www.genome.jp/dbget-bin/www_bget?cpd:C05402,MEL_STA,D-melibiose (melibiose),28053.0,585-99-9 ,C05402,3999.0,,,2016-06-28 12:36:17
11,11,NIT,NIT,Reduction of nitrate,,NIT_STA,Potassium nitrate,63043.0,7757-79-1,,32713.0,,,2016-06-28 12:36:08
12,12,PAL,PAL,Alkaline phosphatase,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.1,PAL_STA,2-naphthyl phosphate,,14463-68-4 ,,3239.0,alkaline phosphatase,3.1.3.1,2016-06-28 12:36:00
13,13,VP,VP,Acetoin production (Voges Proskauer test),,VP_STA,sodium pyruvate,50144.0,113-24-6,,1729.0,,,2016-06-28 12:35:52
14,14,RAF,RAF,Acid from raffinose,http://www.genome.jp/dbget-bin/www_bget?cpd:C00492,RAF_STA,D-raffinose (raffinose),16634.0,512-69-6,C00492,48961.0,,,2016-06-28 12:35:44
15,15,XYL,XYL,Acid from D-xylose,http://www.genome.jp/dbget-bin/www_bget?cpd:C00181,XYL_STA,D-xylose,65327.0,58-86-6,C00181,115.0,,,2016-06-28 12:35:35
16,16,SAC,SAC,Acid from sucrose,http://www.genome.jp/dbget-bin/www_bget?cpd:C00089,SAC_STA,D-saccharose (sucrose),17992.0,57-50-1,C00089,55.0,,,2016-06-28 12:35:27
17,17,MDG,MDG,Acid from methyl-alpha-D-glucopyranoside,,MDG_STA,Methyl alpha-D-glucopyranoside,320061.0,709-50-2,,7494.0,,,2016-06-28 12:35:14
18,18,NAG,NAG,Acid from N-acetyl-glucosamine,http://www.genome.jp/dbget-bin/www_bget?cpd:C00140,NAG_STA,N-acetyl-D-glucosamine,506227.0,7512-17-6 ,C00140,300.0,,,2016-06-28 12:35:01
19,19,ADH,ADH,Arginine dihydrolase,http://www.brenda-enzymes.org/enzyme.php?ecno=3.5.3.6,ADH_STA,L-arginine,16467.0,74-79-3 ,C00062,123.0,arginine deiminase,3.5.3.6,2016-06-28 12:34:48
20,20,URE,URE,Urease/urea hydrolysis,http://www.brenda-enzymes.org/enzyme.php?ecno=3.5.1.5,URE_STA,Urea,16199.0,57-13-6,C00086,116.0,Urease,3.5.1.5,2016-06-28 12:34:36
21,21,LSTR,LSTR,Resistance to lysostaphin (EC 3.4.24.75),http://www.brenda-enzymes.org/enzyme.php?ecno=3.4.24.75,LSTR_STA,,,,,,Lysostaphin,3.4.24.75,2016-06-28 12:34:25
1,1,Control,Control,,,control_STA,,,,,,,,2016-06-28 12:37:19
