ID_kit_api_zym,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,ID_strains,ID_reference,manual_annotation,created_zym,modify_in_pgsql_zym,ID_tbl_api_zym,last_change
1,,+,+,+,-,+,+,+,-,-,+,+,+,+,+,+,+,+,-,-,2381,18292,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
2,,+,+,+,-,+,+,-,+/-,-,+,+/-,-,-,-,+,-,+,-,-,17889,18293,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
3,,+,+,+,-,+,-,-,+,-,+,-,-,-,-,+,-,-,-,-,7590,18294,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
4,,+,+,+,-,+,-,-,+,+,+,-,+,+,-,+,+,+,+,+,11070,18295,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
5,,+,+,+,+,+,+,-,-,-,+,+,-,+,-,+,-,-,-,-,7603,18296,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
6,,+,+,+,-,+,+,-,-,+,-,+,+,+,-,+,+,+,+,-,12585,18297,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
18,,-,+,+,-,+,+,+,+,-,-,-,-,+,-,+,+,-,+,-,7597,18298,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
19,,-,+,+,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,7331,18302,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
20,,-,+,+,-,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,7273,18303,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
21,,-,-,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,-,-,2352,18304,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
22,,+,-,+,-,+,+,+,+,-,+,+,+,+,-,+,+,-,+,-,7522,18305,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
23,,-,+,-,+,+,+,+,-,-,+,+,+,+,-,+,+,+,+,-,7339,18306,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
24,,+,-,+,+,+,+,+,+,-,+,-,-,-,-,+,-,-,-,-,6261,18314,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
25,,-,+,+,+,+,+,+,+,-,-,-,+,+,-,+,+,+,-,-,3908,18315,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
26,,+,+,+,-,+,-,-,+,-,-,+,-,-,-,+,+,-,-,-,7660,18316,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
27,,-,+,+,-,+,+,-,-,+,+,+,+,+,+,+,+,+,-,-,2372,18317,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
28,,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,+,+,+,-,11078,18318,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
29,,+,+,+,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,11159,18319,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
30,,+,+,+,-,+,+,-,-,-,+,+,+,+,+,+,+,-,+,-,6303,18320,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
31,,+,+,+,-,+,+,+,-,-,+,-,-,+,+,+,+,-,-,-,6271,18321,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
32,,+,+,+,-,+,+,-,-,-,+,-,+,+,+,+,+,+,-,-,12666,18322,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
33,,+,+,+,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,11132,18323,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
34,,-,-,-,-,+,-,-,+,-,-,-,+,+,-,+,-,-,+,-,7622,18324,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
35,,-,+,+,-,+,+,-,+,-,+,-,+,+,-,+,+,+,+,+,12627,18325,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
36,,-,+,+,-,+,-,-,+,-,-,-,+,+,-,+,+,-,+,+,7620,18326,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
37,,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1867,18327,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
38,,-,+,+,-,+,+,-,-,-,+,-,+,-,-,-,+,+,-,-,14042,18328,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
39,,-,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,-,-,7445,18329,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
40,,-,+,+,-,+,+,-,-,-,-,-,+,+,+,+,+,-,-,+,7432,18330,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
41,,+,-,-,+,+,+,-,-,+,+,-,+,+,-,+,+,+,+,+,11080,18331,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
42,,-,+,+,-,+,+,-,+,-,+,-,+,-,+,+,+,+,+,-,7442,18332,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
43,,+,+,+,+,+,+,-,+,-,+,-,-,-,-,+,-,-,-,-,7303,18333,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
44,,-,+,+,-,,-,-,-,-,+,+,-,+,-,+,+,-,-,-,11140,18334,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
45,,-,+,+,-,+,-,-,-,-,+,+,-,-,-,+,+,-,-,-,11064,18335,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
