ID_met_antibiotica,metabolite_antib,MET_group_ID,is_antibiotic,ab_sensitive,ab_sensitivity_conc,rgStart_sens,rgEnd_sens,ab_sensitivity_unit,ab_intermediate,ab_intermediate_conc,rgStart_int,rgEnd_int,ab_intermediate_unit,ab_resistant,ab_resistance_conc,rgStart_res,rgEnd_res,ab_resistance_unit,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,api_import,last_change
8630,amoxicillin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,2676.0,29,1290,22891,1,,2017-02-10 08:57:45
8631,streptomycin,0.0,1,1.0,25,25.0,25.0,µg (disc),,,,,,,,,,,17076.0,1,1290,22891,1,,2017-02-10 08:57:45
8632,tetracycline,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,27902.0,18,1290,22891,1,,2017-02-10 08:57:45
8633,kanamycin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,6104.0,14,1290,22891,1,,2017-02-10 08:57:45
8634,chloramphenicol,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,17698.0,16,1290,22891,1,,2017-02-10 08:57:45
8635,spectinomycin,0.0,1,1.0,100,100.0,100.0,µg (disc),,,,,,,,,,,9215.0,23,1290,22891,1,,2017-02-10 08:57:45
8750,colistin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg (disc),37943.0,2,1290,22892,1,,2017-02-10 08:57:45
8751,norfloxacin,0.0,1,1.0,10,10.0,10.0,µg (disc),,,,,,,,,,,100246.0,3,1290,22892,1,,2017-02-10 08:57:45
8752,tobramycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,28864.0,4,1290,22892,1,,2017-02-10 08:57:45
8753,lomefloxacin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,116278.0,5,1290,22892,1,,2017-02-10 08:57:45
8754,amikacin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,2637.0,6,1290,22892,1,,2017-02-10 08:57:45
8755,roxithromycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,48844.0,7,1290,22892,1,,2017-02-10 08:57:45
8756,ciprofloxacin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,100241.0,8,1290,22892,1,,2017-02-10 08:57:45
8757,nitrofurantoin,0.0,1,1.0,300,300.0,300.0,µg (disc),,,,,,,,,,,71415.0,9,1290,22892,1,,2017-02-10 08:57:45
8758,cefoperazone,0.0,1,1.0,75,75.0,75.0,µg (disc),,,,,,,,,,,3493.0,10,1290,22892,1,,2017-02-10 08:57:45
8759,vancomycin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,28001.0,11,1290,22892,1,,2017-02-10 08:57:45
8760,lincomycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,6472.0,12,1290,22892,1,,2017-02-10 08:57:45
8761,cefotaxime,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,204928.0,13,1290,22892,1,,2017-02-10 08:57:45
8762,kanamycin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,6104.0,14,1290,22892,1,,2017-02-10 08:57:45
8763,novobiocin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,28368.0,15,1290,22892,1,,2017-02-10 08:57:45
8764,chloramphenicol,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,17698.0,16,1290,22892,1,,2017-02-10 08:57:45
8765,ampicillin,0.0,1,1.0,25,25.0,25.0,µg (disc),,,,,,,,,,,28971.0,17,1290,22892,1,,2017-02-10 08:57:45
8766,tetracycline,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,27902.0,18,1290,22892,1,,2017-02-10 08:57:45
8767,bacitracin,0.0,1,1.0,10,10.0,10.0,µg (disc),,,,,,,,,,,28669.0,19,1290,22892,1,,2017-02-10 08:57:45
8768,gentamicin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,17833.0,20,1290,22892,1,,2017-02-10 08:57:45
8769,polymyxin b,0.0,1,1.0,50,50.0,50.0,µg (disc),,,,,,,,,,,8309.0,21,1290,22892,1,,2017-02-10 08:57:45
8770,oleandomycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,16869.0,22,1290,22892,1,,2017-02-10 08:57:45
8771,spectinomycin,0.0,1,1.0,100,100.0,100.0,µg (disc),,,,,,,,,,,9215.0,23,1290,22892,1,,2017-02-10 08:57:45
8772,rifampicin,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,28077.0,24,1290,22892,1,,2017-02-10 08:57:45
8773,erythromycin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,48923.0,25,1290,22892,1,,2017-02-10 08:57:45
8774,carbenicillin,0.0,1,1.0,100,100.0,100.0,µg (disc),,,,,,,,,,,3393.0,26,1290,22892,1,,2017-02-10 08:57:45
8775,penicillin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg (disc),17334.0,27,1290,22892,1,,2017-02-10 08:57:45
8776,cefuroxime,0.0,1,1.0,30,30.0,30.0,µg (disc),,,,,,,,,,,3515.0,28,1290,22892,1,,2017-02-10 08:57:45
8777,amoxicillin,0.0,1,1.0,15,15.0,15.0,µg (disc),,,,,,,,,,,2676.0,29,1290,22892,1,,2017-02-10 08:57:45
8778,doxycycline,0.0,1,1.0,10,10.0,10.0,µg (disc),,,,,,,,,,,50845.0,30,1290,22892,1,,2017-02-10 08:57:45
9653,penicillin g,0.0,1,,,,,,,,,,,,,,,,18208.0,31,6404,22928,1,,2017-02-10 08:57:45
9956,polymyxin b,0.0,1,,,,,,,,,,,,,,,,8309.0,32,11874,22937,1,,2017-02-10 08:57:45
9957,oxytetracycline,0.0,1,,,,,,,,,,,,,,,,27701.0,33,11874,22937,1,,2017-02-10 08:57:45
9958,neomycin,0.0,1,,,,,,,,,,,,,,,,7507.0,34,11874,22937,1,,2017-02-10 08:57:45
9991,vibriostat,0.0,1,,,,,,,,,,,,,,,,73908.0,35,12800,22938,1,,2017-02-10 08:57:45
9992,penicillin,0.0,1,,,,,,,,,,,,,,,,17334.0,36,12800,22938,1,,2017-02-10 08:57:45
9993,dihydrostreptomycin,0.0,1,,,,,,,,,,,1.0,10,10.0,10.0,µg (disc),38291.0,37,12800,22938,1,,2017-02-10 08:57:45
9994,chloramphenicol,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),17698.0,38,12800,22938,1,,2017-02-10 08:57:45
9995,erythromycin,0.0,1,,,,,,,,,,,1.0,15,15.0,15.0,µg (disc),48923.0,39,12800,22938,1,,2017-02-10 08:57:45
9996,novobiocin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),28368.0,40,12800,22938,1,,2017-02-10 08:57:45
9997,kanamycin,0.0,1,,,,,,,,,,,1.0,30,30.0,30.0,µg (disc),6104.0,41,12800,22938,1,,2017-02-10 08:57:45
