ID_met_production,metabolite_prod,production,excreted,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,api_import,last_change
8607,acetoin,1.0,,15688.0,56127,598,24474,1,,2017-03-15 08:43:50
8628,hydrogen sulfide,0.0,,16136.0,16596,1290,22891,1,,2017-02-10 09:00:50
8629,acetoin,1.0,,15688.0,23766,1290,22891,1,,2017-02-10 09:00:50
8747,indole,0.0,,35581.0,16597,1290,22892,1,,2017-02-10 09:00:50
8748,acetoin,1.0,,15688.0,23766,1290,22892,1,,2017-02-10 09:00:50
8802,lactate,1.0,,24996.0,16598,654,22893,1,,2017-02-10 09:00:50
8803,acetoin,1.0,,15688.0,23767,654,22893,1,,2017-02-10 09:00:50
8844,hydrogen sulfide,0.0,,16136.0,16599,654,22894,1,,2017-02-10 09:00:50
8845,indole,0.0,,35581.0,16600,654,22894,1,,2017-02-10 09:00:50
8846,acetoin,1.0,,15688.0,23767,654,22894,1,,2017-02-10 09:00:50
8904,acetoin,1.0,,15688.0,23768,1265,22895,1,,2017-02-10 09:00:50
9153,hydrogen sulfide,0.0,,16136.0,16601,1264,22902,1,,2017-02-10 09:00:50
9154,indole,0.0,,35581.0,16602,1264,22902,1,,2017-02-10 09:00:50
9155,acetoin,1.0,,15688.0,23769,1264,22902,1,,2017-02-10 09:00:50
9240,hydrogen sulfide,0.0,,16136.0,16603,374,22906,1,,2017-02-10 09:00:50
9390,acetoin,1.0,,15688.0,24858,5292,22913,1,,2017-02-10 09:00:50
9472,indole,0.0,,35581.0,28035,1757,22917,1,,2017-02-10 09:00:50
9473,acetate,1.0,,30089.0,16604,1757,22917,1,,2017-02-10 09:00:50
9505,acetoin,1.0,,15688.0,23867,1419,22918,1,,2017-02-10 09:00:50
9546,hydrogen sulfide,0.0,,16136.0,19649,6102,22920,1,,2017-02-10 09:00:50
9567,hydrogen sulfide,0.0,,16136.0,16605,12583,22921,1,,2017-02-10 09:00:50
9568,indole,0.0,,35581.0,16606,12583,22921,1,,2017-02-10 09:00:50
9569,acetoin,0.0,,15688.0,23770,12583,22921,1,,2017-02-10 09:00:50
9570,melanin,0.0,,89634.0,16607,12583,22921,1,,2017-02-10 09:00:50
9622,melanin,1.0,,89634.0,16608,16741,22925,1,,2017-02-10 09:00:50
9638,hydrogen sulfide,1.0,,16136.0,16609,16741,22926,1,,2017-02-10 09:00:50
9787,hydrogen sulfide,0.0,,16136.0,16610,6875,22933,1,,2017-02-10 09:00:50
9948,indole,0.0,,35581.0,16611,11874,22935,1,,2017-02-10 09:00:50
9985,hydrogen sulfide,0.0,,16136.0,16612,12800,22938,1,,2017-02-10 09:00:50
9986,indole,0.0,,35581.0,32434,12800,22938,1,,2017-02-10 09:00:50
9987,acetoin,0.0,,15688.0,23771,12800,22938,1,,2017-02-10 09:00:50
9988,pyocyanine,1.0,,8653.0,16614,12800,22938,1,,2017-02-10 09:00:50
10064,fluorescein,1.0,,31624.0,16613,12800,22939,1,,2017-02-10 09:00:50
10065,pyocyanine,1.0,,8653.0,16614,12800,22939,1,,2017-02-10 09:00:50
10263,indole,0.0,,35581.0,36352,5117,22945,1,,2017-02-10 09:00:50
10264,hydrogen sulfide,1.0,,16136.0,21619,5117,22945,1,,2017-02-10 09:00:50
10331,indole,0.0,,35581.0,16615,17569,22949,1,,2017-02-10 09:00:50
10372,indole,0.0,,35581.0,16616,17561,22950,1,,2017-02-10 09:00:50
10373,2-dehydro-D-gluconate,0.0,0.0,16808.0,49970,11,23232,1,,2017-02-10 09:00:50
10374,cellulose,0.0,,62968.0,16617,11,23232,1,,2017-02-10 09:00:50
10375,dihydroxyacetone,1.0,,16016.0,49982,11,23232,1,,2017-02-10 09:00:50
10376,5-dehydro-D-gluconate,0.0,,17426.0,16618,12,23233,1,,2017-02-10 09:00:50
10377,2-dehydro-D-gluconate,1.0,,16808.0,16619,12,23233,1,,2017-02-10 09:00:50
10378,5-dehydro-D-gluconate,0.0,,17426.0,16620,13,23233,1,,2017-02-10 09:00:50
10379,2-dehydro-D-gluconate,1.0,,16808.0,16621,13,23233,1,,2017-02-10 09:00:50
10380,2-dehydro-D-gluconate,0.0,,16808.0,16622,19,23234,1,,2017-02-10 09:00:50
10381,5-dehydro-D-gluconate,1.0,,17426.0,16623,19,23234,1,,2017-02-10 09:00:50
10382,dihydroxyacetone,1.0,,16016.0,16624,20,23235,1,,2017-02-10 09:00:50
10383,4h-pyran-4-one,1.0,,37966.0,16625,20,23235,1,,2017-02-10 09:00:50
10384,5-dehydro-D-gluconate,0.0,,17426.0,16626,21,23236,1,,2017-02-10 09:00:50
10385,2-dehydro-D-gluconate,1.0,,16808.0,16627,21,23236,1,,2017-02-10 09:00:50
10386,5-dehydro-D-gluconate,0.0,,17426.0,16628,22,23237,1,,2017-02-10 09:00:50
10387,2-dehydro-D-gluconate,0.0,,16808.0,16629,22,23237,1,,2017-02-10 09:00:50
10388,D-gluconate,1.0,,18391.0,16630,22,23237,1,,2017-02-10 09:00:50
10389,5-dehydro-D-gluconate,0.0,,17426.0,16631,23,23238,1,,2017-02-10 09:00:50
10390,2-dehydro-D-gluconate,0.0,,16808.0,16632,23,23238,1,,2017-02-10 09:00:50
10391,D-gluconate,1.0,,18391.0,16633,23,23238,1,,2017-02-10 09:00:50
10392,"2,5-didehydro-D-gluconate",0.0,,11449.0,16634,34,23240,1,,2017-02-10 09:00:50
10394,dihydroxyacetone,1.0,,16016.0,16635,34,23240,1,,2017-02-10 09:00:50
10395,5-dehydro-D-gluconate,1.0,,17426.0,16636,34,23240,1,,2017-02-10 09:00:50
10396,2-dehydro-D-gluconate,1.0,,16808.0,16637,34,23240,1,,2017-02-10 09:00:50
10397,acetoin,0.0,,15688.0,23772,38,23241,1,,2017-02-10 09:00:50
10398,hydrogen sulfide,0.0,,16136.0,16638,39,23242,1,,2017-02-10 09:00:50
10399,acetoin,0.0,,15688.0,23773,39,23242,1,,2017-02-10 09:00:50
10400,hydrogen sulfide,0.0,,16136.0,16639,42,23243,1,,2017-02-10 09:00:50
10401,5-dehydro-D-gluconate,1.0,,17426.0,16640,42,23243,1,,2017-02-10 09:00:50
10402,2-dehydro-D-gluconate,1.0,,16808.0,16641,42,23243,1,,2017-02-10 09:00:50
10403,hydrogen sulfide,1.0,,16136.0,16642,48,23244,1,,2017-02-10 09:00:50
10404,hydrogen sulfide,1.0,,16136.0,16643,53,23244,1,,2017-02-10 09:00:50
10405,2-dehydro-D-gluconate,1.0,,16808.0,16644,53,23244,1,,2017-02-10 09:00:50
10406,indole,0.0,,35581.0,16645,58,23245,1,,2017-02-10 09:00:50
10407,hydrogen sulfide,0.0,,16136.0,16646,58,23245,1,,2017-02-10 09:00:50
10408,ammonium,0.0,,28938.0,16647,58,23245,1,,2017-02-10 09:00:50
10409,"2,5-didehydro-D-gluconate",0.0,,11449.0,16648,58,23245,1,,2017-02-10 09:00:50
10410,dihydroxyacetone,1.0,,16016.0,16649,58,23245,1,,2017-02-10 09:00:50
