ID_multimedia,file_name,file_path,file,full_file_path,FSI_URL,media_type,IPR,license_type,caption,created,creator,capture_equipment,ID_strains,ID_reference,manual_annotation,FK_tbl_images_micro,timestamp_micro,last_change
1,DSM_2048.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_2048.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,DSM 2048 <i>Bacillus mycoides</i> on Columbia Blood Agar,,,,745,689,1,2.0,2010-09-20 18:17:14,2018-05-31 05:45:31
2,DSM_27.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_27.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,DSM 27 <i>Bacillus pumilus</i>,2009-01-20,,,756,2028,1,1.0,2010-09-20 18:14:51,2018-05-31 05:45:31
3,DSM_18000.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_18000.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,<i>Neisseria canis</i> showing the typical yellowish colour when cultivated on Columbia Agar + 5% sheep blood,2010-02-17,,,10485,7227,1,3.0,2010-09-20 18:23:31,2018-05-31 05:45:31
4,DSM_19096.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_19096.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2007-02-27,,,1269,7887,1,4.0,2010-09-20 18:23:44,2018-05-31 05:45:31
5,DSM_52984.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_52984.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,Fruiting body of the myxobacterium <i>Nannocystis exedens</i> DSM 52984. The coccoid small myxospores (diameter about 0.6µm) are visible within the sporangiole. The coccoid small myxospores (diameter about 0.6µm) are visible within the sporangiole,,,,10330,14627,1,5.0,2010-09-20 18:23:54,2018-05-31 05:45:31
6,DSM_22326.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_22326.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,2012-07-19,"nir/cbg, Leibniz Institute DSMZ",,13166,16283,1,413.0,2012-12-21 09:23:46,2018-05-31 05:45:31
7,DSM_30500.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30500.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,7675,16854,1,13.0,2012-11-19 08:57:58,2018-05-31 05:45:31
8,DSM_30501.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30501.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,14608,16855,1,14.0,2012-11-19 08:58:58,2018-05-31 05:45:31
9,DSM_30502.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30502.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,8059,16856,1,15.0,2012-11-19 08:59:47,2018-05-31 05:45:31
10,DSM_30503.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30503.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,7676,16857,1,16.0,2012-11-19 09:01:16,2018-05-31 05:45:31
11,DSM_30504.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30504.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,7677,16858,1,17.0,2012-11-19 09:01:57,2018-05-31 05:45:31
12,DSM_30505.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30505.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,7678,16859,1,18.0,2012-11-19 09:02:28,2018-05-31 05:45:31
13,DSM_30506.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30506.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,DSM 30506,2012-11-08,"R. Pukall, Leibniz Institute DSMZ",,7679,16860,1,12.0,2012-11-08 10:23:52,2018-05-31 05:45:31
14,DSM_30507.jpg,N:/database/ACC/microbiology/Images/,,https://www.dsmz.de/microorganisms/photos/DSM_30507.jpg,,jpeg,© Leibniz-Institut DSMZ,(C) Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,7680,16861,1,19.0,2012-11-19 09:03:02,2018-05-31 05:45:31
