ID_murein,murein_short_index,murein_types,ID_strains,ID_reference,manual_annotation,FK_tbl_mureins_micro,timestamp_micro,last_change
2278,A31,A1gamma m-Dpm-direct,3083,8571,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2,A41.01,A3gamma LL-Dpm-Gly,2507,23,1,92.0,2011-05-05 12:30:33,2018-05-31 05:50:02
3,A41.01,A3gamma LL-Dpm-Gly,2508,33,1,92.0,2011-05-05 12:30:33,2018-05-31 05:50:02
2277,A31,A1gamma m-Dpm-direct,3088,8562,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
5,A41.01,A3gamma LL-Dpm-Gly,2506,103,1,92.0,2011-05-05 12:30:33,2018-05-31 05:50:02
2276,A31,A1gamma m-Dpm-direct,3124,8557,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2275,A31,A1gamma m-Dpm-direct,10882,8556,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2274,A31,A1gamma m-Dpm-direct,3119,8553,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2273,A31,A1gamma m-Dpm-direct,6499,8475,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2272,A31,A1gamma m-Dpm-direct,6491,8471,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2271,A31,A1gamma m-Dpm-direct,6680,8382,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2270,A31,A1gamma m-Dpm-direct,1254,7653,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2268,A31,A1gamma m-Dpm-direct,6303,7585,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2269,A31,A1gamma m-Dpm-direct,6271,7592,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2267,A31,A1gamma m-Dpm-direct,1364,7516,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2266,A31,A1gamma m-Dpm-direct,1868,7463,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2265,A31,A1gamma m-Dpm-direct,1277,7387,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2264,A31,A1gamma m-Dpm-direct,11629,6586,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2263,A31,A1gamma m-Dpm-direct,6612,6241,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2262,A31,A1gamma m-Dpm-direct,2269,5360,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2261,A31,A1gamma m-Dpm-direct,6298,5243,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2260,A31,A1gamma m-Dpm-direct,6587,5229,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2259,A31,A1gamma m-Dpm-direct,6261,5193,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2258,A31,A1gamma m-Dpm-direct,6260,5187,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2257,A31,A1gamma m-Dpm-direct,6355,5171,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2256,A31,A1gamma m-Dpm-direct,1851,5031,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2255,A31,A1gamma m-Dpm-direct,6296,4963,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2254,A31,A1gamma m-Dpm-direct,6586,4951,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2253,A31,A1gamma m-Dpm-direct,2268,4876,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2252,A31,A1gamma m-Dpm-direct,6297,4861,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2251,A31,A1gamma m-Dpm-direct,6295,4855,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2250,A31,A1gamma m-Dpm-direct,6270,4697,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2249,A31,A1gamma m-Dpm-direct,6269,4696,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2248,A31,A1gamma m-Dpm-direct,6497,4581,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2247,A31,A1gamma m-Dpm-direct,6257,4250,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2246,A31,A1gamma m-Dpm-direct,6251,4244,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2245,A31,A1gamma m-Dpm-direct,6249,4221,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2244,A31,A1gamma m-Dpm-direct,6248,4220,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2243,A31,A1gamma m-Dpm-direct,1850,4051,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2242,A31,A1gamma m-Dpm-direct,6569,4029,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2241,A31,A1gamma m-Dpm-direct,6568,3992,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2240,A31,A1gamma m-Dpm-direct,1833,3674,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2239,A31,A1gamma m-Dpm-direct,1832,3673,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2238,A31,A1gamma m-Dpm-direct,1831,3672,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2237,A31,A1gamma m-Dpm-direct,1836,3649,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2236,A31,A1gamma m-Dpm-direct,1844,3648,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
2235,A31,A1gamma m-Dpm-direct,1849,3647,1,87.0,2011-05-05 13:41:47,2019-11-07 13:43:42
