ID_nutrition_type,nutrition_type,ID_strains,ID_reference,manual_annotation,last_change
1077,chemoheterotroph,1264,22902,1,2016-05-19 13:22:10
1078,photoheterotroph,2421,22907,1,2016-05-19 13:22:10
1079,chemoheterotroph,2421,22907,1,2016-05-19 13:22:10
1080,heterotroph,26,23239,1,2017-01-20 09:59:21
1081,chemoorganotroph,60,23246,1,2017-01-20 09:59:21
1082,photoheterotroph,60,23246,1,2017-01-20 09:59:21
1083,chemoorganotroph,64,23248,1,2017-01-20 09:59:21
1084,chemoorganotroph,65,23248,1,2017-01-20 09:59:21
1085,chemoorganotroph,81,22964,1,2017-01-20 09:59:21
1086,chemoorganotroph,82,22964,1,2017-01-20 09:59:21
1087,chemoorganotroph,105,22967,1,2017-01-20 09:59:21
1088,autotroph,106,22968,1,2017-01-20 09:59:21
1089,heterotroph,106,22968,1,2017-01-20 09:59:21
1090,chemoorganotroph,136,22971,1,2017-01-20 09:59:21
1091,chemoorganotroph,137,22971,1,2017-01-20 09:59:21
1092,chemoorganotroph,138,22971,1,2017-01-20 09:59:21
1093,chemoorganotroph,139,22971,1,2017-01-20 09:59:21
1094,chemoorganotroph,140,22887,1,2017-01-20 09:59:21
1095,chemoorganotroph,141,23106,1,2017-01-20 09:59:21
1096,chemoorganotroph,242,23254,1,2017-01-20 09:59:21
1097,chemoorganotroph,258,23255,1,2017-01-20 09:59:21
1098,chemoorganotroph,261,23256,1,2017-01-20 09:59:21
1099,chemoorganotroph,279,23259,1,2017-01-20 09:59:21
1100,chemoorganotroph,343,23267,1,2017-01-20 09:59:21
1101,chemoorganotroph,355,23272,1,2017-01-20 09:59:21
1102,chemoorganotroph,377,23280,1,2017-01-20 09:59:21
1103,chemoheterotroph,437,23286,1,2017-01-20 09:59:21
1104,chemoheterotroph,438,23286,1,2017-01-20 09:59:21
1105,chemoorganotroph,449,23289,1,2017-01-20 09:59:21
1106,heterotroph,450,23290,1,2017-01-20 09:59:21
1107,chemoheterotroph,451,23291,1,2017-01-20 09:59:21
1108,heterotroph,470,23294,1,2017-01-20 09:59:21
1109,heterotroph,479,23297,1,2017-01-20 09:59:21
1110,heterotroph,480,23297,1,2017-01-20 09:59:21
1111,chemolithotroph,512,23128,1,2017-01-20 09:59:21
1112,chemolithoautotroph,515,23129,1,2017-01-20 09:59:21
1113,chemolithotroph,525,23130,1,2017-01-20 09:59:21
1114,chemoorganotroph,599,23140,1,2017-01-20 09:59:21
1115,chemoorganotroph,1327,22983,1,2017-01-20 09:59:21
1116,chemoorganotroph,1342,22983,1,2017-01-20 09:59:21
1117,chemoorganotroph,1343,22983,1,2017-01-20 09:59:21
1118,chemoorganoheterotroph,1385,23016,1,2017-01-20 09:59:21
