ID_oxygen_tolerance,oxygen_tol,ID_strains,ID_reference,manual_annotation,last_change
2,anaerobe,59,2128,1,2016-05-17 11:40:41
3,anaerobe,98,9041,1,2016-05-17 11:40:41
4,anaerobe,99,15684,1,2016-05-17 11:40:41
5,anaerobe,100,5523,1,2016-05-17 11:40:41
6,anaerobe,101,5524,1,2016-05-17 11:40:41
7,anaerobe,102,5525,1,2016-05-17 11:40:41
8,anaerobe,103,3519,1,2016-05-17 11:40:41
9,anaerobe,104,4159,1,2016-05-17 11:40:41
10,anaerobe,105,2544,1,2016-05-17 11:40:41
11,anaerobe,140,17302,1,2016-05-17 11:40:41
12,anaerobe,144,8985,1,2016-05-17 11:40:41
14,microaerophile,145,5990,1,2016-05-17 11:40:41
15,anaerobe,146,6115,1,2016-05-17 11:40:41
17,anaerobe,147,7917,1,2016-05-17 11:40:41
18,anaerobe,148,10674,1,2016-05-17 11:40:41
19,anaerobe,149,8993,1,2016-05-17 11:40:41
20,anaerobe,150,10672,1,2016-05-17 11:40:41
21,anaerobe,151,10954,1,2016-05-17 11:40:41
22,anaerobe,152,10956,1,2016-05-17 11:40:41
23,microaerophile,153,6829,1,2016-05-17 11:40:41
24,anaerobe,154,10673,1,2016-05-17 11:40:41
25,anaerobe,155,7919,1,2016-05-17 11:40:41
26,microaerophile,155,7919,1,2016-05-17 11:40:41
27,anaerobe,156,10959,1,2016-05-17 11:40:41
28,microaerophile,156,10959,1,2016-05-17 11:40:41
29,anaerobe,157,10957,1,2016-05-17 11:40:41
30,microaerophile,157,10957,1,2016-05-17 11:40:41
31,anaerobe,158,11252,1,2016-05-17 11:40:41
32,microaerophile,159,2852,1,2016-05-17 11:40:41
33,microaerophile,160,9042,1,2016-05-17 11:40:41
34,anaerobe,161,9043,1,2016-05-17 11:40:41
35,anaerobe,162,2851,1,2016-05-17 11:40:41
36,anaerobe,163,10953,1,2016-05-17 11:40:41
37,anaerobe,164,10955,1,2016-05-17 11:40:41
38,microaerophile,164,10955,1,2016-05-17 11:40:41
39,anaerobe,165,10958,1,2016-05-17 11:40:41
40,microaerophile,165,10958,1,2016-05-17 11:40:41
41,anaerobe,170,4040,1,2016-05-17 11:40:41
43,microaerophile,174,5887,1,2016-05-17 11:40:41
45,microaerophile,175,5803,1,2016-05-17 11:40:41
47,microaerophile,176,5818,1,2016-05-17 11:40:41
