ID_pigmentation,pigment_name,pigment_color,pigment_production,ID_strains,ID_reference,manual_annotation,last_change
1,orange,,1,131,22887,1,2016-05-20 10:09:47
2,orange,,1,1265,22896,1,2016-05-20 10:09:47
3,Yellow-brown,,1,16741,22924,1,2016-05-20 10:09:47
4,yellow,,1,7673,22934,1,2016-05-20 10:09:47
5,white,,1,7748,22934,1,2016-05-20 10:09:47
6,faint greenish-yellow,Fluorescein,1,12851,22941,1,2016-05-20 10:09:47
7,Bacteriochlorophyll a,,1,60,23246,1,2017-01-20 11:51:10
8,carotenoids,,1,60,23246,1,2017-01-20 11:51:10
9,Spirilloxanthin,,1,67,23249,1,2017-01-20 11:51:10
10,carotenoids,,1,67,23249,1,2017-01-20 11:51:10
11,Bacteriochlorophyll a,,1,67,23249,1,2017-01-20 11:51:10
12,,pink,1,77,22962,1,2017-01-20 11:51:10
13,,yellow,1,80,22963,1,2017-01-20 11:51:10
14,carotenoids,,1,136,22971,1,2017-01-20 11:51:10
15,carotenoids,,1,137,22971,1,2017-01-20 11:51:10
16,carotenoids,,1,138,22971,1,2017-01-20 11:51:10
17,carotenoids,,1,139,22971,1,2017-01-20 11:51:10
18,no pigments,,1,140,22887,1,2017-01-20 11:51:10
19,no pigments,,1,186,23120,1,2017-01-20 11:51:10
20,,brown,1,262,23257,1,2017-01-20 11:51:10
21,,brown,1,447,23288,1,2017-01-20 11:51:10
22,Eumelanin,Black,1,470,23294,1,2017-01-20 11:51:10
23,,"Intracellular pigments
(carotenoids)",1,526,23131,1,2017-01-20 11:51:10
24,,carotenoid pigments,1,528,23132,1,2017-01-20 11:51:10
25,,carotenoid pigments,1,532,23134,1,2017-01-20 11:51:10
26,,yellow,1,534,23136,1,2017-01-20 11:51:10
27,no pigments,,1,569,23137,1,2017-01-20 11:51:10
28,,pink,1,571,23359,1,2017-01-20 11:51:10
29,,dark brown,1,1077,23299,1,2017-01-20 11:51:10
30,,brown,1,1213,23312,1,2017-01-20 11:51:10
31,,light brown,1,1214,23312,1,2017-01-20 11:51:10
32,,light brown,1,1216,23312,1,2017-01-20 11:51:10
33,,brown red,1,1239,23316,1,2017-01-20 11:51:10
34,,orange,1,1327,22983,1,2017-01-20 11:51:10
35,,orange,1,1342,22983,1,2017-01-20 11:51:10
36,,orange,1,1343,22983,1,2017-01-20 11:51:10
37,,white,1,1344,22984,1,2017-01-20 11:51:10
38,,orange,1,1347,22987,1,2017-01-20 11:51:10
39,,orange,1,1348,22987,1,2017-01-20 11:51:10
40,,cream,1,1353,22990,1,2017-01-20 11:51:10
41,,red,1,1363,23000,1,2017-01-20 11:51:10
42,,light yellow,1,1366,23003,1,2017-01-20 11:51:10
43,,cream,1,1368,23005,1,2017-01-20 11:51:10
44,,orange,1,1370,23006,1,2017-01-20 11:51:10
45,,orange,1,1371,23007,1,2017-01-20 11:51:10
46,,yellow,1,1386,23017,1,2017-01-20 11:51:10
47,,cream,1,1387,23018,1,2017-01-20 11:51:10
48,,creamy white,1,1460,23041,1,2017-01-20 11:51:10
49,,light pink to red,1,1461,23040,1,2017-01-20 11:51:10
50,,creamy white,1,1465,23047,1,2017-01-20 11:51:10
51,,cream,1,1477,23063,1,2017-01-20 11:51:10
52,,light pink,1,1487,23057,1,2017-01-20 11:51:10
53,,orange-yellow,1,1511,23065,1,2017-01-20 11:51:10
54,no pigments,,1,1658,23149,1,2017-01-20 11:51:10
55,no pigments,,1,1673,23152,1,2017-01-20 11:51:10
