ID_risk_assessment,biosafety_level,biosafety_level_comment,pathogenicity_human,pathogenicity_animal,pathogenicity_plant,ID_strains,ID_reference,FK_tbl_strains_micro,manual_annotation,last_change
1,1,Hazard group,,,,2381,18292,,1,2016-03-22 14:24:55
2,1,Hazard group,,,,7590,18294,,1,2016-03-22 14:24:55
3,1,Risk group (German classification),,,,11070,18295,,1,2016-03-22 14:24:55
4,2,Hazard group,,,,7603,18296,,1,2016-03-22 14:24:55
5,1,Risk group (German classification),,,,12585,18297,,1,2016-03-22 14:24:55
17,1,Hazard group,,,,7597,18298,,1,2016-03-22 14:24:55
18,1,Hazard group,,,,2352,18304,,1,2016-03-22 14:24:55
19,1,Risk group (German classification),,,,7522,18305,,1,2016-03-22 14:24:55
20,1,Risk group (German classification),,,,7339,18306,,1,2016-03-22 14:24:55
21,1,German classification,,,,6261,18314,,1,2016-03-22 14:24:55
22,1,German classification,,,,3908,18315,,1,2016-03-22 14:24:55
23,1,German classification,,,,7660,18316,,1,2016-03-22 14:24:55
24,1,German classification,,,,2372,18317,,1,2016-03-22 14:24:55
25,1,German classification,,,,11159,18319,,1,2016-03-22 14:24:55
26,1,German classification,,,,6303,18320,,1,2016-03-22 14:24:55
27,1,German classification,,,,6271,18321,,1,2016-03-22 14:24:55
28,1,German classification,,,,12666,18322,,1,2016-03-22 14:24:55
29,1,German classification,,,,11132,18323,,1,2016-03-22 14:24:55
30,1,German classification,,,,7620,18326,,1,2016-03-22 14:24:55
31,1,German classification,,,,1867,18327,,1,2016-03-22 14:24:55
32,1,German classification,,,,14042,18328,,1,2016-03-22 14:24:55
33,1,,,,,7432,18330,,1,2016-03-22 14:24:55
34,1,,,,,11080,18331,,1,2016-03-22 14:24:55
35,1,German classification,,,,7303,18333,,1,2016-03-22 14:24:55
36,1,German classification,,,,11140,18334,,1,2016-03-22 14:24:55
37,1,German classification,,,,11064,18335,,1,2016-03-22 14:24:55
38,1,German classification,,,,11087,18337,,1,2016-03-22 14:24:55
39,1,German classification,,,,11081,18338,,1,2016-03-22 14:24:55
40,1,German classification,,,,11082,18339,,1,2016-03-22 14:24:55
