ID_spore_formation,ability,type,description,ID_strains,ID_reference,manual_annotation,api_import,last_change
1,0,,,24776,20215,1,,2016-03-22 14:27:29
2,0,,,24777,21408,1,,2016-03-22 14:27:29
3,1,,"Formation of spore chains, spore surface smooth",16183,18685,1,,2016-03-22 14:27:29
4,1,,"Formation of spore chains (spirales)(Sp), spore surface smooth",16251,18683,1,,2016-03-22 14:27:29
5,0,,"Formation of spore chains (rectiflixibilis), spore surface smooth",15496,18682,1,,2016-03-22 14:27:29
6,1,,"Formation of spore chains (spirales)(Sp), spore surface spiny",15215,18681,1,,2016-03-22 14:27:29
7,1,,"Formation of spore chains (spirales)(Sp), spore surface knobby",16056,18680,1,,2016-03-22 14:27:29
8,1,,"Formation of spore chains (retinaculiapetri), spore surface smooth",14910,18679,1,,2016-03-22 14:27:29
9,1,,"Formation of spore chains (verticillati)(Ve), spore surface smooth",16142,18678,1,,2016-03-22 14:27:29
10,0,,,15338,18675,1,,2016-03-22 14:27:29
11,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth",15249,20214,1,,2016-03-22 14:27:29
12,1,,"Formation of spore chains (spirales)(Sp), spore surface hairy",15219,18666,1,,2016-03-22 14:27:29
13,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth",15132,18665,1,,2016-03-22 14:27:29
14,1,,"Formation of spore chains (spirales)(Sp), spore surface smooth",15426,18664,1,,2016-03-22 14:27:29
15,1,,"Formation of spore chains (verticillati)(Ve), spore surface smooth",16158,18662,1,,2016-03-22 14:27:29
16,1,,"Formation of spore chains (spirales)(Sp), spore surface smooth",15479,18660,1,,2016-03-22 14:27:29
17,1,,"Formation of spore chains (spirales)(Sp), spore surface rugose",16098,18658,1,,2016-03-22 14:27:29
18,1,,"Formation of spore chains (retinaculiapetri b), spore surface smooth",16188,18688,1,,2016-03-22 14:27:29
19,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth",16190,18689,1,,2016-03-22 14:27:29
20,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth",16193,18692,1,,2016-03-22 14:27:29
21,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth",16196,18693,1,,2016-03-22 14:27:29
22,1,,"Formation of spore chains (retinaculiapetri b), spore surface smooth",16312,18699,1,,2016-03-22 14:27:29
23,1,,"Formation of spore chains (spirales)(sp), spore surface smooth",16313,18700,1,,2016-03-22 14:27:29
24,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth",15586,18701,1,,2016-03-22 14:27:29
25,0,,"Formation of spore chains (rectiflixibilis), spore surface smooth",16320,18706,1,,2016-03-22 14:27:29
26,1,,"Formation of spore chains (spirales)(Sp), spore surface smooth",16323,18707,1,,2016-03-22 14:27:29
27,1,,"Formation of spore chains (spirales)(Sp), spore surface warty (knobby)",16330,18710,1,,2016-03-22 14:27:29
28,1,,"Formation of spore chains (retinaculiapetri), spore surface spiny",16335,18713,1,,2016-03-22 14:27:29
29,1,,"Formation of spore chains (spirales)(Sp), spore surface spiny",16309,18714,1,,2016-03-22 14:27:29
30,1,,Formation of sporangia,16589,18737,1,,2016-03-22 14:27:29
31,1,,"Formation of sporangia, spore surface smooth",16916,19928,1,,2016-03-22 14:27:29
32,1,,"Formation of sporangia, spore surface smooth",8023,19930,1,,2016-03-22 14:27:29
33,1,,"Formation of spore chains (only spore pairs), spore surface smooth",16574,19931,1,,2016-03-22 14:27:29
34,1,,"Formation of spore chains, spore surface smooth",13360,19937,1,,2016-03-22 14:27:29
35,0,,"Formation of sporangia, spore surface smooth",7807,19939,1,,2016-03-22 14:27:29
36,1,,"Formation of sporangia, spore surface smooth",7801,19940,1,,2016-03-22 14:27:29
37,1,,"Formation of spore chains (spirales)(Sp), spore surface smooth",15209,19941,1,,2016-03-22 14:27:29
38,1,,"Formation of sporangia, spore surface smooth",7870,19942,1,,2016-03-22 14:27:29
39,1,,"Formation of sporangia, spore surface smooth",16587,19947,1,,2016-03-22 14:27:29
40,0,,,16970,19950,1,,2016-03-22 14:27:29
41,1,,"Formation of sporangia, spore surface smooth",16599,19957,1,,2016-03-22 14:27:29
42,1,,"Formation of sporangia, spore surface smooth",7871,19958,1,,2016-03-22 14:27:29
43,0,,"Formation of sporangia, spore surface smooth",7874,19960,1,,2016-03-22 14:27:29
44,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth",16301,19962,1,,2016-03-22 14:27:29
45,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth, fragmentation",16211,19963,1,,2016-03-22 14:27:29
46,1,,"Formation of short spore chains (four spores), spore surface smooth",16533,19965,1,,2016-03-22 14:27:29
47,1,,"Formation of sporangia, spore surface smooth",16602,19967,1,,2016-03-22 14:27:29
48,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth",13478,19968,1,,2016-03-22 14:27:29
49,1,,"Formation of spore chains (rectiflixibilis), spore surface smooth",14855,19970,1,,2016-03-22 14:27:29
