ID_tolerance,compound_name,level_percent,concentration,concentration_unit,ID_strains,ID_reference,manual_annotation,last_change
1,Lysozyme,1,,,16173,18466,1,2016-03-22 14:29:39
2,Lysozyme,0.5,,,16136,18534,1,2016-03-22 14:29:39
3,Lysozyme,0.5,,,15042,18535,1,2016-03-22 14:29:39
4,Lysozyme,0.1,,,15140,18538,1,2016-03-22 14:29:39
5,Lysozyme,0.5,,,16034,18556,1,2016-03-22 14:29:39
6,Lysozyme,0.1,,,15553,18564,1,2016-03-22 14:29:39
7,Lysozyme,1,,,16170,18568,1,2016-03-22 14:29:39
8,Lysozyme,0.1,,,14889,18461,1,2016-03-22 14:29:39
9,Lysozyme,1,,,15070,18571,1,2016-03-22 14:29:39
10,Lysozyme,0.1,,,15307,18575,1,2016-03-22 14:29:39
11,Lysozyme,1,,,15333,18601,1,2016-03-22 14:29:39
12,Lysozyme,1,,,16142,18678,1,2016-03-22 14:29:39
13,Lysozyme,1,,,15293,19391,1,2016-03-22 14:29:39
14,Lysozyme,1,,,15290,19393,1,2016-03-22 14:29:39
15,Lysozyme,0.1,,,15427,19426,1,2016-03-22 14:29:39
16,Lysozyme,0.1,,,15499,19436,1,2016-03-22 14:29:39
17,Lysozyme,0.1,,,15487,19441,1,2016-03-22 14:29:39
18,Lysozyme,0.1,,,15552,19464,1,2016-03-22 14:29:39
19,Lysozyme,1,,,16220,19813,1,2016-03-22 14:29:39
20,Lysozyme,1,,,15088,19474,1,2016-03-22 14:29:39
21,Lysozyme,1,,,16172,19477,1,2016-03-22 14:29:39
22,Lysozyme,0.1,,,15309,19479,1,2016-03-22 14:29:39
23,Lysozyme,0.1,,,15220,19486,1,2016-03-22 14:29:39
24,Lysozyme,1,,,16145,19490,1,2016-03-22 14:29:39
25,Lysozyme,1,,,16163,19493,1,2016-03-22 14:29:39
26,Lysozyme,0,,,16207,19513,1,2016-03-22 14:29:39
27,Lysozyme,0,,,7974,19597,1,2016-03-22 14:29:39
28,Lysozyme,0,,,7976,19598,1,2016-03-22 14:29:39
29,Lysozyme,0,,,7977,19611,1,2016-03-22 14:29:39
30,Lysozyme,0.1,,,15454,18473,1,2016-03-22 14:29:39
33,Liparmacin A,,,,7972,19959,1,2016-03-22 14:29:39
34,Tiacumicin C,,,,7972,19959,1,2016-03-22 14:29:39
35,Ethanol,,,,11,23232,1,2017-01-20 12:34:50
36,Lactate,,,,11,23232,1,2017-01-20 12:34:50
37,D-Glucose,30,,,11,23232,1,2017-01-20 12:34:50
38,Ethanol,10,,,19,23234,1,2017-01-20 12:34:50
39,Sucrose,30,,,20,23235,1,2017-01-20 12:34:50
40,Glucose,30,,,20,23235,1,2017-01-20 12:34:50
41,Ethanol,10,,,20,23235,1,2017-01-20 12:34:50
42,Ethanol,10,,,21,23236,1,2017-01-20 12:34:50
43,Ethanol,10,,,22,23237,1,2017-01-20 12:34:50
44,Glucose,30,,,42,23243,1,2017-01-20 12:34:50
45,Malachite green,0.01,,,42,23243,1,2017-01-20 12:34:50
46,Glucose,30,,,43,22919,1,2017-01-20 12:34:50
47,Sucrose,30,,,43,22919,1,2017-01-20 12:34:50
48,Glucose,30,,,44,22919,1,2017-01-20 12:34:50
49,Sucrose,30,,,44,22919,1,2017-01-20 12:34:50
50,Glucose,10,,,48,23244,1,2017-01-20 12:34:50
51,Glucose,20,,,53,23244,1,2017-01-20 12:34:50
52,Acetic acid,0.35,,,58,23245,1,2017-01-20 12:34:50
53,D-Glucose,30,,,63,23247,1,2017-01-20 12:34:50
54,Cyanic acid,,,,279,23259,1,2017-01-20 12:34:50
55,Acetamide,,,,322,23266,1,2017-01-20 12:34:50
56,Cetrimide,,,,378,23281,1,2017-01-20 12:34:50
57,Arsenate,,40.0,mM,133299,25061,1,2017-08-25 14:20:33
58,Arsenite,,20.0,mM,133299,25061,1,2017-08-25 14:20:33
59,NaCl,0-4,,%,133365,25219,1,2017-08-25 14:20:33
60,NaCl,0-2,,%,133086,25228,1,2017-08-25 14:20:33
61,bile,,20.0,% (w/v),140268,43183,1,2018-06-08 10:53:00
62,bile,,20.0,% (w/v),5422,43183,1,2018-06-08 10:53:00
63,bile,,20.0,% (w/v),5426,43183,1,2018-06-08 10:53:00
64,bile,,20.0,% (w/v),2621,43183,1,2018-06-08 10:53:00
65,zinc,,6.0,mM,132611,43114,1,2018-06-08 10:53:00
66,cadmium,,1.0,mM,132611,43114,1,2018-06-08 10:53:00
67,Manganese,,30.0,mM,140612,43253,1,2018-06-08 10:53:00
68,lead,,4.0,mM,140612,43253,1,2018-06-08 10:53:00
69,nickel,,3.0,mM,140612,43253,1,2018-06-08 10:53:00
70,Ferrous ions,,12.0,mM,140612,43253,1,2018-06-08 10:53:00
71,Copper ions,,4.0,mM,140612,43253,1,2018-06-08 10:53:00
72,acetic acid,,,,140649,43358,1,2018-06-14 10:45:03
73,Lysozyme,,100.0,µg/ml,17636,27877,1,2018-06-14 10:45:03
74,Cobalt,,0.05,mg/ml,140833,43635,1,2019-01-28 10:29:44
75,Cobalt,,0.1,mg/ml,140833,43635,1,2019-01-28 10:29:44
76,Zinc,,0.5,mg/ml,140833,43635,1,2019-01-28 10:29:44
77,ammonia,,0.0,mM,141102,44010,1,2019-01-28 10:29:44
78,nitrite,,0.0,mM,141102,44010,1,2019-01-28 10:29:44
79,Cadmium,,1.0,mM,141141,44058,1,2019-01-28 10:29:44
80,Zinc,,0.5,mM,141141,44058,1,2019-01-28 10:29:44
81,Lead,,1.5,mM,141141,44058,1,2019-01-28 10:29:44
82,K2TeO3,,0.04,%,141151,44072,1,2019-01-28 10:29:44
83,Co2+,,10.0,mM,141154,44075,1,2019-01-28 10:29:44
84,sulfide,,4.0,mM,158529,65206,1,2019-11-12 13:31:36
85,carbon dioxide,5,,,158543,65233,1,2019-11-12 13:31:36
86,Oxgall,0.1,,,5429,66751,1,2020-11-11 10:17:57
