charac_id,table_name
0,annotation_core
1,annotation_event
2,annotation_user
3,bacphrase
4,biosample
5,cell_morphology
6,colony_morphology
7,compound_production
8,continents
9,countries
10,culture_collection
11,culture_condition
12,culture_medium
13,culture_ph
14,culture_temp
15,ed_pathways
16,enzymes
17,fa_meta
18,fa_profile
19,field_basic_definition
20,gc_content
21,halophily
22,is_all_data
23,is_bac_data
24,is_cat1
25,is_cat2
26,is_cat3
27,is_fungi_data
28,is_link
29,kit_api_20a
30,kit_api_20a_meta
31,kit_api_20e
32,kit_api_20e_meta
33,kit_api_20ne
34,kit_api_20ne_meta
35,kit_api_20str
36,kit_api_20str_meta
37,kit_api_50chac
38,kit_api_50chac_meta
39,kit_api_50chas
40,kit_api_50chas_meta
41,kit_api_cam
42,kit_api_cam_meta
43,kit_api_coryne
44,kit_api_coryne_meta
45,kit_api_id32e
46,kit_api_id32e_meta
47,kit_api_id32sta
48,kit_api_id32sta_meta
49,kit_api_list
50,kit_api_list_meta
51,kit_api_nh
52,kit_api_nh_meta
53,kit_api_rid32a
54,kit_api_rid32a_meta
55,kit_api_rid32str
56,kit_api_rid32str_meta
57,kit_api_sta
58,kit_api_sta_meta
59,kit_api_zym
60,kit_api_zym_ec
61,literature
62,literature_old
63,metabolites
64,meta_api
65,met_antibiogram
66,met_antibiogram_meta
67,met_antibiotica
68,met_production
69,met_test
70,met_util
71,multicellular_morphology
72,multimedia
73,murein
74,nutrition_type
75,observation
76,origin
77,oxygen_tolerance
78,pigmentation
79,projects
80,projects_link
81,reference
82,risk_assessment
83,sample_tape_is_link_entries
84,sample_type
85,sample_type_combined
86,section
87,sequence_16s
88,sequence_genomes
89,spore_formation
90,static_content
91,straininfo_link
92,strains
93,strains_parent_taxid
94,strains_reference
95,strains_synonyms_pnu
96,strains_taxid
97,strains_taxid_mismatch
98,strains_taxplorer
99,strains_tax_pnu
100,strain_history
101,strain_synonyms
102,strain_synonyms_lpsn
103,table_basic_definition
104,tf_api_cell_morphology
105,tf_api_colony_morphology
106,tf_api_culture_medium
107,tf_api_enzyme
108,tf_api_met_antibiotica
109,tf_api_met_prod
110,tf_api_met_test
111,tf_api_met_util
112,tf_api_spore_formation
113,tolerance
